,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値
152,25,1103,今治,0-2,A,夢スタ,晴,ガンバ大阪U-23,2020,g-23,森下　仁志,11,6,0,427,6,9,2,2,15,11,19,21,2,5,0,0,27,12,112,9.8%,41.7%,(18.2%),(78.5%),(16.7%),(60.0%),(36.4%),(63.2%),12,3,0,715,17,8,5,5,18,7,21,13,1,2,2,1,44,15,114,10.5%,58.3%,(0.0%),(85.5%),(23.5%),(94.4%),(71.4%),(57.1%),1.387,1.505
153,26,1108,讃岐,1-1,H,パナスタ,曇,ガンバ大阪U-23,2020,g-23,森下　仁志,18,2,0,613,12,8,1,5,23,22,14,17,4,2,0,0,45,12,143,12.6%,57.4%,(5.6%),(80.9%),(41.7%),(73.9%),(40.9%),(85.7%),17,6,0,433,17,8,2,5,17,9,29,19,5,1,1,0,41,21,138,12.3%,42.6%,(5.9%),(74.4%),(29.4%),(82.4%),(44.4%),(69.0%),1.947,2.365
154,27,1115,八戸,1-1,A,プラスタ,晴,ガンバ大阪U-23,2020,g-23,森下　仁志,16,3,0,388,21,8,3,5,18,12,24,32,1,3,2,0,31,23,129,12.4%,41.2%,(6.3%),(71.9%),(19.0%),(77.8%),(33.3%),(83.3%),13,3,0,565,11,12,4,5,29,20,13,22,2,3,0,0,48,8,128,10.2%,58.8%,(7.7%),(82.1%),(18.2%),(75.9%),(35.0%),(61.5%),1.227,1.474
155,28,1118,秋田,0-2,H,パナスタ,晴,ガンバ大阪U-23,2020,g-23,森下　仁志,21,8,0,529,11,8,3,9,32,20,15,35,0,0,0,0,52,23,140,15.0%,56.9%,(0.0%),(77.9%),(18.2%),(53.1%),(40.0%),(80.0%),20,5,0,370,36,2,0,5,28,12,19,26,4,3,0,0,35,16,136,14.7%,43.1%,(10.0%),(64.6%),(27.8%),(64.3%),(41.7%),(47.4%),2.384,1.098
156,29,1122,岩手,0-1,H,パナスタ,曇,ガンバ大阪U-23,2020,g-23,森下　仁志,21,5,0,914,13,7,0,4,24,22,12,9,2,3,0,0,82,14,118,17.8%,67.4%,(0.0%),(88.2%),(23.1%),(95.8%),(45.5%),(100.0%),9,4,0,309,8,5,3,2,6,9,22,24,1,0,0,0,22,1,119,7.6%,32.6%,(11.1%),(68.0%),(0.0%),(83.3%),(55.6%),(77.3%),0.301,1.281
157,30,1128,藤枝,0-1,A,藤枝サ,晴,ガンバ大阪U-23,2020,g-23,森下　仁志,16,5,0,418,17,4,3,4,20,14,35,15,6,3,1,0,42,12,120,13.3%,36.9%,(6.3%),(76.3%),(29.4%),(85.0%),(28.6%),(57.1%),10,2,0,705,7,5,3,4,31,18,17,21,1,2,0,0,54,11,127,7.9%,63.1%,(0.0%),(85.0%),(28.6%),(71.0%),(61.1%),(64.7%),0.782,1.986
158,31,1206,沼津,2-1,A,愛鷹,晴,ガンバ大阪U-23,2020,g-23,森下　仁志,19,9,0,401,22,10,3,5,26,14,13,15,0,3,1,0,37,18,126,15.1%,42.5%,(5.3%),(73.6%),(22.7%),(80.8%),(21.4%),(84.6%),11,5,1,539,10,16,3,1,19,10,20,26,1,3,1,0,42,13,121,9.1%,57.5%,(18.2%),(80.3%),(20.0%),(68.4%),(50.0%),(50.0%),2.119,2.87
159,32,1209,長野,0-1,H,パナスタ,曇,ガンバ大阪U-23,2020,g-23,森下　仁志,10,2,0,897,7,5,1,1,19,9,20,28,1,1,0,0,50,6,109,9.2%,67.1%,(0.0%),(88.0%),(0.0%),(68.4%),(33.3%),(60.0%),18,4,0,357,11,8,1,3,20,7,21,20,3,0,0,0,25,13,111,16.2%,32.9%,(5.6%),(71.7%),(27.3%),(75.0%),(42.9%),(76.2%),2.012,0.753
160,33,1213,鹿児島,4-6,A,白波スタ,晴,ガンバ大阪U-23,2020,g-23,森下　仁志,23,11,1,515,18,15,2,11,19,12,13,15,1,3,3,0,56,27,130,17.7%,55.2%,(26.1%),(79.4%),(22.2%),(89.5%),(50.0%),(61.5%),20,7,0,395,13,10,3,4,16,8,24,20,5,2,1,0,38,13,112,17.9%,44.8%,(20.0%),(73.2%),(30.8%),(75.0%),(62.5%),(54.2%),2.36,3.932
161,34,1220,岐阜,2-1,H,パナスタ,曇,ガンバ大阪U-23,2020,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
162,1,0628,讃岐,3-2,A,ピカスタ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
163,2,0705,Ｃ大23,0-0,H,パナスタ,晴のち曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
164,3,0712,鳥取,1-3,H,パナスタ,曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
165,4,0715,熊本,0-1,A,えがおＳ,曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
166,5,0719,鹿児島,2-4,H,パナスタ,曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
167,6,0726,岐阜,0-3,A,長良川,雨,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
168,7,0729,今治,0-2,H,パナスタ,曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
169,8,0802,長野,0-1,A,長野Ｕ,曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
170,9,0809,沼津,2-1,H,パナスタ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
171,10,0816,YS横浜,5-5,A,ニッパツ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
172,11,0822,秋田,1-1,A,ソユスタ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
173,12,0830,相模原,3-0,H,パナスタ,雨のち曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
174,13,0902,福島,4-2,A,とうスタ,雨のち曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
175,14,0905,藤枝,1-3,H,パナスタ,曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
176,15,0912,富山,0-1,A,富山,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
177,16,0919,八戸,2-3,H,パナスタ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
178,17,0922,岩手,0-1,A,いわスタ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
179,18,0927,熊本,2-0,H,パナスタ,曇のち晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
180,19,1004,YS横浜,2-0,H,パナスタ,曇一時晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
181,20,1007,相模原,0-1,A,ギオンス,雨,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
182,21,1011,富山,3-2,H,パナスタ,曇一時晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
183,22,1018,鳥取,1-1,A,チュスタ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
184,23,1025,Ｃ大23,1-1,A,ヤンマー,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
185,24,1028,福島,0-0,H,パナスタ,曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
186,25,1103,今治,0-2,A,夢スタ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
187,26,1108,讃岐,1-1,H,パナスタ,曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
188,27,1115,八戸,1-1,A,プラスタ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
189,28,1118,秋田,0-2,H,パナスタ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
190,29,1122,岩手,0-1,H,パナスタ,曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
191,30,1128,藤枝,0-1,A,藤枝サ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
192,31,1206,沼津,2-1,A,愛鷹,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
193,32,1209,長野,0-1,H,パナスタ,曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
194,33,1213,鹿児島,4-6,A,白波スタ,晴,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
195,34,1220,岐阜,2-1,H,パナスタ,曇,ガンバ大阪U-23,2021,g-23,森下　仁志,21,6,0,676,18,11,2,6,17,22,21,33,2,4,0,0,53,21,136,15.4%,59.5%,(9.5%),(81.7%),(27.8%),(82.4%),(68.2%),(76.2%),14,7,0,441,15,7,4,5,14,7,26,22,0,2,1,0,48,15,133,10.5%,40.5%,(7.1%),(67.8%),(40.0%),(78.6%),(14.3%),(76.9%),2.411,2.495
196,1,0313,相模原,0-1,A,ギオンス,曇時々晴,ＦＣ東京U-23,2016,fct,,16,4,0,525,29,14,0,8,22,18,35,14,5,4,2,0,56,20,140,11.4%,53.7%,(6.3%),(75.0%),(17.2%),(86.4%),(44.4%),(65.7%),4,2,0,475,7,11,5,2,16,13,27,27,0,0,1,0,25,5,136,2.9%,46.3%,(0.0%),(74.9%),(14.3%),(81.3%),(46.2%),(66.7%),,
197,2,0320,琉球,2-3,H,味フィ西,晴時々曇,ＦＣ東京U-23,2016,fct,,14,6,0,420,17,15,2,6,21,15,20,15,5,1,3,0,35,14,142,9.9%,45.5%,(14.3%),(75.0%),(29.4%),(81.0%),(53.3%),(80.0%),14,6,0,560,15,20,1,4,36,16,31,19,2,2,2,0,39,10,161,8.7%,54.5%,(21.4%),(76.1%),(13.3%),(77.8%),(56.3%),(77.4%),,
198,3,0403,秋田,0-1,A,Ａ‐スタ,曇時々雨,ＦＣ東京U-23,2016,fct,,13,6,0,427,13,6,0,4,18,13,26,20,6,4,3,0,42,18,120,10.8%,44.7%,(7.7%),(74.7%),(38.5%),(66.7%),(76.9%),(65.4%),10,4,0,682,22,13,4,6,24,29,20,14,2,0,1,0,64,10,131,7.6%,55.3%,(0.0%),(82.8%),(18.2%),(83.3%),(41.4%),(70.0%),,
199,4,0410,富山,0-3,H,味フィ西,曇,ＦＣ東京U-23,2016,fct,,11,3,0,652,28,12,1,3,17,17,23,14,1,4,2,0,46,21,110,10.0%,57.5%,(0.0%),(85.1%),(21.4%),(94.1%),(58.8%),(73.9%),15,7,0,406,8,10,4,5,13,16,21,14,5,1,1,0,44,13,118,12.7%,42.5%,(20.0%),(82.3%),(12.5%),(53.8%),(43.8%),(76.2%),,
200,5,0417,Ｇ大23,1-1,H,夢の島,雨のち曇時々晴,ＦＣ東京U-23,2016,fct,,9,5,0,383,23,14,0,4,38,13,22,13,0,2,4,0,43,11,165,5.5%,43%,(11.1%),(64.0%),(17.4%),(78.9%),(53.8%),(90.9%),17,7,0,549,12,12,2,6,32,17,25,9,3,0,0,0,43,13,152,11.2%,57%,(5.9%),(76.9%),(16.7%),(81.3%),(58.8%),(84.0%),,
201,6,0424,鳥取,1-0,A,とりスタ,曇,ＦＣ東京U-23,2016,fct,,14,2,0,431,15,12,2,4,30,15,32,24,1,5,3,0,40,9,126,11.1%,49.9%,(0.0%),(74.0%),(6.7%),(90.0%),(60.0%),(81.3%),12,6,0,427,18,16,5,4,27,15,20,21,0,2,1,0,34,10,125,9.6%,50.1%,(8.3%),(79.2%),(11.1%),(85.2%),(53.3%),(60.0%),,
202,7,0501,栃木,1-1,H,味フィ西,晴,ＦＣ東京U-23,2016,fct,,10,3,1,455,9,13,1,2,19,17,24,19,1,3,1,0,38,9,124,8.1%,46.2%,(10.0%),(74.1%),(11.1%),(78.9%),(35.3%),(87.5%),11,1,0,564,13,12,3,2,18,15,22,28,4,1,1,0,36,9,120,9.2%,53.8%,(9.1%),(80.3%),(30.8%),(77.8%),(73.3%),(63.6%),,
203,8,0508,YS横浜,0-1,A,ニッパツ,晴,ＦＣ東京U-23,2016,fct,,11,3,1,375,8,8,10,6,23,12,29,23,5,1,0,0,29,11,131,8.4%,43.7%,(9.1%),(68.3%),(0.0%),(91.3%),(50.0%),(72.4%),8,4,0,612,13,8,1,3,32,14,19,11,7,10,1,0,29,8,136,5.9%,56.3%,(0.0%),(78.1%),(38.5%),(90.6%),(35.7%),(57.9%),,
204,9,0515,大分,0-3,A,大銀ド,曇のち晴,ＦＣ東京U-23,2016,fct,,14,5,0,643,12,13,1,5,20,14,23,18,2,4,1,0,53,16,131,10.7%,55.1%,(21.4%),(83.8%),(25.0%),(95.0%),(57.1%),(87.0%),8,0,0,507,13,8,4,0,17,15,34,17,3,1,3,0,41,7,118,6.8%,44.9%,(0.0%),(81.1%),(30.8%),(76.5%),(53.3%),(73.5%),,
205,10,0522,鹿児島,0-0,H,夢の島,晴,ＦＣ東京U-23,2016,fct,,11,2,0,385,13,11,5,3,28,24,40,27,5,1,1,0,37,11,163,6.7%,43.5%,(0.0%),(71.9%),(7.7%),(89.3%),(37.5%),(77.5%),11,5,0,585,19,15,1,5,28,16,45,13,7,4,3,0,55,11,159,6.9%,56.5%,(0.0%),(77.6%),(10.5%),(85.7%),(62.5%),(73.3%),,
206,11,0529,長野,1-0,A,南長野,曇,ＦＣ東京U-23,2016,fct,,14,5,0,481,11,14,1,4,30,9,35,12,4,2,0,0,47,16,141,9.9%,51%,(0.0%),(74.4%),(45.5%),(96.7%),(33.3%),(68.6%),10,2,0,436,7,11,2,2,17,13,28,26,2,1,3,1,23,7,128,7.8%,49%,(10.0%),(75.9%),(14.3%),(82.4%),(30.8%),(78.6%),,
207,12,0612,藤枝,1-1,H,味フィ西,曇,ＦＣ東京U-23,2016,fct,,21,7,0,331,15,21,1,8,31,13,18,19,0,1,0,0,40,13,146,14.4%,45.9%,(4.8%),(67.4%),(13.3%),(77.4%),(46.2%),(83.3%),14,4,1,413,15,8,1,6,18,13,30,37,1,1,1,0,33,9,142,9.9%,54.1%,(7.1%),(73.8%),(33.3%),(66.7%),(69.2%),(73.3%),,
208,13,0618,Ｃ大23,1-2,A,金鳥スタ,晴,ＦＣ東京U-23,2016,fct,,12,4,0,412,8,10,1,5,29,14,29,23,1,5,2,0,40,9,158,7.6%,53.6%,(16.7%),(66.5%),(0.0%),(62.1%),(35.7%),(75.9%),9,3,0,410,11,8,5,3,35,22,26,22,2,1,1,0,26,10,150,6.0%,46.4%,(11.1%),(65.6%),(27.3%),(80.0%),(45.5%),(76.9%),,
209,14,0626,盛岡,1-0,H,味フィ西,晴,ＦＣ東京U-23,2016,fct,,19,11,1,471,18,13,1,8,39,17,37,27,9,2,1,0,52,22,167,11.4%,50.8%,(5.3%),(71.5%),(27.8%),(76.9%),(47.1%),(75.7%),14,1,0,522,13,5,3,5,28,16,30,24,3,1,1,0,37,8,156,9.0%,49.2%,(0.0%),(73.9%),(30.8%),(78.6%),(31.3%),(70.0%),,
210,15,0703,福島,1-1,H,駒沢,晴,ＦＣ東京U-23,2016,fct,,5,1,1,452,12,17,0,3,26,14,20,17,1,1,0,0,25,6,121,4.1%,51.1%,(20.0%),(75.7%),(25.0%),(88.5%),(42.9%),(65.0%),13,2,0,380,10,2,1,2,35,12,13,16,4,0,2,0,35,9,120,10.8%,48.9%,(7.7%),(73.2%),(10.0%),(62.9%),(58.3%),(100.0%),,
