,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値
12,13,0619,栃木,2-3,H,吹田Ｓ,曇,ガンバ大阪U-23,2016,g-23,,16,5,0,611,20,8,1,4,20,22,23,18,5,0,2,0,56,14,127,12.6%,58%,(12.5%),(79.9%),(10.0%),(85.0%),(54.5%),(82.6%),5,5,0,393,16,15,0,1,29,22,22,15,7,1,1,0,39,9,138,3.6%,42%,(60.0%),(70.0%),(12.5%),(72.4%),(45.5%),(90.9%),,
13,14,0626,福島,1-1,A,とうスタ,曇,ガンバ大阪U-23,2016,g-23,,11,1,0,340,13,8,3,3,27,16,28,22,5,0,3,0,33,13,122,9.0%,43.4%,(9.1%),(67.9%),(15.4%),(81.5%),(37.5%),(60.7%),13,1,0,537,9,11,0,5,24,12,26,19,1,3,1,0,31,10,128,10.2%,56.6%,(7.7%),(75.4%),(22.2%),(83.3%),(50.0%),(84.6%),,
14,15,0703,長野,1-1,H,吹田Ｓ,晴,ガンバ大阪U-23,2016,g-23,,14,6,0,382,7,11,2,3,17,8,17,46,2,0,4,0,29,12,128,10.9%,45.6%,(7.1%),(72.0%),(42.9%),(94.1%),(50.0%),(70.6%),17,8,0,529,23,10,0,5,23,6,25,15,1,2,2,0,50,19,137,12.4%,54.4%,(5.9%),(76.0%),(26.1%),(56.5%),(33.3%),(88.0%),,
15,16,0710,Ｃ大23,2-1,A,金鳥スタ,晴,ガンバ大阪U-23,2016,g-23,,13,4,0,275,3,12,2,2,27,4,30,18,1,0,0,0,26,6,124,10.5%,36.6%,(7.7%),(65.8%),(33.3%),(85.2%),(25.0%),(80.0%),16,3,0,584,21,5,0,9,30,23,20,14,3,2,1,0,59,15,134,11.9%,63.4%,(12.5%),(81.5%),(19.0%),(93.3%),(43.5%),(70.0%),,
16,17,0716,相模原,2-1,A,ギオンス,曇時々晴,ガンバ大阪U-23,2016,g-23,,15,6,0,488,23,16,2,4,26,13,30,20,6,0,1,0,53,18,143,10.5%,48.8%,(6.7%),(73.8%),(26.1%),(96.2%),(30.8%),(73.3%),13,5,0,542,10,12,0,5,28,13,18,25,4,2,0,0,31,12,139,9.4%,51.2%,(15.4%),(77.5%),(30.0%),(82.1%),(23.1%),(77.8%),,
17,18,0724,福島,1-0,H,吹田Ｓ,晴,ガンバ大阪U-23,2016,g-23,,12,4,0,501,14,9,1,1,24,11,20,27,2,5,3,0,39,12,118,10.2%,50.1%,(8.3%),(76.8%),(14.3%),(87.5%),(54.5%),(85.0%),13,2,0,471,10,13,5,3,19,9,17,18,1,1,0,0,32,13,126,10.3%,49.9%,(0.0%),(79.0%),(40.0%),(78.9%),(55.6%),(82.4%),,
18,19,0731,盛岡,0-0,A,いわスタ,晴,ガンバ大阪U-23,2016,g-23,,23,5,0,512,17,10,1,3,30,10,29,11,2,1,1,0,53,23,135,17.0%,45.4%,(0.0%),(77.5%),(17.6%),(86.7%),(60.0%),(86.2%),12,5,0,538,10,13,1,7,25,11,35,19,4,1,0,0,44,15,138,8.7%,54.6%,(0.0%),(78.8%),(20.0%),(84.0%),(36.4%),(65.7%),,
19,20,0807,琉球,1-4,H,万博,晴,ガンバ大阪U-23,2016,g-23,,15,8,0,654,17,7,5,4,29,14,17,10,2,3,1,0,45,19,132,11.4%,58.5%,(6.7%),(83.2%),(17.6%),(96.6%),(42.9%),(76.5%),13,7,1,408,10,13,3,2,22,15,27,21,3,5,0,0,40,15,133,9.8%,41.5%,(30.8%),(76.2%),(10.0%),(90.9%),(46.7%),(77.8%),,
20,21,0911,長野,0-4,A,南長野,晴,ガンバ大阪U-23,2016,g-23,,15,9,0,292,8,11,1,4,23,7,35,27,2,0,1,0,34,14,132,11.4%,37.8%,(26.7%),(62.3%),(12.5%),(60.9%),(42.9%),(80.0%),10,3,0,565,17,8,1,5,38,16,14,21,1,1,2,0,55,9,142,7.0%,62.2%,(0.0%),(77.9%),(5.9%),(89.5%),(37.5%),(85.7%),,
21,22,0918,鹿児島,6-1,H,吹田Ｓ,曇のち雨,ガンバ大阪U-23,2016,g-23,,20,13,0,434,14,14,0,1,19,10,18,26,3,3,3,0,32,13,118,16.9%,48.1%,(30.0%),(78.1%),(28.6%),(89.5%),(70.0%),(77.8%),18,4,0,480,12,17,3,8,21,8,13,15,2,0,3,0,37,17,132,13.6%,51.9%,(5.6%),(77.1%),(16.7%),(100.0%),(50.0%),(100.0%),,
