,節,開催日,相手,スコア,HomeAway,会場,天候,指揮官,自チーム,年度,team_id,H_ゴール期待値,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_ゴール期待値,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率
0,1,0310,Ｇ大23,2-2,A,パナスタ,雨,大石　篤人,ヴァンラーレ八戸,2019,hach,1.859,14,4,1,641,20,15,1,5,20,20,15,16,2,3,0,0,50,18,143,9.8%,58.2%,(14.3%),(81.0%),(5.0%),(80.0%),(30.0%),(66.7%),1.246,16,4,0,371,12,12,3,5,20,13,27,32,5,1,1,0,30,12,140,11.4%,41.8%,(12.5%),(67.1%),(8.3%),(90.0%),(53.8%),(74.1%)
1,2,0317,長野,2-0,A,長野Ｕ,曇のち晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.932,12,1,0,443,23,11,2,6,42,9,22,17,3,4,1,0,30,10,157,7.6%,49.8%,(0.0%),(59.6%),(8.7%),(61.9%),(11.1%),(50.0%),1.78,7,2,1,384,14,11,4,4,24,10,26,40,2,1,1,0,24,4,145,4.8%,50.2%,(28.6%),(61.2%),(14.3%),(41.7%),(40.0%),(53.8%)
2,3,0324,YS横浜,3-4,H,ダイスタ,曇のち雪のち晴,大石　篤人,ヴァンラーレ八戸,2019,hach,2.896,23,7,0,386,18,10,3,3,43,21,36,30,1,0,2,0,34,11,146,15.8%,47%,(13.0%),(64.2%),(22.2%),(58.1%),(61.9%),(58.3%),1.827,16,7,0,401,19,12,0,5,37,23,36,40,2,3,0,0,36,22,142,11.3%,53%,(25.0%),(69.8%),(21.1%),(81.1%),(47.8%),(66.7%)
3,4,0330,群馬,1-0,A,正田スタ,曇時々雨,大石　篤人,ヴァンラーレ八戸,2019,hach,2.305,22,9,0,469,32,16,3,10,46,19,11,24,0,2,0,0,39,14,166,13.3%,51.1%,(0.0%),(58.8%),(25.0%),(76.1%),(36.8%),(63.6%),0.961,12,4,0,355,18,7,2,4,39,6,15,38,1,3,4,0,19,11,149,8.1%,48.9%,(8.3%),(53.2%),(27.8%),(74.4%),(66.7%),(46.7%)
4,5,0407,鳥取,2-2,H,ダイスタ,雨のち曇のち晴,大石　篤人,ヴァンラーレ八戸,2019,hach,1.047,9,4,0,469,14,10,6,3,27,6,19,34,2,1,2,0,31,5,136,6.6%,49.9%,(22.2%),(73.1%),(28.6%),(85.2%),(33.3%),(63.2%),0.955,12,4,0,561,11,11,1,6,33,5,19,19,1,6,1,0,30,12,139,8.6%,50.1%,(16.7%),(74.9%),(54.5%),(97.0%),(40.0%),(52.6%)
5,6,0413,Ｆ東23,0-1,A,味フィ西,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,2.309,16,6,1,613,26,6,3,7,34,15,17,25,5,5,1,0,37,17,148,10.8%,59.7%,(6.3%),(76.8%),(23.1%),(82.4%),(53.3%),(58.8%),1.382,13,7,0,392,19,10,5,1,22,9,25,44,1,3,1,0,31,8,136,9.6%,40.3%,(0.0%),(66.3%),(31.6%),(86.4%),(44.4%),(60.0%)
6,7,0428,福島,2-3,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.949,10,4,0,500,17,10,5,5,23,15,26,20,1,5,1,1,39,12,128,7.8%,54.4%,(20.0%),(76.4%),(11.8%),(87.0%),(60.0%),(61.5%),2.5,24,11,0,430,19,6,5,6,23,16,20,34,1,5,0,0,47,20,131,18.3%,45.6%,(12.5%),(74.7%),(26.3%),(91.3%),(62.5%),(75.0%)
7,8,0505,熊本,0-1,A,えがおＳ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,1.376,15,4,0,525,13,17,1,5,27,5,17,15,2,3,0,0,37,14,117,12.8%,55.4%,(6.7%),(82.7%),(38.5%),(96.3%),(40.0%),(52.9%),0.868,8,2,0,435,10,7,3,0,28,10,15,22,2,2,2,0,25,9,110,7.3%,44.6%,(0.0%),(77.2%),(20.0%),(89.3%),(40.0%),(80.0%)
8,9,0519,沼津,0-1,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.306,5,2,0,535,20,16,5,2,26,14,22,14,2,0,1,0,45,5,132,3.8%,61.8%,(0.0%),(74.6%),(10.0%),(88.5%),(35.7%),(59.1%),1.676,13,2,0,288,11,18,0,2,29,12,24,28,3,5,1,0,27,11,130,10.0%,38.2%,(7.7%),(61.1%),(36.4%),(58.6%),(50.0%),(62.5%)
9,10,0530,Ｃ大23,3-0,A,ヤンマー,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.837,14,2,0,584,19,12,0,7,32,15,15,16,0,1,1,0,43,12,145,9.7%,56.3%,(0.0%),(79.3%),(26.3%),(78.1%),(53.3%),(53.3%),2.182,16,6,0,377,10,10,1,6,25,10,23,45,2,0,0,0,35,10,136,11.8%,43.7%,(18.8%),(71.9%),(20.0%),(80.0%),(50.0%),(78.3%)
10,11,0609,藤枝,0-3,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.917,11,2,0,547,16,14,2,4,26,7,11,15,4,0,1,0,40,9,142,7.7%,57.7%,(0.0%),(75.7%),(6.3%),(80.8%),(42.9%),(72.7%),2.14,14,5,1,373,14,7,0,4,26,8,15,37,4,2,0,0,35,12,131,10.7%,42.3%,(21.4%),(69.4%),(21.4%),(61.5%),(25.0%),(80.0%)
11,12,0616,岩手,4-1,H,ダイスタ,雨,大石　篤人,ヴァンラーレ八戸,2019,hach,2.457,19,5,0,237,20,14,2,15,34,23,22,31,2,1,1,0,29,18,134,14.2%,39.1%,(21.1%),(57.0%),(35.0%),(73.5%),(47.8%),(45.5%),0.557,7,1,0,457,8,11,1,3,38,9,20,34,1,2,1,0,31,6,141,5.0%,60.9%,(14.3%),(72.9%),(12.5%),(86.8%),(33.3%),(55.0%)
12,13,0623,富山,2-1,A,富山,曇,大石　篤人,ヴァンラーレ八戸,2019,hach,1.96,16,8,0,535,23,8,0,10,31,14,15,19,1,5,1,0,42,19,132,12.1%,57.3%,(6.3%),(78.5%),(13.0%),(83.9%),(64.3%),(80.0%),1.247,12,3,0,335,15,10,5,3,23,14,12,34,3,0,0,0,32,10,121,9.9%,42.7%,(16.7%),(68.4%),(26.7%),(78.3%),(57.1%),(66.7%)
13,14,0630,秋田,1-2,H,ダイスタ,曇のち雨,大石　篤人,ヴァンラーレ八戸,2019,hach,1.013,11,1,0,394,15,10,3,5,33,10,19,26,0,2,1,0,44,11,135,8.1%,51.4%,(9.1%),(69.3%),(0.0%),(78.8%),(40.0%),(57.9%),1.139,5,3,1,404,7,9,2,5,43,5,25,35,0,2,0,0,17,5,141,3.5%,48.6%,(20.0%),(68.3%),(0.0%),(90.7%),(20.0%),(60.0%)
14,15,0706,相模原,0-1,A,ギオンス,曇,大石　篤人,ヴァンラーレ八戸,2019,hach,0.843,8,2,0,344,14,9,4,5,19,7,20,45,1,3,0,0,23,12,133,6.0%,43.2%,(12.5%),(62.5%),(14.3%),(84.2%),(71.4%),(85.0%),1.897,14,3,1,531,24,11,3,7,29,12,15,21,1,3,2,0,56,13,137,10.2%,56.8%,(0.0%),(75.3%),(16.7%),(75.9%),(33.3%),(66.7%)
15,16,0714,讃岐,5-1,H,ダイスタ,曇,大石　篤人,ヴァンラーレ八戸,2019,hach,1.887,19,7,0,372,20,12,0,6,16,8,23,17,3,3,3,0,45,18,129,14.7%,37.8%,(26.3%),(69.1%),(40.0%),(87.5%),(50.0%),(73.9%),0.525,11,5,0,685,14,15,3,2,21,13,18,16,0,0,3,1,25,13,137,8.0%,62.2%,(9.1%),(82.0%),(28.6%),(95.2%),(46.2%),(88.9%)
16,17,0720,北九州,1-1,A,ミクスタ,雨,大石　篤人,ヴァンラーレ八戸,2019,hach,0.918,14,2,0,523,28,7,1,7,37,19,19,19,3,4,1,0,43,14,155,9.0%,53.5%,(7.1%),(69.8%),(21.4%),(86.5%),(31.6%),(73.7%),0.416,7,2,0,437,15,9,4,1,18,5,24,33,5,1,0,0,42,7,128,5.5%,46.5%,(14.3%),(69.3%),(13.3%),(77.8%),(80.0%),(70.8%)
17,18,0728,YS横浜,1-1,A,ニッパツ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,1.483,19,7,0,567,5,8,7,4,24,7,10,23,2,2,0,0,32,11,121,15.7%,58.9%,(5.3%),(77.8%),(40.0%),(83.3%),(71.4%),(40.0%),0.915,10,2,0,335,13,6,2,3,24,7,10,23,1,7,1,0,30,10,122,8.2%,41.1%,(10.0%),(62.4%),(30.8%),(83.3%),(57.1%),(70.0%)
18,19,0804,Ｇ大23,2-2,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,1.042,16,5,0,405,23,9,3,7,26,14,23,15,1,0,2,0,39,19,129,12.4%,40.4%,(12.5%),(68.6%),(21.7%),(92.3%),(42.9%),(73.9%),1.782,15,4,0,654,5,11,0,1,23,19,25,17,7,3,2,0,41,14,130,11.5%,59.6%,(13.3%),(82.4%),(0.0%),(91.3%),(42.1%),(64.0%)
19,20,0810,鳥取,2-0,A,とりスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,1.244,17,4,0,715,23,10,2,5,28,22,16,15,3,2,0,0,59,18,117,14.5%,64.1%,(0.0%),(83.1%),(21.7%),(100.0%),(63.6%),(43.8%),1.109,11,4,0,298,13,14,2,2,22,6,19,45,2,2,0,0,27,8,114,9.6%,35.9%,(18.2%),(69.5%),(38.5%),(77.3%),(50.0%),(63.2%)
20,21,0901,北九州,0-3,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.924,11,4,0,528,31,13,2,9,30,21,11,16,3,1,3,0,41,10,128,8.6%,51.7%,(0.0%),(79.0%),(9.7%),(90.0%),(33.3%),(72.7%),1,9,6,0,491,8,13,1,1,18,2,16,47,0,1,1,0,20,8,110,8.2%,48.3%,(33.3%),(79.6%),(12.5%),(77.8%),(50.0%),(75.0%)
21,22,0908,沼津,2-1,A,愛鷹,曇,大石　篤人,ヴァンラーレ八戸,2019,hach,1.685,18,3,0,397,16,10,1,4,46,12,21,14,0,2,0,0,28,15,140,12.9%,47.9%,(5.6%),(61.5%),(31.3%),(73.9%),(50.0%),(76.2%),0.816,13,4,0,382,13,9,2,4,32,8,19,40,1,1,2,0,29,12,137,9.5%,52.1%,(15.4%),(67.8%),(15.4%),(71.9%),(50.0%),(52.6%)
22,23,0915,熊本,1-2,H,ダイスタ,曇,大石　篤人,ヴァンラーレ八戸,2019,hach,1.763,16,4,0,412,17,6,2,5,21,6,13,17,2,4,1,0,29,13,104,15.4%,37.6%,(6.3%),(79.1%),(29.4%),(76.2%),(33.3%),(76.9%),0.919,12,4,0,768,9,8,4,3,7,4,16,25,1,2,1,0,48,14,97,12.4%,62.4%,(16.7%),(89.2%),(33.3%),(100.0%),(75.0%),(62.5%)
23,24,0929,Ｆ東23,1-0,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,1.807,16,7,0,425,18,8,0,9,18,8,21,24,2,0,0,0,34,13,128,12.5%,43.9%,(6.3%),(75.3%),(27.8%),(88.9%),(62.5%),(66.7%),1.781,14,4,0,634,19,6,0,8,25,16,16,22,0,0,0,0,47,14,130,10.8%,56.1%,(0.0%),(82.2%),(15.8%),(100.0%),(50.0%),(81.3%)
24,25,1005,岩手,2-0,A,北上,曇,大石　篤人,ヴァンラーレ八戸,2019,hach,0.536,6,2,0,499,14,8,4,2,22,12,19,32,1,2,2,1,32,9,120,5.0%,54.9%,(0.0%),(77.0%),(21.4%),(100.0%),(33.3%),(68.4%),2.216,18,7,1,467,25,4,2,7,17,7,15,17,3,4,1,0,43,20,116,15.5%,45.1%,(11.1%),(74.3%),(8.0%),(88.2%),(71.4%),(53.3%)
25,26,1014,相模原,0-1,H,ダイスタ,曇,大石　篤人,ヴァンラーレ八戸,2019,hach,1.243,15,3,0,506,17,11,2,4,30,10,16,23,5,1,2,0,43,6,144,10.4%,52.5%,(0.0%),(71.7%),(11.8%),(70.0%),(40.0%),(68.8%),1.148,9,2,0,464,15,12,1,3,26,11,23,29,3,2,1,0,30,11,144,6.3%,47.5%,(11.1%),(71.3%),(26.7%),(80.8%),(27.3%),(65.2%)
26,27,1020,長野,1-0,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,1.009,8,3,0,339,8,16,4,4,19,3,24,56,4,1,0,0,16,3,133,6.0%,42.9%,(12.5%),(69.9%),(0.0%),(84.2%),(33.3%),(75.0%),0.409,12,3,0,542,28,13,1,3,48,16,15,17,1,4,0,0,45,14,146,8.2%,57.1%,(0.0%),(76.2%),(17.9%),(83.3%),(43.8%),(60.0%)
27,28,1027,秋田,1-0,A,ソユスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.922,10,5,0,589,21,11,0,1,29,9,22,19,3,0,0,0,43,8,143,7.0%,56.2%,(0.0%),(73.9%),(14.3%),(96.6%),(44.4%),(68.2%),0.961,9,2,0,372,14,10,0,6,28,11,25,37,2,0,0,0,24,8,145,6.2%,43.8%,(11.1%),(68.3%),(14.3%),(60.7%),(45.5%),(76.0%)
28,29,1103,藤枝,1-2,A,藤枝サ,曇,大石　篤人,ヴァンラーレ八戸,2019,hach,2.1,16,7,1,522,16,9,0,2,20,6,22,25,2,7,2,0,37,13,120,13.3%,50.5%,(12.5%),(79.1%),(12.5%),(90.0%),(16.7%),(63.6%),0.419,5,3,0,463,17,13,7,1,27,5,23,16,1,0,1,0,39,9,127,3.9%,49.5%,(20.0%),(76.0%),(17.6%),(85.2%),(40.0%),(60.9%)
29,30,1110,群馬,1-1,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.582,11,3,0,443,13,15,4,1,30,13,14,44,5,3,1,0,44,10,140,7.9%,50.9%,(9.1%),(71.8%),(7.7%),(80.0%),(61.5%),(50.0%),0.849,9,2,0,471,35,6,3,6,41,9,22,21,1,4,3,0,40,12,152,5.9%,49.1%,(11.1%),(64.3%),(17.1%),(80.5%),(33.3%),(63.6%)
30,31,1117,富山,2-0,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.292,8,2,0,308,11,12,3,7,27,15,25,40,0,0,1,0,30,11,140,5.7%,42%,(25.0%),(63.0%),(27.3%),(59.3%),(60.0%),(48.0%),0.741,11,2,0,589,27,13,0,3,37,15,16,23,3,3,0,0,55,16,147,7.5%,58%,(0.0%),(73.9%),(11.1%),(91.9%),(53.3%),(62.5%)
31,32,1124,福島,2-1,A,とうスタ,雨,大石　篤人,ヴァンラーレ八戸,2019,hach,0.574,10,5,0,570,10,5,2,1,28,10,16,18,5,1,5,2,39,13,129,7.8%,60%,(10.0%),(79.6%),(10.0%),(89.3%),(70.0%),(56.3%),1.934,14,5,0,327,13,16,1,7,32,12,14,8,1,2,0,0,46,8,143,9.8%,40%,(14.3%),(67.0%),(23.1%),(56.3%),(25.0%),(78.6%)
32,33,1201,讃岐,0-1,A,ピカスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,1.414,9,5,1,559,8,7,3,4,19,14,14,23,3,1,1,0,25,6,126,7.1%,52.5%,(11.1%),(78.9%),(12.5%),(94.7%),(42.9%),(57.1%),1.161,19,2,0,491,18,9,1,4,24,13,21,7,1,2,3,0,43,23,125,15.2%,47.5%,(0.0%),(77.0%),(22.2%),(79.2%),(46.2%),(76.2%)
33,34,1208,Ｃ大23,2-3,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,3.307,17,6,0,505,22,5,2,5,33,11,26,25,2,1,0,0,58,17,142,12.0%,50.4%,(11.8%),(73.9%),(31.8%),(72.7%),(45.5%),(69.2%),1.802,13,4,0,460,14,16,1,4,21,8,14,22,3,2,0,0,30,9,137,9.5%,49.6%,(23.1%),(75.4%),(35.7%),(76.2%),(37.5%),(71.4%)
34,1,0627,福島,0-2,A,とうスタ,曇,中口　雅史,ヴァンラーレ八戸,2020,hach,2.027,20,6,0,507,14,8,1,5,24,8,21,21,4,3,0,0,43,11,133,15.0%,53.9%,(10.0%),(76.3%),(35.7%),(91.7%),(62.5%),(52.4%),0.731,13,2,0,464,17,6,3,5,36,7,16,14,0,1,0,0,34,16,134,9.7%,46.1%,(0.0%),(71.1%),(29.4%),(69.4%),(57.1%),(62.5%)
35,2,0705,岩手,2-0,H,プラスタ,曇,中口　雅史,ヴァンラーレ八戸,2020,hach,0.978,12,5,0,283,3,14,1,2,12,11,13,53,2,3,3,1,22,13,115,10.4%,41.8%,(16.7%),(67.5%),(33.3%),(75.0%),(36.4%),(69.2%),2.746,20,4,0,527,25,10,3,12,44,13,20,11,0,1,0,0,55,29,142,14.1%,58.2%,(0.0%),(75.3%),(24.0%),(75.0%),(38.5%),(65.0%)
36,3,0711,秋田,0-2,H,プラスタ,雨,中口　雅史,ヴァンラーレ八戸,2020,hach,1.227,11,1,0,394,17,9,3,9,31,3,13,20,3,0,3,0,33,13,140,7.9%,52.7%,(0.0%),(68.0%),(35.3%),(67.7%),(33.3%),(53.8%),2.855,17,9,0,355,17,10,0,6,36,7,14,15,0,3,1,0,29,10,135,12.6%,47.3%,(11.8%),(63.9%),(23.5%),(63.9%),(42.9%),(64.3%)
37,4,0715,YS横浜,2-1,A,ニッパツ,雨,中口　雅史,ヴァンラーレ八戸,2020,hach,1.716,14,4,0,428,20,3,4,9,33,9,24,25,2,0,1,0,32,12,126,11.1%,48.8%,(7.1%),(74.1%),(25.0%),(66.7%),(66.7%),(70.8%),1.246,14,5,0,540,20,8,0,5,26,14,16,29,2,4,1,0,49,11,118,11.9%,51.2%,(14.3%),(81.7%),(10.0%),(69.2%),(50.0%),(56.3%)
38,5,0718,相模原,1-2,A,ギオンス,曇,中口　雅史,ヴァンラーレ八戸,2020,hach,1.092,8,3,0,366,7,8,1,1,24,9,33,39,4,1,2,0,28,10,124,6.5%,41.6%,(25.0%),(71.3%),(14.3%),(95.8%),(77.8%),(57.6%),1.583,20,5,0,659,29,9,1,7,29,15,17,9,0,1,1,0,67,25,140,14.3%,58.4%,(5.0%),(81.0%),(17.2%),(89.7%),(40.0%),(76.5%)
39,6,0725,沼津,0-1,H,プラスタ,霧,中口　雅史,ヴァンラーレ八戸,2020,hach,0.62,8,3,0,463,8,13,1,0,25,13,22,14,1,2,4,0,37,9,127,6.3%,48.5%,(0.0%),(79.5%),(12.5%),(72.0%),(38.5%),(59.1%),1.637,10,3,1,510,9,11,2,4,29,8,27,21,1,1,0,0,41,10,125,8.0%,51.5%,(10.0%),(80.8%),(44.4%),(86.2%),(62.5%),(81.5%)
40,7,0729,長野,2-2,H,プラスタ,晴,中口　雅史,ヴァンラーレ八戸,2020,hach,1.185,10,3,0,496,17,6,2,3,27,7,35,29,2,2,1,0,38,10,133,7.5%,49.2%,(20.0%),(75.0%),(41.2%),(85.2%),(42.9%),(71.4%),1.475,11,3,0,515,14,7,2,3,30,11,25,19,4,2,1,0,29,16,130,8.5%,50.8%,(18.2%),(76.3%),(28.6%),(90.0%),(18.2%),(64.0%)
41,8,0802,今治,1-1,A,夢スタ,晴,中口　雅史,ヴァンラーレ八戸,2020,hach,1.15,14,3,0,577,24,8,4,6,12,12,11,23,2,0,0,0,40,15,96,14.6%,58.9%,(0.0%),(85.6%),(25.0%),(91.7%),(33.3%),(63.6%),1.654,12,2,0,402,17,12,0,5,26,5,12,24,3,4,0,0,29,12,106,11.3%,41.1%,(8.3%),(76.9%),(41.2%),(96.2%),(80.0%),(58.3%)
42,9,0809,鳥取,1-0,H,プラスタ,曇,中口　雅史,ヴァンラーレ八戸,2020,hach,1.105,14,8,0,465,12,12,3,7,22,9,18,32,3,1,0,0,25,9,119,11.8%,50.1%,(7.1%),(77.6%),(16.7%),(86.4%),(22.2%),(50.0%),1.506,16,3,0,546,18,9,1,4,33,14,24,15,3,3,1,0,39,14,118,13.6%,49.9%,(0.0%),(78.0%),(38.9%),(81.8%),(64.3%),(58.3%)
43,10,0815,熊本,2-2,A,えがおＳ,晴,中口　雅史,ヴァンラーレ八戸,2020,hach,2.76,28,11,0,801,13,8,0,4,21,21,23,18,5,3,1,0,75,21,115,24.3%,62.2%,(7.1%),(88.3%),(15.4%),(95.2%),(52.4%),(60.9%),0.299,4,3,0,407,10,6,3,5,23,12,23,18,2,0,0,0,28,6,118,3.4%,37.8%,(50.0%),(77.9%),(20.0%),(87.0%),(41.7%),(65.2%)
44,11,0823,讃岐,2-4,H,プラスタ,晴,中口　雅史,ヴァンラーレ八戸,2020,hach,2.149,21,5,0,581,11,6,0,5,29,12,15,18,3,6,0,0,39,9,126,16.7%,58.2%,(9.5%),(77.1%),(27.3%),(72.4%),(25.0%),(46.7%),1.653,13,6,0,364,12,9,6,4,30,5,18,31,3,0,1,0,23,17,127,10.2%,41.8%,(30.8%),(69.0%),(33.3%),(76.7%),(40.0%),(38.9%)
45,13,0902,Ｃ大23,2-0,H,プラスタ,晴,中口　雅史,ヴァンラーレ八戸,2020,hach,1.92,15,6,0,421,5,4,4,5,28,5,24,22,1,4,0,0,24,9,119,12.6%,41.2%,(13.3%),(73.9%),(20.0%),(82.1%),(0.0%),(58.3%),0.355,3,0,0,562,8,9,4,8,30,9,15,17,2,4,0,0,20,6,135,2.2%,58.8%,(0.0%),(79.4%),(12.5%),(73.3%),(22.2%),(66.7%)
46,14,0908,鹿児島,1-2,A,白波スタ,晴,中口　雅史,ヴァンラーレ八戸,2020,hach,3.305,17,9,1,451,12,9,2,4,27,9,23,22,3,3,0,0,33,18,131,13.0%,49.1%,(11.8%),(78.0%),(16.7%),(85.2%),(33.3%),(69.6%),0.562,10,2,0,496,11,9,3,4,26,9,13,24,4,2,1,0,30,13,126,7.9%,50.9%,(10.0%),(78.4%),(0.0%),(84.6%),(11.1%),(46.2%)
47,15,0913,岐阜,0-3,H,プラスタ,雨,中口　雅史,ヴァンラーレ八戸,2020,hach,1.215,10,0,0,637,24,10,2,7,37,6,27,14,2,3,2,1,35,14,141,7.1%,61.1%,(0.0%),(79.9%),(20.8%),(73.0%),(83.3%),(70.4%),0.926,11,4,0,303,11,10,3,5,24,12,23,24,4,2,1,0,28,10,127,8.7%,38.9%,(27.3%),(65.3%),(36.4%),(70.8%),(41.7%),(73.9%)
48,16,0919,Ｇ大23,3-2,A,パナスタ,晴,中口　雅史,ヴァンラーレ八戸,2020,hach,1.66,21,6,0,685,9,9,1,6,11,13,10,12,2,1,1,0,52,16,114,18.4%,59%,(4.8%),(85.4%),(22.2%),(100.0%),(61.5%),(70.0%),2.193,18,5,0,460,11,7,1,2,15,3,13,18,3,1,2,0,33,17,112,16.1%,41%,(16.7%),(81.1%),(36.4%),(93.3%),(66.7%),(84.6%)
49,17,0922,藤枝,2-3,H,プラスタ,晴,中口　雅史,ヴァンラーレ八戸,2020,hach,1.399,9,5,0,786,14,6,5,5,21,10,11,17,3,2,0,0,35,10,146,6.2%,62.9%,(22.2%),(81.4%),(14.3%),(76.2%),(30.0%),(63.6%),1.929,12,4,1,383,16,7,2,3,24,5,21,23,8,5,0,0,28,15,139,8.6%,37.1%,(25.0%),(64.0%),(18.8%),(75.0%),(60.0%),(61.9%)
50,18,0927,讃岐,2-4,A,ピカスタ,晴,中口　雅史,ヴァンラーレ八戸,2020,hach,2.456,23,9,0,337,12,10,3,6,22,10,18,36,5,0,0,0,31,15,123,18.7%,40%,(17.4%),(69.7%),(50.0%),(72.7%),(30.0%),(66.7%),0.667,8,3,0,681,15,11,0,7,22,8,18,22,2,3,0,0,41,9,127,6.3%,60%,(25.0%),(82.2%),(13.3%),(90.9%),(37.5%),(77.8%)
51,19,1003,福島,2-3,H,プラスタ,曇,中口　雅史,ヴァンラーレ八戸,2020,hach,2.263,17,5,0,632,27,6,3,7,25,18,25,12,4,1,0,0,45,16,143,11.9%,56.5%,(11.8%),(82.4%),(22.2%),(84.0%),(38.9%),(60.0%),2.317,19,10,0,395,15,10,1,5,13,9,27,34,3,3,0,0,29,13,132,14.4%,43.5%,(15.8%),(72.4%),(26.7%),(84.6%),(66.7%),(51.9%)
52,20,1007,沼津,0-1,A,愛鷹,曇,中口　雅史,ヴァンラーレ八戸,2020,hach,1.94,16,4,0,603,14,13,1,5,25,13,14,24,0,1,0,0,51,16,123,13.0%,56.2%,(6.3%),(81.4%),(21.4%),(80.0%),(53.8%),(78.6%),1.685,11,2,0,401,13,6,1,2,20,11,22,25,0,1,1,0,28,7,111,9.9%,43.8%,(0.0%),(74.1%),(38.5%),(90.0%),(54.5%),(63.6%)
53,21,1011,今治,0-1,H,プラスタ,雨,中口　雅史,ヴァンラーレ八戸,2020,hach,0.804,14,4,0,471,13,8,1,3,35,10,13,24,0,0,2,0,38,14,124,11.3%,52.5%,(0.0%),(76.0%),(15.4%),(100.0%),(60.0%),(69.2%),1.685,9,3,1,394,12,13,0,5,35,5,23,24,0,1,3,0,22,7,127,7.1%,47.5%,(11.1%),(70.6%),(25.0%),(71.4%),(40.0%),(65.2%)
54,22,1018,長野,1-3,A,長野Ｕ,曇,中口　雅史,ヴァンラーレ八戸,2020,hach,1.25,16,6,0,468,13,12,3,5,29,9,18,18,1,2,1,0,49,7,134,11.9%,57.8%,(18.8%),(72.2%),(15.4%),(79.3%),(22.2%),(61.1%),0.985,9,4,0,313,15,10,3,3,29,9,20,28,1,2,0,0,21,11,135,6.7%,42.2%,(11.1%),(57.5%),(26.7%),(75.9%),(44.4%),(65.0%)
55,12,1021,富山,1-1,A,富山,晴,中口　雅史,ヴァンラーレ八戸,2020,hach,3.448,33,8,0,503,10,10,1,9,29,11,14,16,2,0,0,0,39,15,133,24.8%,53.7%,(3.0%),(80.5%),(40.0%),(75.9%),(63.6%),(64.3%),1.682,15,2,1,386,8,12,0,7,24,4,21,20,0,1,1,0,23,4,125,12.0%,46.3%,(6.7%),(71.2%),(0.0%),(75.0%),(0.0%),(52.4%)
56,23,1025,鹿児島,1-0,H,プラスタ,曇,中口　雅史,ヴァンラーレ八戸,2020,hach,1.336,13,2,0,354,21,8,0,3,36,8,17,33,1,2,3,0,38,15,123,10.6%,42.9%,(7.7%),(70.3%),(23.8%),(75.0%),(75.0%),(64.7%),3.831,20,6,0,586,19,10,2,7,29,9,16,21,3,0,0,0,54,17,122,16.4%,57.1%,(0.0%),(79.9%),(42.1%),(93.1%),(44.4%),(56.3%)
57,24,1031,秋田,1-2,A,ソユスタ,晴,中口　雅史,ヴァンラーレ八戸,2020,hach,1.524,11,3,0,317,14,5,0,6,27,5,23,29,2,1,1,0,34,10,120,9.2%,44.1%,(18.2%),(64.7%),(21.4%),(63.0%),(60.0%),(73.9%),1.026,20,4,0,487,19,8,1,6,17,9,9,31,0,0,0,0,54,13,115,17.4%,55.9%,(5.0%),(79.7%),(21.1%),(76.5%),(44.4%),(55.6%)
