,節,開催日,相手,スコア,HomeAway,会場,天候,指揮官,自チーム,年度,team_id,H_ゴール期待値,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_ゴール期待値,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率
1056,13,0506,鳥取,1-1,H,富山,曇り,,カターレ富山,2013,toya,,13,5,0,443,17,11,12,10,39,18,24,28,6,2,2,0,42,15,162,8.0%,51.9%,(7.7%),(65.5%),(11.8%),(79.5%),(38.9%),(58.3%),,4,3,0,342,10,10,3,4,39,4,17,20,5,12,0,0,26,9,167,2.4%,48.1%,(25.0%),(56.7%),(20.0%),(71.8%),(25.0%),(82.4%)
1057,14,0512,千葉,2-3,A,フクアリ,晴れ,,カターレ富山,2013,toya,,12,4,0,523,11,10,3,8,19,16,20,27,3,9,1,0,27,9,141,8.5%,55.3%,(25.0%),(75.3%),(27.3%),(100.0%),(43.8%),(70.0%),,21,4,0,422,23,19,9,6,24,16,26,25,4,3,0,0,39,11,147,14.3%,44.7%,(9.5%),(70.4%),(17.4%),(87.5%),(50.0%),(84.6%)
1058,15,0519,福岡,1-2,H,富山,雨,,カターレ富山,2013,toya,,14,3,0,357,15,13,7,7,40,6,17,32,1,5,1,0,34,13,158,8.9%,46%,(7.1%),(58.3%),(33.3%),(67.5%),(33.3%),(88.2%),,11,4,0,422,9,14,5,6,42,14,18,30,0,7,2,0,32,8,161,6.8%,54%,(18.2%),(62.8%),(22.2%),(83.3%),(35.7%),(88.9%)
1059,16,0526,松本,0-3,A,松本,晴れ,,カターレ富山,2013,toya,,13,4,0,341,15,8,0,4,36,10,17,26,3,5,1,0,35,17,143,9.1%,45.9%,(23.1%),(59.5%),(20.0%),(72.2%),(70.0%),(70.6%),,15,2,0,481,14,14,5,5,27,11,19,20,0,0,2,0,45,7,141,10.6%,54.1%,(0.0%),(73.0%),(7.1%),(77.8%),(27.3%),(84.2%)
1060,17,0601,徳島,2-1,H,富山,晴れ,,カターレ富山,2013,toya,,11,5,0,371,10,10,3,2,21,9,14,30,2,2,0,0,25,6,128,8.6%,35.1%,(18.2%),(67.7%),(30.0%),(90.5%),(33.3%),(71.4%),,9,4,1,764,21,9,2,7,30,6,10,13,3,3,1,0,49,18,131,6.9%,64.9%,(11.1%),(82.3%),(19.0%),(83.3%),(66.7%),(90.0%)
1061,18,0608,群馬,0-0,H,富山,晴れ,,カターレ富山,2013,toya,,10,2,0,379,14,17,2,5,23,16,30,30,4,2,1,0,27,9,132,7.6%,43.1%,(0.0%),(72.0%),(14.3%),(87.0%),(56.3%),(73.3%),,10,2,0,478,15,15,2,4,30,24,25,17,2,2,2,0,26,10,146,6.8%,56.9%,(0.0%),(71.8%),(13.3%),(83.3%),(50.0%),(80.0%)
1062,19,0615,札幌,0-1,A,札幌厚別,晴れ,,カターレ富山,2013,toya,,16,6,0,368,16,12,2,3,51,7,29,30,2,7,1,0,42,14,158,10.1%,45.5%,(6.3%),(60.1%),(25.0%),(78.4%),(85.7%),(62.1%),,5,2,0,508,17,9,8,3,38,10,15,27,3,2,1,0,34,8,153,3.3%,54.5%,(0.0%),(70.7%),(17.6%),(86.8%),(70.0%),(80.0%)
1063,20,0622,横浜FC,1-2,A,ニッパ球,晴れ,,カターレ富山,2013,toya,,10,4,0,485,16,24,2,5,31,17,22,22,6,1,1,0,42,10,142,7.0%,53.7%,(20.0%),(74.2%),(18.8%),(93.5%),(35.3%),(54.5%),,8,3,0,425,14,8,1,4,24,7,23,33,6,2,1,0,30,6,128,6.3%,46.3%,(12.5%),(73.4%),(28.6%),(62.5%),(42.9%),(60.9%)
1064,21,0629,岡山,0-0,H,富山,晴れ,,カターレ富山,2013,toya,,7,1,0,321,20,20,1,3,17,14,20,34,4,1,3,1,30,13,133,5.3%,36.2%,(0.0%),(68.8%),(15.0%),(64.7%),(42.9%),(85.0%),,11,2,0,610,22,11,1,6,36,14,23,15,1,0,2,0,54,12,135,8.1%,63.8%,(0.0%),(79.3%),(18.2%),(94.4%),(21.4%),(78.3%)
1065,22,0703,千葉,1-2,H,富山,曇りのち雨,,カターレ富山,2013,toya,,18,5,1,448,21,8,6,5,26,13,13,16,1,2,3,0,45,16,128,14.1%,45.5%,(5.6%),(75.9%),(19.0%),(100.0%),(69.2%),(84.6%),,9,4,0,545,9,16,3,2,31,9,27,36,6,4,2,0,40,6,130,6.9%,54.5%,(22.2%),(80.6%),(22.2%),(77.4%),(44.4%),(74.1%)
1066,23,0707,栃木,1-1,A,栃木グ,晴れ,,カターレ富山,2013,toya,,20,8,0,635,32,7,0,10,56,12,15,21,2,5,2,1,50,16,160,12.5%,61.6%,(5.0%),(75.9%),(15.6%),(87.5%),(58.3%),(80.0%),,5,2,0,338,5,8,5,0,30,4,16,53,0,0,1,0,14,2,129,3.9%,38.4%,(20.0%),(66.9%),(20.0%),(83.3%),(25.0%),(87.5%)
1067,24,0714,神戸,0-1,A,ノエスタ,屋内,,カターレ富山,2013,toya,,26,9,0,513,22,12,4,7,24,16,13,26,4,1,1,0,58,15,134,19.4%,54.5%,(3.8%),(76.0%),(18.2%),(79.2%),(43.8%),(69.2%),,11,1,0,445,5,13,2,2,17,9,27,22,4,4,1,0,19,6,125,8.8%,45.5%,(0.0%),(70.1%),(20.0%),(76.5%),(22.2%),(70.4%)
1068,25,0720,長崎,1-1,H,富山,晴れ,,カターレ富山,2013,toya,,11,2,0,434,19,18,7,3,39,19,32,17,2,2,3,0,34,8,152,7.2%,49.1%,(9.1%),(67.1%),(21.1%),(69.2%),(57.9%),(62.5%),,11,2,0,410,16,9,3,5,28,22,27,25,3,6,1,0,41,13,153,7.2%,50.9%,(9.1%),(64.6%),(18.8%),(85.7%),(68.2%),(74.1%)
