,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離
278,2,0310,福岡,1-2,A,レベスタ,晴れ,モンテディオ山形,2013,yama,,6,3,0,392,12,18,1,5,34,9,38,24,0,7,2,0,31,9,144,4.2%,51.4%,(33.3%),(63.8%),(25.0%),(91.2%),(33.3%),(73.7%),15,3,0,370,20,14,8,3,39,22,27,19,9,1,5,0,35,20,153,9.8%,48.6%,(6.7%),(64.1%),(35.0%),(82.1%),(22.7%),(74.1%),,,,,,
279,3,0317,長崎,2-0,H,ＮＤスタ,晴れ,モンテディオ山形,2013,yama,,19,5,0,411,18,19,3,6,40,15,33,12,1,2,1,0,54,6,172,11.0%,55.4%,(10.5%),(65.7%),(11.1%),(77.5%),(53.3%),(75.8%),6,2,0,330,9,15,2,1,28,9,34,32,1,3,2,0,25,9,152,3.9%,44.6%,(0.0%),(57.6%),(0.0%),(50.0%),(55.6%),(73.5%),,,,,,
280,4,0320,栃木,2-1,H,ＮＤスタ,晴れ,モンテディオ山形,2013,yama,,11,3,0,340,10,14,6,2,30,13,26,29,0,2,1,0,32,9,145,7.6%,47.5%,(9.1%),(63.2%),(0.0%),(66.7%),(46.2%),(73.1%),17,6,0,392,11,12,2,9,31,16,31,30,2,6,2,0,30,20,155,11.0%,52.5%,(5.9%),(62.8%),(27.3%),(77.4%),(43.8%),(74.2%),,,,,,
281,5,0324,北九州,2-1,A,本城,晴れ,モンテディオ山形,2013,yama,,9,4,1,494,12,16,0,7,31,9,24,17,6,5,2,0,29,7,154,5.8%,49.3%,(11.1%),(75.1%),(0.0%),(77.4%),(66.7%),(91.7%),20,6,0,494,20,11,5,0,23,12,25,24,3,0,3,0,46,9,135,14.8%,50.7%,(10.0%),(76.5%),(25.0%),(73.9%),(33.3%),(84.0%),,,,,,
282,6,0331,横浜FC,5-1,H,ＮＤスタ,雪,モンテディオ山形,2013,yama,,19,9,0,379,17,16,2,8,32,15,18,36,2,1,0,0,39,16,158,12.0%,43.1%,(21.1%),(62.5%),(35.3%),(84.4%),(66.7%),(77.8%),13,5,0,527,17,22,2,6,30,16,26,26,1,2,1,0,29,12,158,8.2%,56.9%,(7.7%),(73.2%),(41.2%),(80.0%),(50.0%),(84.6%),,,,,,
283,7,0407,神戸,0-1,A,ノエスタ,屋内,モンテディオ山形,2013,yama,,16,7,0,415,13,16,3,3,28,19,21,18,4,2,1,1,41,16,148,10.8%,47.7%,(6.3%),(68.2%),(23.1%),(78.6%),(47.4%),(85.7%),16,2,0,447,13,10,2,6,30,18,35,25,3,3,1,0,29,11,148,10.8%,52.3%,(0.0%),(69.8%),(23.1%),(90.0%),(16.7%),(82.9%),,,,,,
284,8,0414,Ｇ大阪,0-1,H,ＮＤスタ,晴れ,モンテディオ山形,2013,yama,,9,0,0,424,9,10,4,5,30,13,12,22,2,2,1,0,28,8,144,6.3%,49.1%,(0.0%),(70.3%),(11.1%),(73.3%),(30.8%),(83.3%),12,6,0,461,15,10,2,7,16,11,17,16,6,4,3,0,45,18,137,8.8%,50.9%,(8.3%),(73.5%),(20.0%),(75.0%),(63.6%),(76.5%),,,,,,
285,9,0417,東京Ｖ,0-2,A,味スタ,晴れのち曇り,モンテディオ山形,2013,yama,,9,5,0,288,9,8,2,1,31,16,29,37,2,4,2,0,26,10,141,6.4%,38.3%,(22.2%),(65.3%),(22.2%),(83.9%),(37.5%),(69.0%),20,5,0,564,19,12,4,7,34,14,25,16,3,2,3,0,56,17,152,13.2%,61.7%,(0.0%),(75.7%),(21.1%),(76.5%),(42.9%),(88.0%),,,,,,
286,10,0421,熊本,1-0,H,ＮＤスタ,雪のち雨,モンテディオ山形,2013,yama,,17,4,0,412,12,12,3,5,36,19,31,33,4,2,1,0,39,8,158,10.8%,48.3%,(5.9%),(65.3%),(16.7%),(66.7%),(31.6%),(71.0%),12,1,0,494,17,8,2,7,40,15,31,19,5,3,1,0,41,14,164,7.3%,51.7%,(0.0%),(66.6%),(17.6%),(90.0%),(33.3%),(80.6%),,,,,,
287,11,0428,岐阜,1-1,A,長良川,晴れ,モンテディオ山形,2013,yama,,5,3,0,295,8,10,4,1,16,11,27,37,1,1,1,0,14,8,116,4.3%,36.1%,(20.0%),(58.3%),(37.5%),(87.5%),(72.7%),(81.5%),20,6,0,666,23,11,1,5,28,22,18,13,3,4,1,0,61,15,128,15.6%,63.9%,(5.0%),(80.6%),(26.1%),(96.4%),(50.0%),(72.2%),,,,,,
