,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離
0,1,0309,YS横浜,1-1,A,ニッパ球,晴,ブラウブリッツ秋田,2014,aki,,10,5,0,520,17,11,4,1,21,9,39,25,2,2,2,0,44,10,130,7.7%,42.2%,(10.0%),(78.8%),(11.8%),(90.5%),(55.6%),(74.4%),13,2,1,897,7,11,3,3,24,9,24,13,2,3,0,0,42,19,130,10.0%,57.8%,(7.7%),(88.6%),(0.0%),(83.3%),(44.4%),(79.2%),,,,,,
1,2,0316,琉球,0-2,A,沖縄県陸,晴,ブラウブリッツ秋田,2014,aki,,18,7,0,352,13,9,0,6,22,15,38,25,5,5,2,0,46,19,124,14.5%,39.4%,(11.1%),(71.0%),(23.1%),(86.4%),(60.0%),(81.6%),7,0,0,759,5,15,5,5,24,9,17,16,1,0,2,0,28,5,131,5.3%,60.6%,(0.0%),(85.5%),(0.0%),(75.0%),(22.2%),(76.5%),,,,,,
2,3,0323,福島,2-2,H,秋田球,晴,ブラウブリッツ秋田,2014,aki,,11,3,0,842,5,9,3,2,24,12,16,9,5,6,3,0,21,8,130,8.5%,63.6%,(18.2%),(88.2%),(20.0%),(87.5%),(58.3%),(81.3%),13,4,0,417,13,12,6,4,14,9,26,17,5,2,0,0,40,12,119,10.9%,36.4%,(7.7%),(78.2%),(30.8%),(57.1%),(55.6%),(92.3%),,,,,,
3,4,0330,J-22,1-2,H,秋田球,雨,ブラウブリッツ秋田,2014,aki,,16,4,0,996,19,5,1,6,23,16,25,13,7,2,1,0,43,16,123,13.0%,61.8%,(6.3%),(89.7%),(42.1%),(82.6%),(50.0%),(84.0%),19,5,0,444,5,4,2,5,14,20,28,19,15,1,0,0,29,12,117,16.2%,38.2%,(10.5%),(79.5%),(20.0%),(92.9%),(75.0%),(60.7%),,,,,,
4,5,0406,相模原,0-3,A,ギオンス,曇のち雨,ブラウブリッツ秋田,2014,aki,,27,7,1,460,23,9,1,11,14,14,22,12,9,2,1,0,46,24,124,21.8%,42.6%,(11.1%),(79.3%),(8.7%),(78.6%),(42.9%),(86.4%),5,3,0,840,7,13,2,4,13,5,21,24,6,1,2,0,16,3,122,4.1%,57.4%,(0.0%),(87.6%),(0.0%),(92.3%),(40.0%),(76.2%),,,,,,
5,6,0413,盛岡,2-1,H,秋田球,晴,ブラウブリッツ秋田,2014,aki,,5,2,1,1101,6,10,1,1,17,10,19,27,2,4,1,0,25,7,125,4.0%,69.6%,(40.0%),(90.8%),(33.3%),(82.4%),(40.0%),(84.2%),6,3,0,288,16,15,4,4,24,12,26,12,9,1,2,0,42,15,132,4.5%,30.4%,(16.7%),(63.2%),(31.3%),(58.3%),(25.0%),(73.1%),,,,,,
6,7,0420,金沢,0-1,A,石川西部,曇,ブラウブリッツ秋田,2014,aki,,24,7,0,335,18,10,1,5,12,12,30,15,2,1,1,0,35,17,111,21.6%,34.2%,(4.2%),(72.2%),(33.3%),(66.7%),(41.7%),(86.7%),11,2,0,948,11,16,1,5,21,9,18,16,4,1,1,0,30,6,120,9.2%,65.8%,(0.0%),(89.6%),(9.1%),(95.2%),(55.6%),(72.2%),,,,,,
7,8,0426,鳥取,1-0,H,秋田球,晴,ブラウブリッツ秋田,2014,aki,,9,2,0,614,9,17,1,1,27,8,21,31,1,3,4,0,23,6,139,6.5%,55.8%,(11.1%),(80.9%),(44.4%),(88.9%),(37.5%),(76.2%),12,5,0,414,20,15,4,6,28,9,34,17,3,1,4,1,48,13,144,8.3%,44.2%,(0.0%),(71.0%),(15.0%),(67.9%),(66.7%),(73.5%),,,,,,
8,9,0429,長野,1-2,H,秋田球,晴,ブラウブリッツ秋田,2014,aki,,9,2,0,803,13,13,3,2,33,11,15,18,2,3,1,1,40,10,135,6.7%,54.7%,(11.1%),(85.1%),(30.8%),(90.9%),(63.6%),(66.7%),13,3,0,540,16,9,3,1,19,9,31,21,4,3,1,0,52,13,129,10.1%,45.3%,(15.4%),(79.6%),(25.0%),(94.7%),(77.8%),(77.4%),,,,,,
9,10,0504,町田,1-4,A,町田,晴,ブラウブリッツ秋田,2014,aki,,18,7,1,427,15,10,2,4,24,19,31,16,12,3,1,0,46,17,128,14.1%,38.7%,(22.2%),(76.3%),(6.7%),(87.5%),(63.2%),(80.6%),8,3,0,807,11,13,3,1,16,8,23,24,5,2,3,0,34,5,129,6.2%,61.3%,(12.5%),(87.7%),(0.0%),(81.3%),(50.0%),(78.3%),,,,,,
10,11,0511,藤枝,2-1,H,秋田球,晴,ブラウブリッツ秋田,2014,aki,,7,4,0,603,9,10,0,4,24,7,26,24,4,6,2,0,26,9,138,5.1%,56.3%,(28.6%),(78.4%),(11.1%),(83.3%),(42.9%),(65.4%),18,3,0,358,12,15,7,8,30,15,19,16,7,0,1,0,39,15,141,12.8%,43.7%,(5.6%),(73.7%),(16.7%),(60.0%),(40.0%),(63.2%),,,,,,
11,12,0518,鳥取,4-1,A,チュスタ,晴,ブラウブリッツ秋田,2014,aki,,22,7,0,501,17,10,2,6,48,11,31,7,5,1,0,0,55,18,156,14.1%,51.8%,(4.5%),(74.5%),(23.5%),(87.5%),(54.5%),(71.0%),9,5,0,577,5,14,1,1,21,2,33,32,5,2,2,0,22,6,141,6.4%,48.2%,(44.4%),(80.4%),(20.0%),(71.4%),(100.0%),(63.6%),,,,,,
12,13,0525,相模原,1-0,H,秋田球,曇,ブラウブリッツ秋田,2014,aki,,12,2,0,715,16,14,0,5,26,7,26,20,5,2,1,0,38,22,120,10.0%,62.1%,(8.3%),(84.1%),(31.3%),(69.2%),(14.3%),(84.6%),21,1,0,316,14,18,2,5,20,19,28,24,12,0,3,0,38,20,118,17.8%,37.9%,(0.0%),(73.1%),(35.7%),(85.0%),(52.6%),(60.7%),,,,,,
13,14,0601,盛岡,0-3,A,盛岡南,晴,ブラウブリッツ秋田,2014,aki,,16,5,0,377,12,8,1,8,16,10,29,16,4,1,3,0,46,15,109,14.7%,36.2%,(18.8%),(79.8%),(16.7%),(43.8%),(40.0%),(82.8%),3,0,0,924,17,10,1,2,29,13,18,20,3,2,1,0,39,7,117,2.6%,63.8%,(0.0%),(88.9%),(11.8%),(96.6%),(30.8%),(83.3%),,,,,,
14,15,0608,福島,0-1,H,秋田球,曇のち晴,ブラウブリッツ秋田,2014,aki,,9,0,0,888,23,16,1,5,22,10,22,15,2,0,3,0,44,9,124,7.3%,60.7%,(0.0%),(87.2%),(13.0%),(95.5%),(30.0%),(86.4%),12,5,0,417,13,14,1,3,14,7,27,29,6,0,2,0,28,8,113,10.6%,39.3%,(8.3%),(79.1%),(0.0%),(85.7%),(71.4%),(59.3%),,,,,,
15,16,0615,YS横浜,3-4,H,秋田球,曇,ブラウブリッツ秋田,2014,aki,,11,4,0,734,17,17,2,6,22,7,23,18,1,3,0,0,40,12,129,8.5%,58%,(27.3%),(86.4%),(23.5%),(86.4%),(57.1%),(73.9%),17,7,1,412,7,14,3,7,20,9,17,20,4,2,1,0,30,14,121,14.0%,42%,(23.5%),(78.6%),(14.3%),(75.0%),(55.6%),(76.5%),,,,,,
16,17,0622,琉球,0-2,A,沖縄市陸,晴,ブラウブリッツ秋田,2014,aki,,11,2,0,309,7,8,2,1,17,8,19,25,6,0,3,1,33,10,112,9.8%,36.6%,(18.2%),(72.2%),(42.9%),(82.4%),(50.0%),(63.2%),11,4,0,794,26,11,0,4,35,15,12,7,1,2,1,0,70,13,124,8.9%,63.4%,(0.0%),(85.9%),(11.5%),(85.7%),(46.7%),(83.3%),,,,,,
17,18,0719,町田,1-4,H,秋田球,曇,ブラウブリッツ秋田,2014,aki,,14,3,0,645,14,22,2,5,19,15,36,7,3,3,2,0,27,14,135,10.4%,60%,(7.1%),(82.8%),(21.4%),(73.7%),(20.0%),(80.6%),13,7,0,359,5,17,3,3,19,6,31,27,4,2,1,0,38,6,130,10.0%,40%,(30.8%),(77.4%),(0.0%),(94.7%),(50.0%),(83.9%),,,,,,
18,19,0727,長野,0-2,A,長野,晴,ブラウブリッツ秋田,2014,aki,,17,6,1,371,15,14,4,8,21,16,33,15,3,4,0,0,35,16,123,13.8%,41.7%,(11.8%),(79.5%),(33.3%),(71.4%),(43.8%),(81.8%),8,1,0,691,11,9,4,0,24,9,28,14,0,3,4,0,25,9,114,7.0%,58.3%,(0.0%),(87.0%),(18.2%),(91.7%),(44.4%),(71.4%),,,,,,
19,20,0803,J-22,4-0,H,秋田球,晴,ブラウブリッツ秋田,2014,aki,,14,5,0,686,11,8,1,4,14,7,15,13,3,3,1,0,35,16,96,14.6%,51.4%,(28.6%),(88.3%),(18.2%),(57.1%),(14.3%),(80.0%),8,1,0,540,5,11,3,4,12,12,17,8,3,0,1,0,31,7,86,9.3%,48.6%,(0.0%),(86.1%),(0.0%),(100.0%),(58.3%),(76.5%),,,,,,
20,21,0810,藤枝,2-2,H,秋田球,曇時々雨,ブラウブリッツ秋田,2014,aki,,17,7,0,714,12,9,1,6,33,9,21,19,6,5,1,0,42,15,146,11.6%,60.8%,(11.8%),(82.2%),(16.7%),(87.9%),(55.6%),(90.5%),16,4,0,378,13,7,5,6,29,15,22,23,6,0,3,0,32,15,136,11.8%,39.2%,(12.5%),(70.4%),(23.1%),(93.1%),(53.3%),(81.8%),,,,,,
21,22,0824,金沢,0-1,A,石川西部,曇時々雨,ブラウブリッツ秋田,2014,aki,,17,4,0,321,16,13,5,7,19,12,12,16,6,0,2,0,45,21,119,14.3%,37.5%,(5.9%),(73.5%),(25.0%),(78.9%),(58.3%),(83.3%),14,5,1,777,12,10,0,4,20,8,16,18,0,5,0,0,44,11,114,12.3%,62.5%,(0.0%),(87.4%),(16.7%),(75.0%),(62.5%),(93.8%),,,,,,
22,23,0831,琉球,0-1,H,秋田球,晴,ブラウブリッツ秋田,2014,aki,,12,3,0,725,14,8,1,6,39,6,24,13,4,3,1,0,51,11,118,10.2%,57.8%,(0.0%),(86.1%),(14.3%),(92.3%),(33.3%),(70.8%),9,4,0,409,10,8,3,2,21,13,35,35,3,1,0,0,39,13,110,8.2%,42.2%,(11.1%),(78.7%),(10.0%),(90.5%),(61.5%),(68.6%),,,,,,
23,24,0907,長野,0-3,A,佐久,晴のち曇,ブラウブリッツ秋田,2014,aki,,30,6,0,414,20,11,2,10,29,21,21,29,4,0,0,0,50,22,119,25.2%,45.6%,(10.0%),(82.6%),(25.0%),(65.5%),(33.3%),(61.9%),7,2,0,664,13,8,0,6,22,10,26,29,2,2,1,0,33,4,115,6.1%,54.4%,(0.0%),(83.7%),(0.0%),(81.8%),(40.0%),(65.4%),,,,,,
24,25,0914,町田,2-1,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2014,aki,,9,4,0,397,9,24,1,2,27,7,33,26,4,1,1,0,21,16,148,6.1%,47.7%,(22.2%),(73.0%),(66.7%),(81.5%),(42.9%),(84.8%),12,3,0,431,14,15,1,6,30,14,30,18,2,1,2,0,50,14,149,8.1%,52.3%,(8.3%),(72.2%),(14.3%),(86.7%),(21.4%),(73.3%),,,,,,
25,26,0920,金沢,1-2,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2014,aki,,13,2,0,773,17,10,0,2,22,12,19,16,4,1,2,0,54,14,114,11.4%,64.6%,(7.7%),(88.1%),(29.4%),(90.9%),(58.3%),(68.4%),9,4,0,331,7,14,1,1,17,9,22,25,2,0,1,0,25,7,116,7.8%,35.4%,(22.2%),(74.6%),(28.6%),(76.5%),(22.2%),(77.3%),,,,,,
26,27,1005,福島,0-2,A,とうスタ,雨時々曇,ブラウブリッツ秋田,2014,aki,,14,3,0,581,16,7,3,3,30,12,25,23,5,1,0,0,44,14,129,10.9%,50%,(14.3%),(82.1%),(6.3%),(93.3%),(58.3%),(88.0%),8,1,0,598,9,13,1,1,26,13,29,8,3,3,2,1,20,13,133,6.0%,50%,(0.0%),(81.3%),(66.7%),(84.6%),(61.5%),(69.0%),,,,,,
27,28,1011,YS横浜,2-1,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2014,aki,,9,2,0,691,13,9,1,6,24,8,24,27,4,2,1,0,36,17,142,6.3%,55.9%,(22.2%),(82.8%),(15.4%),(87.5%),(12.5%),(79.2%),11,1,1,452,17,8,2,5,19,15,29,22,5,1,2,0,35,11,136,8.1%,44.1%,(9.1%),(74.1%),(23.5%),(94.7%),(33.3%),(89.7%),,,,,,
28,29,1019,鳥取,2-1,A,とりスタ,晴,ブラウブリッツ秋田,2014,aki,,33,6,0,593,33,10,3,8,20,21,30,15,6,1,2,0,66,25,135,24.4%,53.4%,(3.0%),(79.9%),(33.3%),(95.0%),(61.9%),(70.0%),15,4,0,451,10,12,1,3,20,11,25,32,2,3,1,0,32,10,142,10.6%,46.6%,(13.3%),(79.8%),(20.0%),(75.0%),(45.5%),(68.0%),,,,,,
29,30,1102,盛岡,1-3,H,Ａ‐スタ,曇のち雨,ブラウブリッツ秋田,2014,aki,,19,4,0,720,25,14,0,6,29,16,21,9,1,3,2,0,45,18,131,14.5%,59.4%,(5.3%),(83.1%),(24.0%),(86.2%),(68.8%),(90.5%),12,6,0,379,9,6,5,3,13,8,22,46,3,0,2,0,32,8,113,10.6%,40.6%,(25.0%),(75.5%),(33.3%),(76.9%),(50.0%),(72.7%),,,,,,
30,31,1109,藤枝,2-1,A,藤枝サ,曇のち雨,ブラウブリッツ秋田,2014,aki,,16,4,0,508,25,6,1,5,29,24,34,12,4,3,1,0,42,15,149,10.7%,52.1%,(6.3%),(71.7%),(28.0%),(93.1%),(37.5%),(76.5%),7,2,0,541,7,16,3,1,36,12,34,33,3,1,2,1,17,6,157,4.5%,47.9%,(28.6%),(75.4%),(28.6%),(80.6%),(25.0%),(61.8%),,,,,,
31,32,1116,相模原,1-2,A,ギオンス,晴,ブラウブリッツ秋田,2014,aki,,11,5,0,434,17,6,2,2,20,14,29,25,4,0,2,0,38,13,122,9.0%,45.1%,(18.2%),(78.3%),(23.5%),(90.0%),(50.0%),(82.8%),22,6,0,755,31,15,0,6,27,13,15,13,6,2,0,0,44,29,137,16.1%,54.9%,(4.5%),(85.6%),(32.3%),(81.5%),(30.8%),(86.7%),,,,,,
32,33,1123,J-22,1-1,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2014,aki,,11,3,0,573,12,11,2,5,19,17,29,20,6,1,2,0,27,16,133,8.3%,48.8%,(9.1%),(82.2%),(33.3%),(84.2%),(58.8%),(82.8%),14,3,0,557,11,17,1,4,25,23,23,16,10,1,0,0,47,8,138,10.1%,51.2%,(7.1%),(81.7%),(18.2%),(100.0%),(39.1%),(91.3%),,,,,,
33,1,0315,富山,0-1,A,富山,晴,ブラウブリッツ秋田,2015,aki,,18,5,0,485,16,7,3,4,30,18,31,24,2,2,2,0,42,12,154,11.7%,50.4%,(5.6%),(67.4%),(25.0%),(86.7%),(55.6%),(80.6%),8,2,0,488,7,9,2,4,44,15,21,28,2,3,3,0,31,6,164,4.9%,49.6%,(0.0%),(67.4%),(14.3%),(75.0%),(60.0%),(76.2%),,,,,,
34,3,0329,町田,1-0,A,町田,曇のち雨,ブラウブリッツ秋田,2015,aki,,19,4,0,454,18,11,0,6,40,14,27,13,2,2,2,0,47,17,157,12.1%,48.8%,(0.0%),(70.3%),(16.7%),(92.5%),(71.4%),(70.4%),10,3,0,405,8,11,3,3,30,12,33,18,0,0,1,0,21,9,149,6.7%,51.2%,(10.0%),(65.9%),(12.5%),(76.7%),(25.0%),(75.8%),,,,,,
35,4,0405,YS横浜,0-1,H,Ａ‐スタ,曇,ブラウブリッツ秋田,2015,aki,,6,1,0,662,15,9,1,6,30,7,17,15,1,3,2,0,53,7,137,4.4%,61.6%,(0.0%),(81.4%),(13.3%),(86.7%),(42.9%),(70.6%),7,1,0,368,12,12,3,3,16,6,33,19,5,1,2,0,26,8,133,5.3%,38.4%,(14.3%),(68.5%),(25.0%),(87.5%),(83.3%),(75.8%),,,,,,
36,5,0412,山口,1-2,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2015,aki,,6,2,0,392,17,11,1,4,24,11,24,18,3,1,3,0,27,8,145,4.1%,41.6%,(16.7%),(70.2%),(17.6%),(66.7%),(54.5%),(79.2%),15,5,0,579,6,15,2,5,22,8,27,29,2,1,1,0,51,10,142,10.6%,58.4%,(13.3%),(80.3%),(0.0%),(100.0%),(25.0%),(63.0%),,,,,,
37,6,0418,福島,1-1,A,とうスタ,晴,ブラウブリッツ秋田,2015,aki,,14,5,0,353,22,8,2,6,40,13,22,20,2,0,3,0,37,19,153,9.2%,42%,(7.1%),(63.7%),(27.3%),(67.5%),(46.2%),(68.2%),10,3,1,606,11,12,0,3,33,11,23,29,5,3,0,0,30,7,151,6.6%,58%,(10.0%),(77.7%),(36.4%),(63.6%),(45.5%),(87.0%),,,,,,
38,7,0426,相模原,3-0,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2015,aki,,10,5,1,435,6,10,3,0,21,11,32,36,0,4,0,0,19,7,137,7.3%,42.2%,(30.0%),(74.7%),(33.3%),(61.9%),(54.5%),(84.4%),17,4,0,630,20,13,4,9,30,21,14,14,1,2,1,0,53,22,150,11.3%,57.8%,(0.0%),(80.0%),(20.0%),(83.3%),(28.6%),(78.6%),,,,,,
39,8,0429,藤枝,2-0,A,藤枝サ,曇,ブラウブリッツ秋田,2015,aki,,21,3,0,605,26,11,5,5,38,25,21,5,4,4,2,0,72,10,158,13.3%,56.2%,(0.0%),(75.7%),(3.8%),(89.5%),(64.0%),(81.0%),8,4,0,391,7,11,5,1,19,10,20,38,6,5,1,0,24,9,137,5.8%,43.8%,(25.0%),(70.6%),(28.6%),(63.2%),(80.0%),(80.0%),,,,,,
40,9,0503,盛岡,1-0,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2015,aki,,12,5,1,738,13,10,0,2,19,5,16,17,0,1,2,0,36,7,130,9.2%,66.6%,(8.3%),(82.5%),(15.4%),(84.2%),(60.0%),(68.8%),9,2,0,298,13,10,1,0,23,8,12,27,1,0,2,0,32,7,121,7.4%,33.4%,(0.0%),(61.1%),(15.4%),(56.5%),(100.0%),(75.0%),,,,,,
41,10,0506,琉球,0-2,A,沖縄県陸,晴,ブラウブリッツ秋田,2015,aki,,12,5,0,574,13,5,1,5,18,20,25,24,1,0,1,0,52,13,112,10.7%,51.3%,(16.7%),(83.6%),(15.4%),(83.3%),(45.0%),(68.0%),5,2,0,580,12,11,1,6,15,11,20,9,6,0,0,0,38,11,112,4.5%,48.7%,(0.0%),(82.9%),(0.0%),(80.0%),(27.3%),(70.0%),,,,,,
42,11,0510,鳥取,1-2,H,Ａ‐スタ,曇,ブラウブリッツ秋田,2015,aki,,13,4,0,597,20,14,2,10,34,17,27,10,2,2,1,0,33,10,143,9.1%,63.9%,(7.7%),(78.7%),(25.0%),(85.3%),(64.7%),(81.5%),8,3,1,243,7,15,2,2,22,8,25,36,6,2,1,0,31,6,132,6.1%,36.1%,(25.0%),(61.3%),(28.6%),(27.3%),(25.0%),(76.0%),,,,,,
43,12,0517,長野,0-1,A,南長野,晴,ブラウブリッツ秋田,2015,aki,,16,6,1,494,18,3,1,4,20,6,14,22,7,1,2,0,49,12,113,14.2%,48.5%,(6.3%),(77.5%),(22.2%),(80.0%),(50.0%),(78.6%),14,2,0,506,15,16,1,6,30,10,16,14,3,1,1,0,34,15,128,10.9%,51.5%,(0.0%),(75.7%),(6.7%),(83.3%),(50.0%),(87.5%),,,,,,
44,13,0524,J-22,1-0,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2015,aki,,4,1,0,363,10,13,1,7,24,10,18,31,4,5,2,0,18,12,134,3.0%,38%,(25.0%),(71.6%),(10.0%),(83.3%),(50.0%),(72.2%),10,1,0,767,14,13,6,4,25,13,18,22,3,1,2,0,62,8,129,7.8%,62%,(0.0%),(84.6%),(14.3%),(92.0%),(46.2%),(72.2%),,,,,,
45,14,0531,町田,0-1,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2015,aki,,7,1,0,452,7,19,1,3,17,9,32,31,6,4,2,0,16,6,140,5.0%,55.9%,(0.0%),(75.0%),(42.9%),(64.7%),(44.4%),(71.9%),23,5,0,352,17,11,4,10,33,14,20,17,4,1,2,0,46,18,147,15.6%,44.1%,(4.3%),(63.9%),(17.6%),(78.8%),(42.9%),(85.0%),,,,,,
46,16,0614,福島,2-3,H,Ａ‐スタ,曇,ブラウブリッツ秋田,2015,aki,,9,4,0,458,9,9,1,4,42,9,24,22,9,3,1,0,29,11,156,5.8%,52.9%,(22.2%),(68.6%),(22.2%),(81.0%),(22.2%),(75.0%),19,7,0,389,13,13,4,2,38,12,22,26,1,1,0,0,43,19,151,12.6%,47.1%,(15.8%),(66.6%),(38.5%),(81.6%),(50.0%),(68.2%),,,,,,
47,17,0621,相模原,1-3,A,ギオンス,雨,ブラウブリッツ秋田,2015,aki,,9,6,0,399,12,13,5,4,21,14,29,19,1,0,3,0,31,11,151,6.0%,43.8%,(33.3%),(62.4%),(8.3%),(71.4%),(42.9%),(72.4%),8,2,0,564,10,9,0,5,31,8,27,17,3,5,0,0,29,6,143,5.6%,56.2%,(12.5%),(73.2%),(30.0%),(74.2%),(37.5%),(51.9%),,,,,,
48,18,0628,長野,1-2,H,秋田陸,曇のち雨,ブラウブリッツ秋田,2015,aki,,12,6,0,388,15,7,3,3,22,5,27,34,1,1,0,0,26,14,126,9.5%,43.2%,(8.3%),(65.7%),(33.3%),(72.7%),(80.0%),(77.8%),17,4,0,560,25,14,2,8,29,12,19,17,2,3,0,0,53,20,150,11.3%,56.8%,(11.8%),(76.4%),(12.0%),(86.2%),(41.7%),(73.7%),,,,,,
49,19,0705,山口,1-3,A,維新公園,曇,ブラウブリッツ秋田,2015,aki,,12,4,0,450,6,11,1,3,10,9,26,22,6,2,2,1,38,14,116,10.3%,45.1%,(25.0%),(76.7%),(50.0%),(100.0%),(66.7%),(50.0%),5,2,0,502,9,19,2,5,21,13,24,10,4,1,3,0,31,12,134,3.7%,54.9%,(0.0%),(78.7%),(22.2%),(90.5%),(46.2%),(75.0%),,,,,,
50,20,0712,富山,1-1,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2015,aki,,11,3,0,382,15,7,0,5,27,10,33,29,6,3,4,0,31,14,136,8.1%,45.9%,(9.1%),(69.6%),(20.0%),(77.8%),(40.0%),(69.7%),11,4,1,538,19,13,4,2,34,13,25,24,4,0,1,0,44,11,134,8.2%,54.1%,(9.1%),(77.9%),(15.8%),(91.2%),(46.2%),(72.0%),,,,,,
51,21,0719,琉球,1-2,A,沖縄県陸,曇のち雨,ブラウブリッツ秋田,2015,aki,,22,7,1,588,18,5,4,6,21,14,30,18,4,0,2,0,56,14,129,17.1%,52.1%,(9.1%),(80.8%),(11.1%),(85.7%),(64.3%),(60.0%),5,2,0,480,7,13,0,2,20,9,16,24,7,3,1,0,29,8,122,4.1%,47.9%,(20.0%),(77.1%),(14.3%),(65.0%),(55.6%),(68.8%),,,,,,
52,22,0726,鳥取,1-2,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2015,aki,,7,2,0,556,11,12,1,2,32,12,22,33,2,1,0,0,35,14,144,4.9%,63.4%,(14.3%),(75.0%),(9.1%),(84.4%),(75.0%),(90.9%),22,7,0,293,14,6,1,12,35,10,18,22,1,1,1,0,40,17,148,14.9%,36.6%,(9.1%),(55.3%),(21.4%),(54.3%),(30.0%),(83.3%),,,,,,
53,23,0729,YS横浜,0-0,A,ニッパツ,晴のち曇,ブラウブリッツ秋田,2015,aki,,15,1,0,518,8,11,3,3,22,11,24,15,2,1,3,0,29,13,116,12.9%,52%,(0.0%),(80.9%),(12.5%),(86.4%),(54.5%),(91.7%),5,0,0,463,8,9,2,4,14,8,20,10,1,1,2,1,32,15,106,4.7%,48%,(0.0%),(82.3%),(25.0%),(92.9%),(37.5%),(80.0%),,,,,,
54,24,0802,J-22,0-0,H,Ａ‐スタ,曇,ブラウブリッツ秋田,2015,aki,,13,3,0,569,17,13,3,6,22,16,18,22,4,3,0,0,32,11,119,10.9%,53.5%,(0.0%),(83.5%),(35.3%),(72.7%),(43.8%),(77.8%),12,2,0,550,12,6,3,5,22,12,8,15,2,2,1,0,47,11,119,10.1%,46.5%,(0.0%),(82.4%),(8.3%),(90.9%),(50.0%),(62.5%),,,,,,
55,25,0809,藤枝,0-0,H,Ａ‐スタ,晴,ブラウブリッツ秋田,2015,aki,,5,0,0,398,7,13,0,2,17,10,18,31,7,1,0,0,23,6,118,4.2%,48.6%,(0.0%),(73.9%),(14.3%),(70.6%),(60.0%),(83.3%),19,5,0,440,20,9,2,9,38,14,8,17,1,0,1,0,59,19,132,14.4%,51.4%,(0.0%),(75.5%),(25.0%),(71.1%),(50.0%),(62.5%),,,,,,
56,26,0816,盛岡,0-0,A,盛岡南,晴,ブラウブリッツ秋田,2015,aki,,15,7,0,331,16,10,1,5,24,13,25,26,2,0,1,0,35,13,124,12.1%,44.3%,(0.0%),(67.7%),(12.5%),(83.3%),(23.1%),(64.0%),13,3,0,517,11,10,0,2,15,8,24,39,1,1,1,0,36,8,119,10.9%,55.7%,(0.0%),(78.7%),(9.1%),(73.3%),(50.0%),(75.0%),,,,,,
57,27,0906,山口,3-1,H,Ａ‐スタ,曇時々雨,ブラウブリッツ秋田,2015,aki,,19,9,0,392,7,5,2,3,17,12,27,25,3,2,1,0,29,8,142,13.4%,45.2%,(15.8%),(66.1%),(14.3%),(70.6%),(41.7%),(85.2%),10,3,1,591,13,13,2,8,33,10,20,16,1,1,2,0,43,11,165,6.1%,54.8%,(10.0%),(74.6%),(30.8%),(78.8%),(20.0%),(80.0%),,,,,,
58,29,0919,YS横浜,1-0,H,Ａ‐スタ,曇時々晴のち雨,ブラウブリッツ秋田,2015,aki,,15,4,0,595,27,14,0,7,17,11,26,18,0,2,0,0,44,12,138,10.9%,56.9%,(6.7%),(76.6%),(22.2%),(58.8%),(54.5%),(88.5%),9,2,0,413,10,10,2,2,28,17,20,26,4,0,0,0,42,7,141,6.4%,43.1%,(0.0%),(68.5%),(0.0%),(82.1%),(41.2%),(90.0%),,,,,,
59,30,0923,盛岡,1-0,A,盛岡南,晴,ブラウブリッツ秋田,2015,aki,,10,1,0,437,13,11,2,2,30,18,21,16,3,0,0,1,29,9,137,7.3%,44%,(0.0%),(73.5%),(23.1%),(76.7%),(50.0%),(71.4%),11,4,0,579,9,9,0,2,19,9,25,20,5,2,1,0,33,10,130,8.5%,56%,(9.1%),(81.7%),(44.4%),(73.7%),(66.7%),(64.0%),,,,,,
