,年月日,節,大会,H_Team,スコア,A_Team,スタジアム
10957,20190313,２,ＹＬＣ グループステージＢグループ,柏,0-1,鳥栖,三協Ｆ柏
10958,20190317,４,Ｊ２,京都,0-1,柏,西京極
10959,20190323,５,Ｊ２,柏,0-1,岡山,三協Ｆ柏
10960,20190330,６,Ｊ２,東京Ｖ,2-0,柏,味スタ
10961,20190403,７,Ｊ２,柏,3-0,長崎,三協Ｆ柏
10962,20190407,８,Ｊ２,琉球,1-1,柏,タピスタ
10963,20190421,１０,Ｊ２,金沢,0-0,柏,石川西部
10964,20190424,４,ＹＬＣ グループステージＢグループ,FC東京,2-0,柏,ＮＡＣＫ
10965,20190428,１１,Ｊ２,柏,0-0,横浜FC,三協Ｆ柏
10966,20190504,１２,Ｊ２,鹿児島,2-1,柏,白波スタ
10967,20190508,５,ＹＬＣ グループステージＢグループ,鳥栖,0-0,柏,駅スタ
10968,20190512,１３,Ｊ２,柏,1-0,徳島,三協Ｆ柏
10969,20190601,１６,Ｊ２,柏,1-0,岐阜,三協Ｆ柏
10970,20190609,１７,Ｊ２,愛媛,3-1,柏,ニンスタ
10971,20190616,１８,Ｊ２,福岡,1-1,柏,レベスタ
10972,20190707,２１,Ｊ２,柏,4-2,甲府,三協Ｆ柏
10973,20190713,２２,Ｊ２,徳島,1-2,柏,鳴門大塚
10974,20190720,２３,Ｊ２,柏,1-0,金沢,三協Ｆ柏
10975,20190731,２５,Ｊ２,岡山,0-4,柏,Ｃスタ
10976,20190804,２６,Ｊ２,柏,5-1,琉球,三協Ｆ柏
10977,20190810,２７,Ｊ２,柏,4-1,山口,三協Ｆ柏
10978,20190817,２８,Ｊ２,長崎,1-2,柏,トラスタ
10979,20190825,２９,Ｊ２,岐阜,0-4,柏,長良川
10980,20190831,３０,Ｊ２,柏,1-1,新潟,三協Ｆ柏
10981,20190914,３２,Ｊ２,甲府,1-1,柏,中銀スタ
10982,20190922,３３,Ｊ２,柏,2-1,愛媛,三協Ｆ柏
10983,20190928,３４,Ｊ２,柏,3-0,東京Ｖ,三協Ｆ柏
10984,20191006,３５,Ｊ２,横浜FC,1-0,柏,ニッパツ
10985,20191027,３８,Ｊ２,柏,4-0,福岡,三協Ｆ柏
10986,20191109,４０,Ｊ２,柏,3-0,鹿児島,三協Ｆ柏
10987,20191116,４１,Ｊ２,町田,0-3,柏,町田
10988,20191124,４２,Ｊ２,柏,13-1,京都,三協Ｆ柏
10989,20200216,１,ＹＬＣ グループステージＤグループ,Ｇ大阪,0-1,柏,パナスタ
10990,20200704,２,Ｊ１,柏,0-1,FC東京,三協Ｆ柏
10991,20200708,３,Ｊ１,柏,1-3,横浜FC,三協Ｆ柏
10992,20200711,４,Ｊ１,川崎Ｆ,3-1,柏,等々力
10993,20200718,５,Ｊ１,柏,3-2,湘南,三協Ｆ柏
10994,20200801,８,Ｊ１,名古屋,0-1,柏,豊田ス
10995,20200805,２,ＹＬＣ グループステージＤグループ,柏,1-0,湘南,三協Ｆ柏
10996,20200808,９,Ｊ１,横浜FM,1-1,柏,日産ス
10997,20200812,３,ＹＬＣ グループステージＤグループ,柏,3-1,大分,三協Ｆ柏
10998,20200815,１０,Ｊ１,柏,1-3,Ｃ大阪,三協Ｆ柏
10999,20200819,１１,Ｊ１,神戸,2-3,柏,ノエスタ
11000,20200823,１２,Ｊ１,大分,0-0,柏,昭和電ド
11001,20200902,0,ＹＬＣ プライムステージ,Ｃ大阪,0-3,柏,ヤンマー
11002,20200905,１４,Ｊ１,清水,1-2,柏,アイスタ
11003,20200909,１５,Ｊ１,柏,3-0,Ｇ大阪,三協Ｆ柏
11004,20200913,１６,Ｊ１,鳥栖,2-1,柏,駅スタ
11005,20200919,１７,Ｊ１,柏,1-1,広島,三協Ｆ柏
11006,20200927,１９,Ｊ１,柏,1-3,横浜FM,三協Ｆ柏
11007,20201003,２０,Ｊ１,横浜FC,0-3,柏,ニッパツ
11008,20201007,0,ＹＬＣ プライムステージ,横浜FM,0-1,柏,ニッパツ
11009,20201010,２１,Ｊ１,柏,4-3,神戸,三協Ｆ柏
11010,20201018,２３,Ｊ１,湘南,3-2,柏,ＢＭＷス
11011,20201024,２４,Ｊ１,Ｇ大阪,2-1,柏,パナスタ
11012,20201028,３０,Ｊ１,FC東京,1-3,柏,味スタ
11013,20201031,２５,Ｊ１,柏,0-0,清水,三協Ｆ柏
11014,20201121,２８,Ｊ１,柏,1-2,鳥栖,三協Ｆ柏
11015,20201205,３１,Ｊ１,柏,0-1,名古屋,三協Ｆ柏
11016,20201209,２７,Ｊ１,柏,1-1,大分,三協Ｆ柏
11017,20201212,３２,Ｊ１,Ｃ大阪,0-0,柏,ヤンマー
11018,20201216,３３,Ｊ１,広島,0-1,柏,Ｅスタ
11019,20201219,３４,Ｊ１,柏,2-3,川崎Ｆ,三協Ｆ柏
11020,20200104,0,ＹＬＣ プライムステージ,柏,1-2,FC東京,国立
11021,20210227,１,Ｊ１,Ｃ大阪,2-0,柏,ヤンマー
11022,20210303,１,ＹＬＣ グループステージＣグループ,柏,0-1,横浜FC,三協Ｆ柏
11023,20210306,２,Ｊ１,柏,2-1,湘南,三協Ｆ柏
11024,20210310,３,Ｊ１,柏,0-1,名古屋,三協Ｆ柏
11025,20210313,４,Ｊ１,川崎Ｆ,1-0,柏,等々力
11026,20210317,５,Ｊ１,鳥栖,2-0,柏,駅スタ
11027,20210321,６,Ｊ１,柏,1-2,清水,三協Ｆ柏
11028,20210403,７,Ｊ１,横浜FC,1-1,柏,ニッパツ
11029,20210411,９,Ｊ１,柏,1-0,Ｇ大阪,三協Ｆ柏
11030,20210417,１０,Ｊ１,大分,0-1,柏,昭和電ド
11031,20210421,３,ＹＬＣ グループステージＣグループ,柏,1-1,湘南,三協Ｆ柏
11032,20210424,１１,Ｊ１,柏,5-1,徳島,三協Ｆ柏
11033,20210428,４,ＹＬＣ グループステージＣグループ,横浜FC,2-0,柏,ニッパツ
11034,20210509,１３,Ｊ１,福岡,1-0,柏,ベススタ
11035,20210515,１４,Ｊ１,柏,vs,FC東京,三協Ｆ柏
11036,20210519,６,ＹＬＣ グループステージＣグループ,湘南,vs,柏,レモンＳ
11037,20210522,１５,Ｊ１,横浜FM,vs,柏,日産ス
11038,20210526,１６,Ｊ１,柏,vs,神戸,三協Ｆ柏
11039,20210619,１８,Ｊ１,広島,vs,柏,Ｅスタ
11040,20210627,２０,Ｊ１,湘南,vs,柏,レモンＳ
11041,20210703,２１,Ｊ１,柏,vs,横浜FM,三協Ｆ柏
11042,20210809,２３,Ｊ１,神戸,vs,柏,ノエスタ
11043,20210814,２４,Ｊ１,柏,vs,川崎Ｆ,三協Ｆ柏
11044,20210821,２５,Ｊ１,柏,vs,鳥栖,三協Ｆ柏
11045,20210825,２６,Ｊ１,徳島,vs,柏,鳴門大塚
11046,20210829,２７,Ｊ１,柏,vs,横浜FC,三協Ｆ柏
11047,20210912,２８,Ｊ１,FC東京,vs,柏,味スタ
11048,20210918,２９,Ｊ１,柏,vs,広島,三協Ｆ柏
11049,20210925,３０,Ｊ１,Ｇ大阪,vs,柏,パナスタ
11050,20211016,３２,Ｊ１,清水,vs,柏,●未定●
11051,20211103,３４,Ｊ１,名古屋,vs,柏,豊田ス
11052,20211106,３５,Ｊ１,柏,vs,Ｃ大阪,三協Ｆ柏
11053,20211120,３６,Ｊ１,柏,vs,福岡,三協Ｆ柏
11054,20211204,３８,Ｊ１,柏,vs,大分,三協Ｆ柏
11055,19990314,１,Ｊ２,Ｆ東京,2-0,鳥栖,西が丘
11056,19990328,３,Ｊ２,Ｆ東京,0-1,新潟,西が丘
11057,19990404,４,Ｊ２,川崎Ｆ,2-2,Ｆ東京,等々力
11058,19990407,0,ＹＮＣ,Ｆ東京,1-1,神戸,西が丘
11059,19990414,0,ＹＮＣ,神戸,1-2,Ｆ東京,神戸ユ
11060,19990417,６,Ｊ２,大分,1-1,Ｆ東京,大分
11061,19990423,７,Ｊ２,甲府,0-3,Ｆ東京,小瀬
11062,19990509,１１,Ｊ２,新潟,2-0,Ｆ東京,新潟
11063,19990516,１２,Ｊ２,Ｆ東京,0-1,川崎Ｆ,西が丘
11064,19990529,１４,Ｊ２,Ｆ東京,1-0,大分,西が丘
11065,19990627,１５,Ｊ２,Ｆ東京,1-0,甲府,江戸川
11066,19990717,１８,Ｊ２,鳥栖,0-1,Ｆ東京,鳥栖
11067,19990720,0,ＹＮＣ,横浜FM,0-3,Ｆ東京,横浜国
11068,19990724,0,ＹＮＣ,Ｆ東京,0-2,横浜FM,江戸川
11069,19990801,１９,Ｊ２,Ｆ東京,0-2,新潟,江戸川
11070,19990807,２０,Ｊ２,大分,2-4,Ｆ東京,大分
11071,19990822,２２,Ｊ２,鳥栖,1-2,Ｆ東京,鳥栖
11072,19990905,２４,Ｊ２,Ｆ東京,0-0,川崎Ｆ,西が丘
11073,19990910,２５,Ｊ２,甲府,3-5,Ｆ東京,韮崎中央
11074,19990925,２８,Ｊ２,Ｆ東京,4-2,大分,駒沢
11075,19991011,３０,Ｊ２,Ｆ東京,0-1,鳥栖,西が丘
11076,19991024,３２,Ｊ２,川崎Ｆ,3-2,Ｆ東京,等々力
11077,19991030,３３,Ｊ２,Ｆ東京,2-0,甲府,駒沢
11078,19991121,３６,Ｊ２,新潟,0-1,Ｆ東京,新潟
11079,20000311,１,Ｊ１ １ｓｔ,横浜FM,0-1,Ｆ東京,横浜国
11080,20000318,２,Ｊ１ １ｓｔ,Ｆ東京,2-0,福岡,国立
11081,20000325,３,Ｊ１ １ｓｔ,Ｆ東京,2-1,名古屋,国立
11082,20000405,５,Ｊ１ １ｓｔ,Ｆ東京,3-2,磐田,国立
11083,20000415,７,Ｊ１ １ｓｔ,Ｆ東京,1-3,Ｇ大阪,国立
11084,20000422,８,Ｊ１ １ｓｔ,広島,0-1,Ｆ東京,広島ビ
11085,20000423,0,サテライトリーグ Ａグループ,Ｆ東京,1-2,横浜FM,西が丘
11086,20000429,９,Ｊ１ １ｓｔ,Ｆ東京,3-0,京都,鴨池
11087,20000503,１０,Ｊ１ １ｓｔ,清水,2-1,Ｆ東京,日本平
11088,20000506,１１,Ｊ１ １ｓｔ,Ｆ東京,2-1,川崎Ｆ,駒沢
11089,20000513,１２,Ｊ１ １ｓｔ,Ｆ東京,1-2,Ｃ大阪,国立
11090,20000514,0,サテライトリーグ Ａグループ,横浜FM,2-4,Ｆ東京,戸塚Ｇ
11091,20000520,１４,Ｊ１ １ｓｔ,Ｆ東京,1-2,神戸,国立
11092,20000527,１５,Ｊ１ １ｓｔ,Ｖ川崎,3-0,Ｆ東京,等々力
11093,20000624,１,Ｊ１ ２ｎｄ,Ｆ東京,3-0,横浜FM,国立
11094,20000701,２,Ｊ１ ２ｎｄ,福岡,1-2,Ｆ東京,博多球
11095,20000705,0,ＹＮＣ,京都,1-1,Ｆ東京,西京極
11096,20000708,３,Ｊ１ ２ｎｄ,川崎Ｆ,0-3,Ｆ東京,国立
11097,20000712,0,ＹＮＣ,Ｆ東京,0-1,京都,江戸川
11098,20000715,４,Ｊ１ ２ｎｄ,Ｆ東京,2-0,清水,丸亀
11099,20000722,５,Ｊ１ ２ｎｄ,京都,0-3,Ｆ東京,西京極
11100,20000726,６,Ｊ１ ２ｎｄ,Ｆ東京,1-2,広島,国立
11101,20000729,７,Ｊ１ ２ｎｄ,Ｇ大阪,2-1,Ｆ東京,万博
11102,20000812,９,Ｊ１ ２ｎｄ,名古屋,4-1,Ｆ東京,瑞穂陸
11103,20001108,１１,Ｊ１ ２ｎｄ,磐田,2-0,Ｆ東京,磐田
11104,20001111,１２,Ｊ１ ２ｎｄ,Ｆ東京,2-3,Ｖ川崎,駒沢
11105,20001118,１３,Ｊ１ ２ｎｄ,神戸,1-0,Ｆ東京,神戸ユ
11106,20001126,１５,Ｊ１ ２ｎｄ,Ｃ大阪,1-3,Ｆ東京,長居２
11107,20010310,１,Ｊ１ １ｓｔ,Ｆ東京,2-1,東京Ｖ,東京
11108,20010317,２,Ｊ１ １ｓｔ,神戸,2-0,Ｆ東京,神戸ユ
11109,20010331,３,Ｊ１ １ｓｔ,磐田,1-0,Ｆ東京,磐田
11110,20010404,0,ＹＮＣ,Ｆ東京,5-0,甲府,東京
11111,20010407,４,Ｊ１ １ｓｔ,Ｆ東京,0-1,名古屋,東京
11112,20010418,0,ＹＮＣ,甲府,0-1,Ｆ東京,小瀬
11113,20010430,0,サテライトリーグ Ａグループ,東京Ｖ,3-2,Ｆ東京,ヴェルＧ
11114,20010503,７,Ｊ１ １ｓｔ,広島,3-0,Ｆ東京,広島ビ
11115,20010519,１０,Ｊ１ １ｓｔ,Ｆ東京,1-2,福岡,東京
11116,20010607,0,サテライトリーグ Ａグループ,Ｆ東京,4-2,東京Ｖ,江戸川
11117,20010613,0,ＹＮＣ,広島,3-3,Ｆ東京,広島ス
11118,20010616,１１,Ｊ１ １ｓｔ,横浜FM,0-2,Ｆ東京,横浜国
11119,20010620,0,ＹＮＣ,Ｆ東京,1-2,広島,東京
11120,20010623,１２,Ｊ１ １ｓｔ,Ｃ大阪,1-2,Ｆ東京,長居
11121,20010714,１４,Ｊ１ １ｓｔ,Ｆ東京,0-2,Ｇ大阪,東京
11122,20010721,１５,Ｊ１ １ｓｔ,清水,1-2,Ｆ東京,日本平
11123,20010825,３,Ｊ１ ２ｎｄ,Ｆ東京,1-2,清水,東京
11124,20010908,４,Ｊ１ ２ｎｄ,Ｇ大阪,1-2,Ｆ東京,万博
11125,20010915,５,Ｊ１ ２ｎｄ,Ｆ東京,3-2,広島,東京
11126,20011013,８,Ｊ１ ２ｎｄ,名古屋,1-1,Ｆ東京,豊田ス
11127,20011017,９,Ｊ１ ２ｎｄ,Ｆ東京,2-5,磐田,国立
11128,20011020,１０,Ｊ１ ２ｎｄ,福岡,1-0,Ｆ東京,博多球
11129,20011031,１１,Ｊ１ ２ｎｄ,Ｆ東京,1-1,横浜FM,東京
11130,20011103,１２,Ｊ１ ２ｎｄ,Ｆ東京,5-2,Ｃ大阪,東京
11131,20011117,１４,Ｊ１ ２ｎｄ,Ｆ東京,1-1,神戸,東京
11132,20011124,１５,Ｊ１ ２ｎｄ,東京Ｖ,1-0,Ｆ東京,東京
11133,20020316,３,Ｊ１ １ｓｔ,Ｆ東京,1-1,横浜FM,東京
11134,20020317,0,サテライトリーグ Ｂグループ,横浜FM,0-1,Ｆ東京,戸塚Ｇ
11135,20020321,0,サテライトリーグ Ｂグループ,名古屋,0-1,Ｆ東京,トヨタＧ
11136,20020331,４,Ｊ１ １ｓｔ,清水,2-1,Ｆ東京,日本平
11137,20020407,0,サテライトリーグ Ｂグループ,Ｆ東京,2-1,磐田,夢の島
11138,20020413,６,Ｊ１ １ｓｔ,Ｇ大阪,5-0,Ｆ東京,万博
11139,20020427,１,ＹＮＣ 予選Ｂグループ,Ｆ東京,3-0,清水,駒沢
11140,20020430,２,ＹＮＣ 予選Ｂグループ,東京Ｖ,0-1,Ｆ東京,東京
11141,20020503,３,ＹＮＣ 予選Ｂグループ,神戸,0-0,Ｆ東京,神戸ユ
11142,20020506,４,ＹＮＣ 予選Ｂグループ,Ｆ東京,1-0,神戸,東京
11143,20020509,５,ＹＮＣ 予選Ｂグループ,Ｆ東京,2-1,東京Ｖ,国立
11144,20020512,６,ＹＮＣ 予選Ｂグループ,清水,2-1,Ｆ東京,日本平
11145,20020710,0,サテライトリーグ Ｂグループ,Ｆ東京,3-2,東京Ｖ,江戸川
11146,20020714,８,Ｊ１ １ｓｔ,Ｆ東京,4-0,広島,東京
11147,20020720,９,Ｊ１ １ｓｔ,Ｆ東京,0-2,磐田,東京
11148,20020724,１０,Ｊ１ １ｓｔ,東京Ｖ,2-1,Ｆ東京,東京
11149,20020807,１３,Ｊ１ １ｓｔ,Ｆ東京,1-3,京都,東京
11150,20020810,１４,Ｊ１ １ｓｔ,神戸,2-1,Ｆ東京,神戸ユ
11151,20020811,0,サテライトリーグ Ｂグループ,Ｆ東京,2-1,名古屋,江戸川
11152,20020817,１５,Ｊ１ １ｓｔ,Ｆ東京,1-2,名古屋,東京
11153,20020818,0,サテライトリーグ Ｂグループ,Ｆ東京,1-4,清水,小平Ｇ
11154,20020904,0,ＹＮＣ 決勝トーナメント,Ｆ東京,1-3,Ｇ大阪,東京
11155,20020907,２,Ｊ１ ２ｎｄ,Ｆ東京,1-0,Ｇ大阪,東京
11156,20020908,0,サテライトリーグ Ｂグループ,清水,1-3,Ｆ東京,御殿場
11157,20020914,３,Ｊ１ ２ｎｄ,広島,2-1,Ｆ東京,広島ビ
11158,20020918,４,Ｊ１ ２ｎｄ,Ｆ東京,2-1,東京Ｖ,東京
11159,20020922,５,Ｊ１ ２ｎｄ,磐田,6-1,Ｆ東京,磐田
11160,20020923,0,サテライトリーグ Ｂグループ,磐田,3-2,Ｆ東京,磐田
11161,20020928,６,Ｊ１ ２ｎｄ,横浜FM,2-1,Ｆ東京,横浜国
11162,20020929,0,サテライトリーグ Ｂグループ,Ｆ東京,3-3,横浜FM,夢の島
11163,20021006,0,サテライトリーグ Ｂグループ,東京Ｖ,2-1,Ｆ東京,ヴェルＧ
11164,20021019,９,Ｊ１ ２ｎｄ,Ｆ東京,3-2,神戸,国立
11165,20021023,１０,Ｊ１ ２ｎｄ,京都,0-1,Ｆ東京,西京極
11166,20021109,１２,Ｊ１ ２ｎｄ,名古屋,1-0,Ｆ東京,瑞穂陸
11167,20021116,１３,Ｊ１ ２ｎｄ,Ｆ東京,1-2,清水,東京
11168,20030308,１,ＹＮＣ 予選Ｂグループ,横浜FM,1-0,Ｆ東京,横浜国
11169,20030315,２,ＹＮＣ 予選Ｂグループ,Ｆ東京,2-2,横浜FM,駒沢
11170,20030316,0,サテライトリーグ Ａグループ,東京Ｖ,2-0,Ｆ東京,ヴェルＧ
11171,20030405,２,Ｊ１ １ｓｔ,東京Ｖ,2-1,Ｆ東京,味スタ
11172,20030412,３,Ｊ１ １ｓｔ,Ｃ大阪,0-0,Ｆ東京,長居
11173,20030419,４,Ｊ１ １ｓｔ,Ｆ東京,1-1,名古屋,味スタ
11174,20030429,６,Ｊ１ １ｓｔ,神戸,0-1,Ｆ東京,神戸ウイ
11175,20030505,７,Ｊ１ １ｓｔ,Ｆ東京,1-0,Ｇ大阪,味スタ
11176,20030510,８,Ｊ１ １ｓｔ,横浜FM,3-2,Ｆ東京,横浜国
11177,20030517,９,Ｊ１ １ｓｔ,Ｆ東京,2-1,大分,味スタ
11178,20030719,１３,Ｊ１ １ｓｔ,Ｆ東京,0-0,清水,味スタ
11179,20030727,１４,Ｊ１ １ｓｔ,Ｆ東京,1-0,京都,国立
11180,20030802,１５,Ｊ１ １ｓｔ,磐田,1-0,Ｆ東京,磐田
11181,20030816,１,Ｊ１ ２ｎｄ,Ｆ東京,2-1,Ｃ大阪,味スタ
11182,20030823,２,Ｊ１ ２ｎｄ,名古屋,3-2,Ｆ東京,瑞穂陸
11183,20030830,３,Ｊ１ ２ｎｄ,Ｆ東京,4-1,横浜FM,味スタ
