,年月日,キックオフ時刻,スタジアム,入場者数,天候,気温,湿度,H_team,H_監督,A_team,A_監督,H_ポジション1,H_選手1,H_ポジション2,H_選手2,H_ポジション3,H_選手3,H_ポジション4,H_選手4,H_ポジション5,H_選手5,H_ポジション6,H_選手6,H_ポジション7,H_選手7,H_ポジション8,H_選手8,H_ポジション9,H_選手9,H_ポジション10,H_選手10,H_ポジション11,H_選手11,A_ポジション1,A_選手1,A_ポジション2,A_選手2,A_ポジション3,A_選手3,A_ポジション4,A_選手4,A_ポジション5,A_選手5,A_ポジション6,A_選手6,A_ポジション7,A_選手7,A_ポジション8,A_選手8,A_ポジション9,A_選手9,A_ポジション10,A_選手10,A_ポジション11,A_選手11,url
19056,20161129,19:25,県立カシマサッカースタジアム,"23,074  人",曇,8.3,59,鹿島アントラーズ,石井　正忠,浦和レッズ,ペトロヴィッチ,GK,曽ヶ端　準,DF,西　大伍,DF,ファン　ソッコ,DF,昌子　源,DF,山本　脩斗,MF,小笠原　満男,MF,永木　亮太,MF,遠藤　康,MF,中村　充孝,FW,金崎　夢生,FW,土居　聖真,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,駒井　善成,MF,柏木　陽介,MF,阿部　勇樹,MF,宇賀神　友弥,MF,武藤　雄樹,MF,李　忠成,FW,興梠　慎三,https://data.j-league.or.jp/SFMS02/?match_card_id=19056
19057,20161203,19:35,埼玉スタジアム２００２,"59,837  人",晴,14.4,51,浦和レッズ,ペトロヴィッチ,鹿島アントラーズ,石井　正忠,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,関根　貴大,MF,柏木　陽介,MF,阿部　勇樹,MF,宇賀神　友弥,MF,武藤　雄樹,MF,高木　俊幸,FW,興梠　慎三,GK,曽ヶ端　準,DF,西　大伍,DF,ファン　ソッコ,DF,昌子　源,DF,山本　脩斗,MF,永木　亮太,MF,小笠原　満男,MF,遠藤　康,MF,柴崎　岳,FW,土居　聖真,FW,金崎　夢生,https://data.j-league.or.jp/SFMS02/?match_card_id=19057
19058,20161204,15:37,キンチョウスタジアム,"17,086  人",雨,14.9,84,セレッソ大阪,大熊　清,ファジアーノ岡山,長澤　徹,GK,キム　ジンヒョン,DF,藤本　康太,DF,松田　陸,DF,山下　達也,MF,ソウザ,MF,丸橋　祐介,MF,清原　翔平,MF,山口　蛍,FW,柿谷　曜一朗,FW,杉本　健勇,FW,澤上　竜二,GK,中林　洋次,DF,篠原　弘次郎,DF,岩政　大樹,DF,片山　瑛一,MF,澤口　雅彦,MF,関戸　健二,MF,矢島　慎也,MF,三村　真,FW,豊川　雄太,FW,赤嶺　真吾,FW,伊藤　大介,https://data.j-league.or.jp/SFMS02/?match_card_id=19058
19075,20170225,12:35,日産スタジアム,"39,284  人",晴,10.2,45,横浜Ｆ・マリノス,エリク　モンバエルツ,浦和レッズ,ペトロヴィッチ,GK,飯倉　大樹,DF,松原　健,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,金井　貢史,MF,喜田　拓也,MF,天野　純,MF,マルティノス,MF,ダビド　バブンスキー,MF,齋藤　学,FW,富樫　敬真,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,駒井　善成,MF,青木　拓矢,MF,阿部　勇樹,MF,宇賀神　友弥,MF,柏木　陽介,MF,興梠　慎三,FW,ラファエル　シルバ,https://data.j-league.or.jp/SFMS02/?match_card_id=19075
19076,20170225,14:04,ユアテックスタジアム仙台,"17,230  人",曇,10.6,36,ベガルタ仙台,渡邉　晋,北海道コンサドーレ札幌,四方田　修平,GK,関　憲太郎,DF,菅井　直樹,DF,大岩　一貴,DF,平岡　康裕,DF,石川　直樹,MF,富田　晋伍,MF,三田　啓貴,MF,梁　勇基,MF,永戸　勝也,FW,奥埜　博亮,FW,石原　直樹,GK,ク　ソンユン,DF,菊地　直哉,DF,横山　知伸,DF,福森　晃斗,MF,マセード,MF,キム　ミンテ,MF,深井　一希,MF,宮澤　裕樹,MF,石井　謙伍,FW,都倉　賢,FW,ジュリーニョ,https://data.j-league.or.jp/SFMS02/?match_card_id=19076
19077,20170225,14:04,県立カシマサッカースタジアム,"28,240  人",晴,10.1,63,鹿島アントラーズ,石井　正忠,ＦＣ東京,篠田　善之,GK,クォン　スンテ,DF,西　大伍,DF,植田　直通,DF,昌子　源,DF,山本　脩斗,MF,小笠原　満男,MF,レオ　シルバ,MF,遠藤　康,MF,土居　聖真,FW,金崎　夢生,FW,ペドロ　ジュニオール,GK,林　彰洋,DF,室屋　成,DF,森重　真人,DF,丸山　祐市,DF,太田　宏介,MF,橋本　拳人,MF,髙萩　洋次郎,MF,河野　広貴,MF,東　慶悟,MF,永井　謙佑,FW,大久保　嘉人,https://data.j-league.or.jp/SFMS02/?match_card_id=19077
19078,20170225,14:04,ＩＡＩスタジアム日本平,"17,861  人",晴,15.0,40,清水エスパルス,小林　伸二,ヴィッセル神戸,ネルシーニョ,GK,六反　勇治,DF,六平　光成,DF,犬飼　智也,DF,角田　誠,DF,松原　后,MF,河井　陽介,MF,フレイレ,MF,野津田　岳人,MF,白崎　凌兵,MF,金子　翔太,FW,鄭　大世,GK,キム　スンギュ,DF,高橋　峻希,DF,岩波　拓也,DF,渡部　博文,DF,橋本　和,MF,藤田　直之,MF,ニウトン,MF,大森　晃太郎,MF,渡邉　千真,FW,レアンドロ,FW,田中　順也,https://data.j-league.or.jp/SFMS02/?match_card_id=19078
19079,20170225,14:04,エディオンスタジアム広島,"17,545  人",晴,11.2,45,サンフレッチェ広島,森保　一,アルビレックス新潟,三浦　文丈,GK,廣永　遼太郎,DF,塩谷　司,DF,千葉　和彦,DF,水本　裕貴,MF,ミキッチ,MF,青山　敏弘,MF,稲垣　祥,MF,柏　好文,MF,森島　司,MF,フェリペ　シウバ,FW,工藤　壮人,GK,守田　達弥,DF,矢野　貴章,DF,富澤　清太郎,DF,大野　和成,DF,酒井　宣福,MF,原　輝綺,MF,小泉　慶,MF,加藤　大,MF,成岡　翔,FW,山崎　亮平,FW,ホニ,https://data.j-league.or.jp/SFMS02/?match_card_id=19079
19080,20170225,14:05,ベストアメニティスタジアム,"14,355  人",晴,14.8,34,サガン鳥栖,マッシモ　フィッカデンティ,柏レイソル,下平　隆宏,GK,権田　修一,DF,藤田　優人,DF,キム　ミンヒョク,DF,谷口　博之,DF,吉田　豊,MF,小野　裕二,MF,高橋　義希,MF,原川　力,MF,鎌田　大地,FW,富山　貴光,FW,豊田　陽平,GK,中村　航輔,DF,鎌田　次郎,DF,中谷　進之介,DF,中山　雄太,DF,輪湖　直樹,MF,伊東　純也,MF,小林　祐介,MF,大谷　秀和,MF,クリスティアーノ,FW,ハモン　ロペス,FW,ディエゴ　オリヴェイラ,https://data.j-league.or.jp/SFMS02/?match_card_id=19080
19081,20170225,15:03,ヤンマースタジアム長居,"33,208  人",晴,9.7,41,セレッソ大阪,尹　晶煥,ジュビロ磐田,名波　浩,GK,キム　ジンヒョン,DF,松田　陸,DF,丸橋　祐介,DF,マテイ　ヨニッチ,DF,山下　達也,MF,ソウザ,MF,関口　訓充,MF,山口　蛍,MF,水沼　宏太,FW,柿谷　曜一朗,FW,杉本　健勇,GK,カミンスキー,DF,大井　健太郎,DF,森下　俊,MF,ムサエフ,MF,太田　吉彰,MF,中村　俊輔,MF,宮崎　智彦,MF,アダイウトン,MF,山本　康裕,MF,川辺　駿,FW,川又　堅碁,https://data.j-league.or.jp/SFMS02/?match_card_id=19081
19082,20170225,16:03,ＮＡＣＫ５スタジアム大宮,"11,962  人",晴,15.5,26,大宮アルディージャ,渋谷　洋樹,川崎フロンターレ,鬼木　達,GK,塩田　仁史,DF,奥井　諒,DF,菊地　光将,DF,河本　裕之,DF,大屋　翼,MF,大山　啓輔,MF,長谷川　アーリアジャスール,MF,茨田　陽生,MF,瀬川　祐輔,FW,江坂　任,FW,大前　元紀,GK,チョン　ソンリョン,DF,田坂　祐介,DF,谷口　彰悟,DF,車屋　紳太郎,DF,登里　享平,MF,大島　僚太,MF,エドゥアルド　ネット,MF,阿部　浩之,MF,中村　憲剛,FW,家長　昭博,FW,小林　悠,https://data.j-league.or.jp/SFMS02/?match_card_id=19082
19083,20170226,17:03,市立吹田サッカースタジアム,"21,284  人",曇,9.6,35,ガンバ大阪,長谷川　健太,ヴァンフォーレ甲府,吉田　達磨,GK,東口　順昭,DF,オ　ジェソク,DF,三浦　弦太,DF,ファビオ,DF,藤春　廣輝,MF,井手口　陽介,MF,遠藤　保仁,MF,今野　泰幸,MF,倉田　秋,FW,長沢　駿,FW,アデミウソン,GK,岡　大生,DF,新井　涼平,DF,山本　英臣,DF,新里　亮,MF,松橋　優,MF,兵働　昭弘,MF,小椋　祥平,MF,橋爪　勇樹,FW,ウイルソン,FW,河本　明人,FW,田中　佑昌,https://data.j-league.or.jp/SFMS02/?match_card_id=19083
19084,20170304,14:01,埼玉スタジアム２００２,"43,826  人",晴,13.4,39,浦和レッズ,ペトロヴィッチ,セレッソ大阪,尹　晶煥,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,関根　貴大,MF,青木　拓矢,MF,阿部　勇樹,MF,宇賀神　友弥,MF,武藤　雄樹,MF,興梠　慎三,FW,ラファエル　シルバ,GK,丹野　研太,DF,松田　陸,DF,丸橋　祐介,DF,マテイ　ヨニッチ,DF,山下　達也,MF,ソウザ,MF,関口　訓充,MF,山口　蛍,MF,丸岡　満,FW,柿谷　曜一朗,FW,杉本　健勇,https://data.j-league.or.jp/SFMS02/?match_card_id=19084
19085,20170304,14:04,山梨中銀スタジアム,"13,199  人",晴,15.5,36,ヴァンフォーレ甲府,吉田　達磨,鹿島アントラーズ,石井　正忠,GK,岡　大生,DF,新井　涼平,DF,山本　英臣,DF,新里　亮,MF,松橋　優,MF,小椋　祥平,MF,兵働　昭弘,MF,堀米　勇輝,MF,田中　佑昌,MF,橋爪　勇樹,FW,ウイルソン,GK,クォン　スンテ,DF,伊東　幸敏,DF,植田　直通,DF,昌子　源,DF,山本　脩斗,MF,小笠原　満男,MF,レオ　シルバ,MF,遠藤　康,MF,土居　聖真,FW,ペドロ　ジュニオール,FW,金崎　夢生,https://data.j-league.or.jp/SFMS02/?match_card_id=19085
19086,20170304,14:04,エディオンスタジアム広島,"13,489  人",晴,17.0,29,サンフレッチェ広島,森保　一,清水エスパルス,小林　伸二,GK,林　卓人,DF,塩谷　司,DF,千葉　和彦,DF,水本　裕貴,MF,ミキッチ,MF,森島　司,MF,稲垣　祥,MF,清水　航平,MF,茶島　雄介,MF,フェリペ　シウバ,FW,工藤　壮人,GK,六反　勇治,DF,鎌田　翔雅,DF,犬飼　智也,DF,角田　誠,DF,松原　后,MF,六平　光成,MF,フレイレ,MF,枝村　匠馬,MF,白崎　凌兵,MF,金子　翔太,FW,鄭　大世,https://data.j-league.or.jp/SFMS02/?match_card_id=19086
19087,20170304,15:04,味の素スタジアム,"27,259  人",晴,18.4,35,ＦＣ東京,篠田　善之,大宮アルディージャ,渋谷　洋樹,GK,林　彰洋,DF,室屋　成,DF,森重　真人,DF,丸山　祐市,DF,太田　宏介,MF,橋本　拳人,MF,髙萩　洋次郎,MF,河野　広貴,MF,東　慶悟,MF,永井　謙佑,FW,大久保　嘉人,GK,塩田　仁史,DF,奥井　諒,DF,菊地　光将,DF,河本　裕之,DF,大屋　翼,MF,大山　啓輔,MF,茨田　陽生,MF,長谷川　アーリアジャスール,MF,瀬川　祐輔,FW,江坂　任,FW,ネイツ　ペチュニク,https://data.j-league.or.jp/SFMS02/?match_card_id=19087
19088,20170304,15:03,ヤマハスタジアム（磐田）,"14,554  人",晴,17.5,21,ジュビロ磐田,名波　浩,ベガルタ仙台,渡邉　晋,GK,カミンスキー,DF,大井　健太郎,DF,森下　俊,MF,ムサエフ,MF,太田　吉彰,MF,中村　俊輔,MF,宮崎　智彦,MF,アダイウトン,MF,山本　康裕,MF,川辺　駿,FW,川又　堅碁,GK,関　憲太郎,DF,菅井　直樹,DF,大岩　一貴,DF,平岡　康裕,DF,石川　直樹,MF,富田　晋伍,MF,三田　啓貴,MF,梁　勇基,MF,永戸　勝也,FW,奥埜　博亮,FW,石原　直樹,https://data.j-league.or.jp/SFMS02/?match_card_id=19088
19089,20170304,16:03,ノエビアスタジアム神戸,"25,278  人",晴,13.6,49,ヴィッセル神戸,ネルシーニョ,アルビレックス新潟,三浦　文丈,GK,キム　スンギュ,DF,高橋　峻希,DF,岩波　拓也,DF,渡部　博文,DF,橋本　和,MF,ニウトン,MF,藤田　直之,MF,松下　佳貴,MF,大森　晃太郎,FW,渡邉　千真,FW,田中　順也,GK,守田　達弥,DF,川口　尚紀,DF,富澤　清太郎,DF,大野　和成,DF,酒井　宣福,MF,原　輝綺,MF,小泉　慶,MF,加藤　大,MF,成岡　翔,FW,山崎　亮平,FW,ホニ,https://data.j-league.or.jp/SFMS02/?match_card_id=19089
19090,20170304,19:03,ニッパツ三ツ沢球技場,"12,740  人",晴,10.6,51,横浜Ｆ・マリノス,エリク　モンバエルツ,北海道コンサドーレ札幌,四方田　修平,GK,飯倉　大樹,DF,松原　健,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,新井　一耀,MF,喜田　拓也,MF,天野　純,MF,マルティノス,MF,ダビド　バブンスキー,MF,齋藤　学,FW,富樫　敬真,GK,ク　ソンユン,DF,進藤　亮佑,DF,横山　知伸,DF,福森　晃斗,MF,石井　謙伍,MF,キム　ミンテ,MF,深井　一希,MF,兵藤　慎剛,MF,田中　雄大,FW,都倉　賢,FW,ジュリーニョ,https://data.j-league.or.jp/SFMS02/?match_card_id=19090
19091,20170305,15:03,日立柏サッカー場,"13,649  人",曇,15.1,60,柏レイソル,下平　隆宏,ガンバ大阪,長谷川　健太,GK,中村　航輔,DF,鎌田　次郎,DF,中谷　進之介,DF,中山　雄太,DF,輪湖　直樹,MF,伊東　純也,MF,小林　祐介,MF,大谷　秀和,MF,クリスティアーノ,FW,ディエゴ　オリヴェイラ,FW,武富　孝介,GK,東口　順昭,DF,三浦　弦太,DF,ファビオ,DF,金　正也,DF,藤春　廣輝,MF,初瀬　亮,MF,遠藤　保仁,MF,今野　泰幸,MF,倉田　秋,FW,アデミウソン,FW,長沢　駿,https://data.j-league.or.jp/SFMS02/?match_card_id=19091
19092,20170305,17:03,等々力陸上競技場,"22,705  人",曇,15.5,51,川崎フロンターレ,鬼木　達,サガン鳥栖,マッシモ　フィッカデンティ,GK,チョン　ソンリョン,DF,田坂　祐介,DF,谷口　彰悟,DF,車屋　紳太郎,DF,登里　享平,MF,エドゥアルド　ネット,MF,大島　僚太,MF,阿部　浩之,MF,中村　憲剛,FW,大塚　翔平,FW,小林　悠,GK,権田　修一,DF,藤田　優人,DF,キム　ミンヒョク,DF,谷口　博之,DF,吉田　豊,MF,小野　裕二,MF,高橋　義希,MF,福田　晃斗,MF,鎌田　大地,FW,富山　貴光,FW,豊田　陽平,https://data.j-league.or.jp/SFMS02/?match_card_id=19092
19093,20170310,19:03,県立カシマサッカースタジアム,"12,537  人",晴,11.9,42,鹿島アントラーズ,石井　正忠,横浜Ｆ・マリノス,エリク　モンバエルツ,GK,クォン　スンテ,DF,伊東　幸敏,DF,植田　直通,DF,昌子　源,DF,山本　脩斗,MF,小笠原　満男,MF,レオ　シルバ,MF,遠藤　康,MF,土居　聖真,FW,金崎　夢生,FW,ペドロ　ジュニオール,GK,飯倉　大樹,DF,松原　健,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,金井　貢史,MF,喜田　拓也,MF,天野　純,MF,前田　直輝,MF,ダビド　バブンスキー,MF,マルティノス,FW,伊藤　翔,https://data.j-league.or.jp/SFMS02/?match_card_id=19093
19094,20170310,19:03,等々力陸上競技場,"18,608  人",晴,11.4,29,川崎フロンターレ,鬼木　達,柏レイソル,下平　隆宏,GK,チョン　ソンリョン,DF,田坂　祐介,DF,奈良　竜樹,DF,谷口　彰悟,DF,車屋　紳太郎,MF,エドゥアルド　ネット,MF,大島　僚太,MF,中村　憲剛,MF,登里　享平,FW,阿部　浩之,FW,小林　悠,GK,中村　航輔,DF,古賀　太陽,DF,中谷　進之介,DF,中山　雄太,DF,輪湖　直樹,MF,伊東　純也,MF,小林　祐介,MF,大谷　秀和,MF,クリスティアーノ,FW,ディエゴ　オリヴェイラ,FW,武富　孝介,https://data.j-league.or.jp/SFMS02/?match_card_id=19094
19095,20170310,19:33,埼玉スタジアム２００２,"22,711  人",晴,10.7,29,浦和レッズ,ペトロヴィッチ,ヴァンフォーレ甲府,吉田　達磨,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,関根　貴大,MF,青木　拓矢,MF,阿部　勇樹,MF,宇賀神　友弥,MF,武藤　雄樹,MF,興梠　慎三,FW,ラファエル　シルバ,GK,岡　大生,DF,新井　涼平,DF,山本　英臣,DF,新里　亮,MF,松橋　優,MF,小椋　祥平,MF,兵働　昭弘,MF,堀米　勇輝,MF,田中　佑昌,MF,橋爪　勇樹,FW,ウイルソン,https://data.j-league.or.jp/SFMS02/?match_card_id=19095
19096,20170311,15:06,札幌ドーム,"21,760  人",屋内,24.1,45,北海道コンサドーレ札幌,四方田　修平,セレッソ大阪,尹　晶煥,GK,ク　ソンユン,DF,横山　知伸,DF,福森　晃斗,MF,キム　ミンテ,MF,石井　謙伍,MF,宮澤　裕樹,MF,深井　一希,MF,兵藤　慎剛,MF,田中　雄大,FW,都倉　賢,FW,ジュリーニョ,GK,丹野　研太,DF,松田　陸,DF,丸橋　祐介,DF,マテイ　ヨニッチ,DF,山下　達也,MF,ソウザ,MF,山口　蛍,MF,山村　和也,MF,清武　弘嗣,FW,柿谷　曜一朗,FW,杉本　健勇,https://data.j-league.or.jp/SFMS02/?match_card_id=19096
