,年月日,キックオフ時刻,スタジアム,入場者数,天候,気温,湿度,H_team,H_監督,A_team,A_監督,H_ポジション1,H_選手1,H_ポジション2,H_選手2,H_ポジション3,H_選手3,H_ポジション4,H_選手4,H_ポジション5,H_選手5,H_ポジション6,H_選手6,H_ポジション7,H_選手7,H_ポジション8,H_選手8,H_ポジション9,H_選手9,H_ポジション10,H_選手10,H_ポジション11,H_選手11,A_ポジション1,A_選手1,A_ポジション2,A_選手2,A_ポジション3,A_選手3,A_ポジション4,A_選手4,A_ポジション5,A_選手5,A_ポジション6,A_選手6,A_ポジション7,A_選手7,A_ポジション8,A_選手8,A_ポジション9,A_選手9,A_ポジション10,A_選手10,A_ポジション11,A_選手11,url
19140,20170422,14:04,埼玉スタジアム２００２,"36,880  人",曇,18.6,45,浦和レッズ,ペトロヴィッチ,北海道コンサドーレ札幌,四方田　修平,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,関根　貴大,MF,柏木　陽介,MF,阿部　勇樹,MF,宇賀神　友弥,MF,武藤　雄樹,MF,興梠　慎三,FW,ラファエル　シルバ,GK,ク　ソンユン,DF,キム　ミンテ,DF,横山　知伸,DF,福森　晃斗,MF,早坂　良太,MF,荒野　拓馬,MF,宮澤　裕樹,MF,兵藤　慎剛,MF,田中　雄大,MF,菅　大輝,FW,都倉　賢,https://data.j-league.or.jp/SFMS02/?match_card_id=19140
19141,20170422,14:03,山梨中銀スタジアム,"11,038  人",晴,23.0,30,ヴァンフォーレ甲府,吉田　達磨,セレッソ大阪,尹　晶煥,GK,岡　大生,DF,新里　亮,DF,新井　涼平,DF,エデル　リマ,MF,松橋　優,MF,小椋　祥平,MF,兵働　昭弘,MF,堀米　勇輝,MF,田中　佑昌,MF,阿部　翔平,FW,ドゥドゥ,GK,キム　ジンヒョン,DF,松田　陸,DF,丸橋　祐介,DF,マテイ　ヨニッチ,DF,山下　達也,MF,ソウザ,MF,関口　訓充,MF,山口　蛍,MF,山村　和也,FW,柿谷　曜一朗,FW,杉本　健勇,https://data.j-league.or.jp/SFMS02/?match_card_id=19141
19142,20170422,14:04,エディオンスタジアム広島,"10,814  人",晴,21.2,27,サンフレッチェ広島,森保　一,ベガルタ仙台,渡邉　晋,GK,林　卓人,DF,塩谷　司,DF,千葉　和彦,DF,水本　裕貴,MF,高橋　壮也,MF,青山　敏弘,MF,野上　結貴,MF,柏　好文,MF,アンデルソン　ロペス,MF,柴﨑　晃誠,FW,工藤　壮人,GK,シュミット　ダニエル,DF,菅井　直樹,DF,大岩　一貴,DF,平岡　康裕,DF,増嶋　竜也,MF,富田　晋伍,MF,三田　啓貴,MF,佐々木　匠,MF,永戸　勝也,FW,クリスラン,FW,石原　直樹,https://data.j-league.or.jp/SFMS02/?match_card_id=19142
19143,20170422,15:03,県立カシマサッカースタジアム,"18,276  人",曇,19.2,58,鹿島アントラーズ,石井　正忠,ジュビロ磐田,名波　浩,GK,曽ヶ端　準,DF,西　大伍,DF,植田　直通,DF,昌子　源,DF,山本　脩斗,MF,永木　亮太,MF,小笠原　満男,MF,遠藤　康,MF,安部　裕葵,FW,金崎　夢生,FW,土居　聖真,GK,カミンスキー,DF,大井　健太郎,DF,櫻内　渚,DF,森下　俊,DF,高橋　祥平,MF,中村　俊輔,MF,松浦　拓弥,MF,宮崎　智彦,MF,山本　康裕,MF,川辺　駿,FW,川又　堅碁,https://data.j-league.or.jp/SFMS02/?match_card_id=19143
19144,20170422,15:03,日立柏サッカー場,"10,268  人",雨一時曇,17.5,56,柏レイソル,下平　隆宏,横浜Ｆ・マリノス,エリク　モンバエルツ,GK,中村　航輔,DF,小池　龍太,DF,中谷　進之介,DF,中山　雄太,DF,輪湖　直樹,MF,伊東　純也,MF,大谷　秀和,MF,手塚　康平,MF,中川　寛斗,FW,大津　祐樹,FW,クリスティアーノ,GK,飯倉　大樹,DF,新井　一耀,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,金井　貢史,MF,喜田　拓也,MF,扇原　貴宏,MF,前田　直輝,MF,天野　純,MF,齋藤　学,FW,ウーゴ　ヴィエイラ,https://data.j-league.or.jp/SFMS02/?match_card_id=19144
19145,20170422,16:03,デンカビッグスワンスタジアム,"18,292  人",晴,13.2,56,アルビレックス新潟,三浦　文丈,ＦＣ東京,篠田　善之,GK,大谷　幸輝,DF,矢野　貴章,DF,富澤　清太郎,DF,ソン　ジュフン,DF,原　輝綺,MF,ロメロ　フランク,MF,小泉　慶,MF,加藤　大,MF,山崎　亮平,FW,チアゴ　ガリャルド,FW,ホニ,GK,林　彰洋,DF,徳永　悠平,DF,森重　真人,DF,丸山　祐市,DF,太田　宏介,MF,橋本　拳人,MF,梶山　陽平,MF,河野　広貴,MF,大久保　嘉人,MF,東　慶悟,FW,前田　遼一,https://data.j-league.or.jp/SFMS02/?match_card_id=19145
19146,20170422,19:04,ベストアメニティスタジアム,"11,088  人",晴,17.0,50,サガン鳥栖,マッシモ　フィッカデンティ,ヴィッセル神戸,ネルシーニョ,GK,権田　修一,DF,藤田　優人,DF,キム　ミンヒョク,DF,谷口　博之,DF,吉田　豊,MF,原川　力,MF,小川　佳純,MF,福田　晃斗,MF,鎌田　大地,FW,趙　東建,FW,豊田　陽平,GK,キム　スンギュ,DF,高橋　峻希,DF,北本　久仁衛,DF,渡部　博文,DF,橋本　和,MF,高橋　秀人,MF,ニウトン,MF,松下　佳貴,MF,大森　晃太郎,FW,小林　成豪,FW,渡邉　千真,https://data.j-league.or.jp/SFMS02/?match_card_id=19146
19147,20170430,13:03,ＩＡＩスタジアム日本平,"15,228  人",晴,23.0,50,清水エスパルス,小林　伸二,ベガルタ仙台,渡邉　晋,GK,六反　勇治,DF,鎌田　翔雅,DF,犬飼　智也,DF,角田　誠,DF,松原　后,MF,六平　光成,MF,野津田　岳人,MF,枝村　匠馬,MF,白崎　凌兵,MF,金子　翔太,FW,鄭　大世,GK,シュミット　ダニエル,DF,菅井　直樹,DF,大岩　一貴,DF,平岡　康裕,DF,増嶋　竜也,MF,富田　晋伍,MF,三田　啓貴,MF,梁　勇基,MF,永戸　勝也,FW,クリスラン,FW,石原　直樹,https://data.j-league.or.jp/SFMS02/?match_card_id=19147
19148,20170430,14:03,デンカビッグスワンスタジアム,"19,782  人",晴,23.9,32,アルビレックス新潟,三浦　文丈,柏レイソル,下平　隆宏,GK,大谷　幸輝,DF,矢野　貴章,DF,富澤　清太郎,DF,ソン　ジュフン,DF,原　輝綺,MF,ロメロ　フランク,MF,小泉　慶,MF,加藤　大,MF,山崎　亮平,FW,チアゴ　ガリャルド,FW,ホニ,GK,中村　航輔,DF,小池　龍太,DF,中谷　進之介,DF,中山　雄太,DF,輪湖　直樹,MF,大谷　秀和,MF,手塚　康平,MF,中川　寛斗,FW,伊東　純也,FW,大津　祐樹,FW,クリスティアーノ,https://data.j-league.or.jp/SFMS02/?match_card_id=19148
19149,20170430,15:04,ＮＡＣＫ５スタジアム大宮,"12,401  人",晴,26.8,21,大宮アルディージャ,渋谷　洋樹,浦和レッズ,ペトロヴィッチ,GK,塩田　仁史,DF,渡部　大輔,DF,山越　康平,DF,河本　裕之,DF,和田　拓也,MF,金澤　慎,MF,岩上　祐三,MF,長谷川　アーリアジャスール,MF,茨田　陽生,FW,江坂　任,FW,瀬川　祐輔,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,関根　貴大,MF,柏木　陽介,MF,阿部　勇樹,MF,宇賀神　友弥,MF,武藤　雄樹,MF,興梠　慎三,FW,ラファエル　シルバ,https://data.j-league.or.jp/SFMS02/?match_card_id=19149
19150,20170430,15:04,味の素スタジアム,"25,037  人",晴,23.2,43,ＦＣ東京,篠田　善之,サンフレッチェ広島,森保　一,GK,林　彰洋,DF,徳永　悠平,DF,森重　真人,DF,丸山　祐市,DF,太田　宏介,MF,髙萩　洋次郎,MF,梶山　陽平,MF,河野　広貴,MF,東　慶悟,MF,大久保　嘉人,FW,前田　遼一,GK,林　卓人,DF,塩谷　司,DF,千葉　和彦,DF,水本　裕貴,MF,高橋　壮也,MF,野上　結貴,MF,青山　敏弘,MF,柏　好文,MF,アンデルソン　ロペス,MF,柴﨑　晃誠,FW,工藤　壮人,https://data.j-league.or.jp/SFMS02/?match_card_id=19150
19151,20170430,15:03,ヤマハスタジアム（磐田）,"14,495  人",晴,23.7,42,ジュビロ磐田,名波　浩,北海道コンサドーレ札幌,四方田　修平,GK,八田　直樹,DF,大井　健太郎,DF,櫻内　渚,DF,小川　大貴,DF,高橋　祥平,MF,松浦　拓弥,MF,宮崎　智彦,MF,松本　昌也,MF,山本　康裕,MF,川辺　駿,FW,川又　堅碁,GK,ク　ソンユン,DF,キム　ミンテ,DF,横山　知伸,DF,福森　晃斗,MF,早坂　良太,MF,荒野　拓馬,MF,宮澤　裕樹,MF,兵藤　慎剛,MF,菅　大輝,FW,金園　英学,FW,都倉　賢,https://data.j-league.or.jp/SFMS02/?match_card_id=19151
19152,20170430,16:03,県立カシマサッカースタジアム,"18,462  人",晴,20.7,52,鹿島アントラーズ,石井　正忠,サガン鳥栖,マッシモ　フィッカデンティ,GK,クォン　スンテ,DF,西　大伍,DF,植田　直通,DF,昌子　源,DF,山本　脩斗,MF,永木　亮太,MF,レオ　シルバ,MF,遠藤　康,MF,土居　聖真,FW,ペドロ　ジュニオール,FW,金崎　夢生,GK,権田　修一,DF,藤田　優人,DF,キム　ミンヒョク,DF,谷口　博之,DF,吉田　豊,MF,原川　力,MF,小川　佳純,MF,福田　晃斗,MF,鎌田　大地,FW,小野　裕二,FW,豊田　陽平,https://data.j-league.or.jp/SFMS02/?match_card_id=19152
19153,20170430,16:03,ノエビアスタジアム神戸,"14,662  人",晴,21.7,62,ヴィッセル神戸,ネルシーニョ,ヴァンフォーレ甲府,吉田　達磨,GK,キム　スンギュ,DF,高橋　峻希,DF,岩波　拓也,DF,渡部　博文,DF,橋本　和,MF,ニウトン,MF,松下　佳貴,MF,ウエスクレイ,MF,大森　晃太郎,FW,渡邉　千真,FW,田中　順也,GK,岡　大生,DF,新里　亮,DF,畑尾　大翔,DF,エデル　リマ,MF,松橋　優,MF,小椋　祥平,MF,兵働　昭弘,MF,堀米　勇輝,MF,田中　佑昌,MF,阿部　翔平,FW,河本　明人,https://data.j-league.or.jp/SFMS02/?match_card_id=19153
19154,20170430,17:03,日産スタジアム,"31,808  人",晴,21.7,39,横浜Ｆ・マリノス,エリク　モンバエルツ,ガンバ大阪,長谷川　健太,GK,飯倉　大樹,DF,松原　健,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,金井　貢史,MF,喜田　拓也,MF,天野　純,MF,マルティノス,MF,ダビド　バブンスキー,MF,齋藤　学,FW,伊藤　翔,GK,東口　順昭,DF,オ　ジェソク,DF,三浦　弦太,DF,ファビオ,DF,藤春　廣輝,MF,井手口　陽介,MF,倉田　秋,MF,藤本　淳吾,MF,泉澤　仁,MF,堂安　律,FW,赤﨑　秀平,https://data.j-league.or.jp/SFMS02/?match_card_id=19154
19155,20170430,19:05,ヤンマースタジアム長居,"25,738  人",曇,20.5,55,セレッソ大阪,尹　晶煥,川崎フロンターレ,鬼木　達,GK,キム　ジンヒョン,DF,松田　陸,DF,丸橋　祐介,DF,マテイ　ヨニッチ,DF,山下　達也,MF,ソウザ,MF,山口　蛍,MF,山村　和也,MF,清武　弘嗣,FW,柿谷　曜一朗,FW,杉本　健勇,GK,チョン　ソンリョン,DF,登里　享平,DF,奈良　竜樹,DF,谷口　彰悟,DF,車屋　紳太郎,MF,森谷　賢太郎,MF,田坂　祐介,MF,阿部　浩之,MF,三好　康児,FW,大塚　翔平,FW,小林　悠,https://data.j-league.or.jp/SFMS02/?match_card_id=19155
19156,20170504,14:02,埼玉スタジアム２００２,"57,447  人",晴,22.2,42,浦和レッズ,ペトロヴィッチ,鹿島アントラーズ,石井　正忠,GK,西川　周作,DF,森脇　良太,DF,那須　大亮,DF,槙野　智章,MF,関根　貴大,MF,青木　拓矢,MF,阿部　勇樹,MF,宇賀神　友弥,MF,武藤　雄樹,MF,興梠　慎三,FW,ラファエル　シルバ,GK,クォン　スンテ,DF,伊東　幸敏,DF,植田　直通,DF,昌子　源,DF,西　大伍,MF,小笠原　満男,MF,レオ　シルバ,MF,遠藤　康,MF,土居　聖真,FW,ペドロ　ジュニオール,FW,金崎　夢生,https://data.j-league.or.jp/SFMS02/?match_card_id=19156
19157,20170505,14:03,市立吹田サッカースタジアム,"31,948  人",晴,25.5,48,ガンバ大阪,長谷川　健太,清水エスパルス,小林　伸二,GK,東口　順昭,DF,オ　ジェソク,DF,三浦　弦太,DF,ファビオ,DF,藤春　廣輝,MF,井手口　陽介,MF,倉田　秋,MF,藤本　淳吾,MF,堂安　律,FW,長沢　駿,FW,アデミウソン,GK,六反　勇治,DF,鎌田　翔雅,DF,犬飼　智也,DF,二見　宏志,DF,松原　后,MF,六平　光成,MF,竹内　涼,MF,枝村　匠馬,MF,白崎　凌兵,FW,チアゴ　アウベス,FW,鄭　大世,https://data.j-league.or.jp/SFMS02/?match_card_id=19157
19158,20170505,15:03,等々力陸上競技場,"25,095  人",晴,24.4,45,川崎フロンターレ,鬼木　達,アルビレックス新潟,三浦　文丈,GK,チョン　ソンリョン,DF,田坂　祐介,DF,谷口　彰悟,DF,エドゥアルド,DF,車屋　紳太郎,MF,エドゥアルド　ネット,MF,大島　僚太,MF,長谷川　竜也,MF,阿部　浩之,FW,ハイネル,FW,小林　悠,GK,大谷　幸輝,DF,矢野　貴章,DF,富澤　清太郎,DF,ソン　ジュフン,DF,原　輝綺,MF,ロメロ　フランク,MF,小泉　慶,MF,加藤　大,MF,チアゴ　ガリャルド,FW,山崎　亮平,FW,鈴木　武蔵,https://data.j-league.or.jp/SFMS02/?match_card_id=19158
19159,20170506,13:03,札幌ドーム,"15,498  人",屋内,23.9,53,北海道コンサドーレ札幌,四方田　修平,大宮アルディージャ,渋谷　洋樹,GK,ク　ソンユン,DF,キム　ミンテ,DF,河合　竜二,DF,福森　晃斗,MF,早坂　良太,MF,荒野　拓馬,MF,宮澤　裕樹,MF,兵藤　慎剛,MF,菅　大輝,FW,金園　英学,FW,都倉　賢,GK,塩田　仁史,DF,渡部　大輔,DF,山越　康平,DF,金澤　慎,DF,高山　和真,DF,和田　拓也,MF,長谷川　アーリアジャスール,MF,茨田　陽生,MF,岩上　祐三,FW,江坂　任,FW,瀬川　祐輔,https://data.j-league.or.jp/SFMS02/?match_card_id=19159
19160,20170506,14:03,日立柏サッカー場,"14,015  人",晴,27.8,59,柏レイソル,下平　隆宏,セレッソ大阪,尹　晶煥,GK,中村　航輔,DF,小池　龍太,DF,中谷　進之介,DF,中山　雄太,DF,輪湖　直樹,MF,大谷　秀和,MF,手塚　康平,MF,中川　寛斗,FW,伊東　純也,FW,クリスティアーノ,FW,武富　孝介,GK,キム　ジンヒョン,DF,松田　陸,DF,丸橋　祐介,DF,マテイ　ヨニッチ,DF,山下　達也,MF,ソウザ,MF,山口　蛍,MF,山村　和也,MF,清武　弘嗣,FW,柿谷　曜一朗,FW,杉本　健勇,https://data.j-league.or.jp/SFMS02/?match_card_id=19160
19161,20170506,19:05,エディオンスタジアム広島,"13,421  人",晴,23.5,72,サンフレッチェ広島,森保　一,ヴィッセル神戸,ネルシーニョ,GK,林　卓人,DF,塩谷　司,DF,千葉　和彦,DF,水本　裕貴,MF,ミキッチ,MF,青山　敏弘,MF,野上　結貴,MF,柏　好文,MF,アンデルソン　ロペス,MF,柴﨑　晃誠,FW,工藤　壮人,GK,キム　スンギュ,DF,高橋　峻希,DF,岩波　拓也,DF,高橋　秀人,DF,渡部　博文,DF,橋本　和,MF,ニウトン,MF,三原　雅俊,MF,ウエスクレイ,MF,大森　晃太郎,FW,田中　順也,https://data.j-league.or.jp/SFMS02/?match_card_id=19161
19162,20170507,14:05,ユアテックスタジアム仙台,"17,281  人",晴,21.5,28,ベガルタ仙台,渡邉　晋,ＦＣ東京,篠田　善之,GK,シュミット　ダニエル,DF,菅井　直樹,DF,大岩　一貴,DF,平岡　康裕,DF,増嶋　竜也,MF,富田　晋伍,MF,三田　啓貴,MF,梁　勇基,MF,永戸　勝也,FW,クリスラン,FW,石原　直樹,GK,林　彰洋,DF,徳永　悠平,DF,森重　真人,DF,丸山　祐市,DF,太田　宏介,MF,梶山　陽平,MF,髙萩　洋次郎,MF,河野　広貴,MF,大久保　嘉人,MF,東　慶悟,FW,前田　遼一,https://data.j-league.or.jp/SFMS02/?match_card_id=19162
19163,20170507,14:03,山梨中銀スタジアム,"12,622  人",曇,27.2,20,ヴァンフォーレ甲府,吉田　達磨,ジュビロ磐田,名波　浩,GK,岡　大生,DF,新里　亮,DF,畑尾　大翔,DF,エデル　リマ,MF,松橋　優,MF,小椋　祥平,MF,兵働　昭弘,MF,河本　明人,MF,田中　佑昌,MF,阿部　翔平,FW,ドゥドゥ,GK,カミンスキー,DF,大井　健太郎,DF,櫻内　渚,DF,森下　俊,DF,高橋　祥平,MF,ムサエフ,MF,中村　俊輔,MF,松浦　拓弥,MF,宮崎　智彦,MF,川辺　駿,FW,川又　堅碁,https://data.j-league.or.jp/SFMS02/?match_card_id=19163
19164,20170507,17:04,ベストアメニティスタジアム,"21,245  人",晴,24.1,30,サガン鳥栖,マッシモ　フィッカデンティ,横浜Ｆ・マリノス,エリク　モンバエルツ,GK,権田　修一,DF,小林　祐三,DF,キム　ミンヒョク,DF,谷口　博之,DF,吉田　豊,MF,高橋　義希,MF,原川　力,MF,福田　晃斗,MF,鎌田　大地,FW,趙　東建,FW,豊田　陽平,GK,飯倉　大樹,DF,松原　健,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,金井　貢史,MF,扇原　貴宏,MF,天野　純,MF,マルティノス,MF,ダビド　バブンスキー,MF,齋藤　学,FW,伊藤　翔,https://data.j-league.or.jp/SFMS02/?match_card_id=19164
19165,20170514,13:03,ＩＡＩスタジアム日本平,"14,172  人",曇のち晴,23.8,58,清水エスパルス,小林　伸二,サガン鳥栖,マッシモ　フィッカデンティ,GK,六反　勇治,DF,鎌田　翔雅,DF,犬飼　智也,DF,二見　宏志,DF,松原　后,MF,六平　光成,MF,竹内　涼,MF,枝村　匠馬,MF,白崎　凌兵,MF,チアゴ　アウベス,FW,鄭　大世,GK,権田　修一,DF,小林　祐三,DF,キム　ミンヒョク,DF,青木　剛,DF,吉田　豊,MF,福田　晃斗,MF,高橋　義希,MF,原川　力,MF,鎌田　大地,FW,趙　東建,FW,ビクトル　イバルボ,https://data.j-league.or.jp/SFMS02/?match_card_id=19165
19166,20170514,14:03,県立カシマサッカースタジアム,"18,626  人",曇,18.4,84,鹿島アントラーズ,石井　正忠,ヴィッセル神戸,ネルシーニョ,GK,クォン　スンテ,DF,西　大伍,DF,昌子　源,DF,町田　浩樹,DF,三竿　雄斗,MF,小笠原　満男,MF,レオ　シルバ,MF,遠藤　康,MF,土居　聖真,FW,ペドロ　ジュニオール,FW,鈴木　優磨,GK,キム　スンギュ,DF,高橋　峻希,DF,岩波　拓也,DF,渡部　博文,DF,橋本　和,MF,ニウトン,MF,高橋　秀人,MF,松下　佳貴,FW,中坂　勇哉,FW,渡邉　千真,FW,大森　晃太郎,https://data.j-league.or.jp/SFMS02/?match_card_id=19166
19167,20170514,14:03,ニッパツ三ツ沢球技場,"11,036  人",曇,21.5,59,横浜Ｆ・マリノス,エリク　モンバエルツ,ヴァンフォーレ甲府,吉田　達磨,GK,飯倉　大樹,DF,松原　健,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,金井　貢史,MF,喜田　拓也,MF,天野　純,MF,マルティノス,MF,ダビド　バブンスキー,MF,齋藤　学,FW,伊藤　翔,GK,岡　大生,DF,新里　亮,DF,畑尾　大翔,DF,エデル　リマ,MF,松橋　優,MF,小椋　祥平,MF,兵働　昭弘,MF,ドゥドゥ,MF,田中　佑昌,MF,阿部　翔平,FW,ウイルソン,https://data.j-league.or.jp/SFMS02/?match_card_id=19167
19168,20170514,14:03,デンカビッグスワンスタジアム,"30,864  人",晴,24.0,54,アルビレックス新潟,片渕　浩一郎,浦和レッズ,ペトロヴィッチ,GK,大谷　幸輝,DF,川口　尚紀,DF,大野　和成,DF,富澤　清太郎,DF,ソン　ジュフン,MF,ロメロ　フランク,MF,小泉　慶,MF,チアゴ　ガリャルド,MF,加藤　大,FW,山崎　亮平,FW,鈴木　武蔵,GK,西川　周作,DF,宇賀神　友弥,DF,遠藤　航,DF,槙野　智章,MF,駒井　善成,MF,柏木　陽介,MF,阿部　勇樹,MF,関根　貴大,MF,武藤　雄樹,MF,興梠　慎三,FW,ラファエル　シルバ,https://data.j-league.or.jp/SFMS02/?match_card_id=19168
19169,20170514,15:04,味の素スタジアム,"23,950  人",曇,22.2,57,ＦＣ東京,篠田　善之,柏レイソル,下平　隆宏,GK,林　彰洋,DF,徳永　悠平,DF,森重　真人,DF,丸山　祐市,DF,太田　宏介,MF,梶山　陽平,MF,髙萩　洋次郎,MF,河野　広貴,MF,大久保　嘉人,MF,東　慶悟,FW,前田　遼一,GK,中村　航輔,DF,小池　龍太,DF,鎌田　次郎,DF,中谷　進之介,DF,輪湖　直樹,MF,手塚　康平,MF,大谷　秀和,MF,中川　寛斗,FW,伊東　純也,FW,クリスティアーノ,FW,武富　孝介,https://data.j-league.or.jp/SFMS02/?match_card_id=19169
19170,20170514,15:03,ヤマハスタジアム（磐田）,"13,782  人",晴,24.2,51,ジュビロ磐田,名波　浩,川崎フロンターレ,鬼木　達,GK,カミンスキー,DF,大井　健太郎,DF,櫻内　渚,DF,小川　大貴,DF,森下　俊,DF,高橋　祥平,MF,ムサエフ,MF,中村　俊輔,MF,松浦　拓弥,MF,川辺　駿,FW,川又　堅碁,GK,チョン　ソンリョン,DF,武岡　優斗,DF,谷口　彰悟,DF,エドゥアルド,MF,エドゥアルド　ネット,MF,大島　僚太,MF,ハイネル,MF,車屋　紳太郎,MF,中村　憲剛,FW,阿部　浩之,FW,小林　悠,https://data.j-league.or.jp/SFMS02/?match_card_id=19170
19171,20170514,15:03,キンチョウスタジアム,"14,351  人",晴,27.1,32,セレッソ大阪,尹　晶煥,サンフレッチェ広島,森保　一,GK,キム　ジンヒョン,DF,松田　陸,DF,丸橋　祐介,DF,マテイ　ヨニッチ,DF,山下　達也,MF,ソウザ,MF,山口　蛍,MF,山村　和也,MF,清武　弘嗣,FW,柿谷　曜一朗,FW,杉本　健勇,GK,林　卓人,DF,塩谷　司,DF,千葉　和彦,DF,水本　裕貴,MF,ミキッチ,MF,森﨑　和幸,MF,青山　敏弘,MF,柏　好文,MF,アンデルソン　ロペス,MF,柴﨑　晃誠,FW,工藤　壮人,https://data.j-league.or.jp/SFMS02/?match_card_id=19171
19172,20170514,17:04,ＮＡＣＫ５スタジアム大宮,"9,920  人",曇のち晴,22.0,54,大宮アルディージャ,渋谷　洋樹,ベガルタ仙台,渡邉　晋,GK,塩田　仁史,DF,渡部　大輔,DF,山越　康平,DF,菊地　光将,DF,和田　拓也,MF,金澤　慎,MF,茨田　陽生,MF,マテウス,MF,瀬川　祐輔,FW,江坂　任,FW,ドラガン　ムルジャ,GK,シュミット　ダニエル,DF,蜂須賀　孝治,DF,大岩　一貴,DF,平岡　康裕,DF,増嶋　竜也,MF,富田　晋伍,MF,三田　啓貴,MF,梁　勇基,MF,永戸　勝也,FW,クリスラン,FW,石原　直樹,https://data.j-league.or.jp/SFMS02/?match_card_id=19172
19173,20170514,19:03,札幌ドーム,"21,174  人",屋内,22.6,49,北海道コンサドーレ札幌,四方田　修平,ガンバ大阪,長谷川　健太,GK,ク　ソンユン,DF,キム　ミンテ,DF,横山　知伸,DF,福森　晃斗,MF,早坂　良太,MF,荒野　拓馬,MF,宮澤　裕樹,MF,兵藤　慎剛,MF,菅　大輝,FW,金園　英学,FW,都倉　賢,GK,東口　順昭,DF,オ　ジェソク,DF,三浦　弦太,DF,ファビオ,DF,藤春　廣輝,MF,井手口　陽介,MF,遠藤　保仁,MF,藤本　淳吾,MF,倉田　秋,FW,長沢　駿,FW,赤﨑　秀平,https://data.j-league.or.jp/SFMS02/?match_card_id=19173
19174,20170519,19:03,県立カシマサッカースタジアム,"10,838  人",晴,21.3,78,鹿島アントラーズ,石井　正忠,川崎フロンターレ,鬼木　達,GK,クォン　スンテ,DF,西　大伍,DF,昌子　源,DF,町田　浩樹,DF,山本　脩斗,MF,永木　亮太,MF,小笠原　満男,MF,レアンドロ,MF,中村　充孝,FW,鈴木　優磨,FW,金森　健志,GK,チョン　ソンリョン,DF,武岡　優斗,DF,谷口　彰悟,DF,エドゥアルド,DF,車屋　紳太郎,MF,エドゥアルド　ネット,MF,大島　僚太,MF,阿部　浩之,MF,中村　憲剛,MF,長谷川　竜也,FW,小林　悠,https://data.j-league.or.jp/SFMS02/?match_card_id=19174
19175,20170520,14:04,埼玉スタジアム２００２,"33,458  人",晴,27.7,44,浦和レッズ,ペトロヴィッチ,清水エスパルス,小林　伸二,GK,西川　周作,DF,宇賀神　友弥,DF,遠藤　航,DF,槙野　智章,MF,関根　貴大,MF,柏木　陽介,MF,阿部　勇樹,MF,駒井　善成,MF,武藤　雄樹,MF,李　忠成,FW,興梠　慎三,GK,六反　勇治,DF,鎌田　翔雅,DF,角田　誠,DF,二見　宏志,DF,松原　后,MF,六平　光成,MF,竹内　涼,MF,枝村　匠馬,MF,白崎　凌兵,MF,チアゴ　アウベス,FW,鄭　大世,https://data.j-league.or.jp/SFMS02/?match_card_id=19175
19176,20170520,14:03,日産スタジアム,"16,758  人",晴,28.5,45,横浜Ｆ・マリノス,エリク　モンバエルツ,ベガルタ仙台,渡邉　晋,GK,飯倉　大樹,DF,松原　健,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,金井　貢史,MF,喜田　拓也,MF,天野　純,MF,マルティノス,MF,前田　直輝,MF,齋藤　学,FW,伊藤　翔,GK,シュミット　ダニエル,DF,蜂須賀　孝治,DF,大岩　一貴,DF,平岡　康裕,DF,増嶋　竜也,MF,富田　晋伍,MF,三田　啓貴,MF,梁　勇基,MF,永戸　勝也,FW,奥埜　博亮,FW,石原　直樹,https://data.j-league.or.jp/SFMS02/?match_card_id=19176
19177,20170520,14:03,山梨中銀スタジアム,"8,653  人",晴,33.4,23,ヴァンフォーレ甲府,吉田　達磨,サンフレッチェ広島,森保　一,GK,岡　大生,DF,新里　亮,DF,畑尾　大翔,DF,エデル　リマ,MF,松橋　優,MF,小椋　祥平,MF,兵働　昭弘,MF,ドゥドゥ,MF,田中　佑昌,MF,阿部　翔平,FW,ウイルソン,GK,林　卓人,DF,塩谷　司,DF,野上　結貴,DF,水本　裕貴,MF,ミキッチ,MF,森﨑　和幸,MF,青山　敏弘,MF,柏　好文,MF,アンデルソン　ロペス,MF,柴﨑　晃誠,FW,皆川　佑介,https://data.j-league.or.jp/SFMS02/?match_card_id=19177
19178,20170520,14:03,デンカビッグスワンスタジアム,"19,253  人",晴,27.3,38,アルビレックス新潟,呂比須　ワグナー,北海道コンサドーレ札幌,四方田　修平,GK,大谷　幸輝,DF,川口　尚紀,DF,富澤　清太郎,DF,ソン　ジュフン,DF,堀米　悠斗,MF,ロメロ　フランク,MF,小泉　慶,MF,ホニ,MF,チアゴ　ガリャルド,MF,山崎　亮平,FW,鈴木　武蔵,GK,ク　ソンユン,DF,キム　ミンテ,DF,横山　知伸,DF,福森　晃斗,MF,早坂　良太,MF,荒野　拓馬,MF,宮澤　裕樹,MF,兵藤　慎剛,MF,菅　大輝,FW,金園　英学,FW,都倉　賢,https://data.j-league.or.jp/SFMS02/?match_card_id=19178
