,日付,キックオフ時刻,スタジアム,入場者数,天候,気温,湿度,H_team,H_監督,H_ポジション1,H_選手1,H_ポジション2,H_選手2,H_ポジション3,H_選手3,H_ポジション4,H_選手4,H_ポジション5,H_選手5,H_ポジション6,H_選手6,H_ポジション7,H_選手7,H_ポジション8,H_選手8,H_ポジション9,H_選手9,H_ポジション10,H_選手10,H_ポジション11,H_選手11,A_team,A_監督,A_ポジション1,A_選手1,A_ポジション2,A_選手2,A_ポジション3,A_選手3,A_ポジション4,A_選手4,A_ポジション5,A_選手5,A_ポジション6,A_選手6,A_ポジション7,A_選手7,A_ポジション8,A_選手8,A_ポジション9,A_選手9,A_ポジション10,A_選手10,A_ポジション11,A_選手11,url
19073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19073
19074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19074
19075,2017/02/25,12:35,日産スタジアム,"39,284  人",晴,10.2,45%,横浜Ｆ・マリノス,エリク　モンバエルツ,GK,飯倉　大樹,DF,松原　健,DF,中澤　佑二,DF,ミロシュ　デゲネク,DF,金井　貢史,MF,喜田　拓也,MF,天野　純,MF,マルティノス,MF,ダビド　バブンスキー,MF,齋藤　学,FW,富樫　敬真,浦和レッズ,ペトロヴィッチ,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,駒井　善成,MF,青木　拓矢,MF,阿部　勇樹,MF,宇賀神　友弥,MF,柏木　陽介,MF,興梠　慎三,FW,ラファエル　シルバ,https://data.j-league.or.jp/SFMS02/?match_card_id=19075
19076,2017/02/25,14:04,ユアテックスタジアム仙台,"17,230  人",曇,10.6,36%,ベガルタ仙台,渡邉　晋,GK,関　憲太郎,DF,菅井　直樹,DF,大岩　一貴,DF,平岡　康裕,DF,石川　直樹,MF,富田　晋伍,MF,三田　啓貴,MF,梁　勇基,MF,永戸　勝也,FW,奥埜　博亮,FW,石原　直樹,北海道コンサドーレ札幌,四方田　修平,GK,ク　ソンユン,DF,菊地　直哉,DF,横山　知伸,DF,福森　晃斗,MF,マセード,MF,キム　ミンテ,MF,深井　一希,MF,宮澤　裕樹,MF,石井　謙伍,FW,都倉　賢,FW,ジュリーニョ,https://data.j-league.or.jp/SFMS02/?match_card_id=19076
19077,2017/02/25,14:04,県立カシマサッカースタジアム,"28,240  人",晴,10.1,63%,鹿島アントラーズ,石井　正忠,GK,クォン　スンテ,DF,西　大伍,DF,植田　直通,DF,昌子　源,DF,山本　脩斗,MF,小笠原　満男,MF,レオ　シルバ,MF,遠藤　康,MF,土居　聖真,FW,金崎　夢生,FW,ペドロ　ジュニオール,ＦＣ東京,篠田　善之,GK,林　彰洋,DF,室屋　成,DF,森重　真人,DF,丸山　祐市,DF,太田　宏介,MF,橋本　拳人,MF,髙萩　洋次郎,MF,河野　広貴,MF,東　慶悟,MF,永井　謙佑,FW,大久保　嘉人,https://data.j-league.or.jp/SFMS02/?match_card_id=19077
19078,2017/02/25,14:04,ＩＡＩスタジアム日本平,"17,861  人",晴,15.0,40%,清水エスパルス,小林　伸二,GK,六反　勇治,DF,六平　光成,DF,犬飼　智也,DF,角田　誠,DF,松原　后,MF,河井　陽介,MF,フレイレ,MF,野津田　岳人,MF,白崎　凌兵,MF,金子　翔太,FW,鄭　大世,ヴィッセル神戸,ネルシーニョ,GK,キム　スンギュ,DF,高橋　峻希,DF,岩波　拓也,DF,渡部　博文,DF,橋本　和,MF,藤田　直之,MF,ニウトン,MF,大森　晃太郎,MF,渡邉　千真,FW,レアンドロ,FW,田中　順也,https://data.j-league.or.jp/SFMS02/?match_card_id=19078
19079,2017/02/25,14:04,エディオンスタジアム広島,"17,545  人",晴,11.2,45%,サンフレッチェ広島,森保　一,GK,廣永　遼太郎,DF,塩谷　司,DF,千葉　和彦,DF,水本　裕貴,MF,ミキッチ,MF,青山　敏弘,MF,稲垣　祥,MF,柏　好文,MF,森島　司,MF,フェリペ　シウバ,FW,工藤　壮人,アルビレックス新潟,三浦　文丈,GK,守田　達弥,DF,矢野　貴章,DF,富澤　清太郎,DF,大野　和成,DF,酒井　宣福,MF,原　輝綺,MF,小泉　慶,MF,加藤　大,MF,成岡　翔,FW,山崎　亮平,FW,ホニ,https://data.j-league.or.jp/SFMS02/?match_card_id=19079
19080,2017/02/25,14:05,ベストアメニティスタジアム,"14,355  人",晴,14.8,34%,サガン鳥栖,マッシモ　フィッカデンティ,GK,権田　修一,DF,藤田　優人,DF,キム　ミンヒョク,DF,谷口　博之,DF,吉田　豊,MF,小野　裕二,MF,高橋　義希,MF,原川　力,MF,鎌田　大地,FW,富山　貴光,FW,豊田　陽平,柏レイソル,下平　隆宏,GK,中村　航輔,DF,鎌田　次郎,DF,中谷　進之介,DF,中山　雄太,DF,輪湖　直樹,MF,伊東　純也,MF,小林　祐介,MF,大谷　秀和,MF,クリスティアーノ,FW,ハモン　ロペス,FW,ディエゴ　オリヴェイラ,https://data.j-league.or.jp/SFMS02/?match_card_id=19080
19081,2017/02/25,15:03,ヤンマースタジアム長居,"33,208  人",晴,9.7,41%,セレッソ大阪,尹　晶煥,GK,キム　ジンヒョン,DF,松田　陸,DF,丸橋　祐介,DF,マテイ　ヨニッチ,DF,山下　達也,MF,ソウザ,MF,関口　訓充,MF,山口　蛍,MF,水沼　宏太,FW,柿谷　曜一朗,FW,杉本　健勇,ジュビロ磐田,名波　浩,GK,カミンスキー,DF,大井　健太郎,DF,森下　俊,MF,ムサエフ,MF,太田　吉彰,MF,中村　俊輔,MF,宮崎　智彦,MF,アダイウトン,MF,山本　康裕,MF,川辺　駿,FW,川又　堅碁,https://data.j-league.or.jp/SFMS02/?match_card_id=19081
19082,2017/02/25,16:03,ＮＡＣＫ５スタジアム大宮,"11,962  人",晴,15.5,26%,大宮アルディージャ,渋谷　洋樹,GK,塩田　仁史,DF,奥井　諒,DF,菊地　光将,DF,河本　裕之,DF,大屋　翼,MF,大山　啓輔,MF,長谷川　アーリアジャスール,MF,茨田　陽生,MF,瀬川　祐輔,FW,江坂　任,FW,大前　元紀,川崎フロンターレ,鬼木　達,GK,チョン　ソンリョン,DF,田坂　祐介,DF,谷口　彰悟,DF,車屋　紳太郎,DF,登里　享平,MF,大島　僚太,MF,エドゥアルド　ネット,MF,阿部　浩之,MF,中村　憲剛,FW,家長　昭博,FW,小林　悠,https://data.j-league.or.jp/SFMS02/?match_card_id=19082
