,節,開催日,相手,スコア,HomeAway,会場,天候,指揮官,自チーム,年度,team_id
41,42,1205,東京Ｖ,,A,味スタ,,,ＳＣ相模原,2021,sagm
0,1,0228,千葉,1-1,A,フクアリ,晴,伊藤　彰,ヴァンフォーレ甲府,2021,kofu
1,2,0306,大宮,2-0,A,ＮＡＣＫ,晴,伊藤　彰,ヴァンフォーレ甲府,2021,kofu
2,3,0314,栃木,2-1,H,ＪＩＴス,晴,伊藤　彰,ヴァンフォーレ甲府,2021,kofu
3,4,0321,愛媛,1-0,A,ニンスタ,曇,伊藤　彰,ヴァンフォーレ甲府,2021,kofu
4,5,0327,町田,0-1,H,ＪＩＴス,晴,伊藤　彰,ヴァンフォーレ甲府,2021,kofu
5,6,0403,長崎,1-2,A,トラスタ,曇,伊藤　彰,ヴァンフォーレ甲府,2021,kofu
6,7,0410,北九州,1-1,H,ＪＩＴス,晴,伊藤　彰,ヴァンフォーレ甲府,2021,kofu
7,8,0417,松本,3-3,A,サンアル,雨,伊藤　彰,ヴァンフォーレ甲府,2021,kofu
8,9,0421,相模原,2-0,H,ＪＩＴス,晴,伊藤　彰,ヴァンフォーレ甲府,2021,kofu
9,10,0425,琉球,0-1,A,タピスタ,晴,伊藤　彰,ヴァンフォーレ甲府,2021,kofu
10,11,0501,金沢,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
11,12,0505,山形,,A,ＮＤスタ,,,ヴァンフォーレ甲府,2021,kofu
12,13,0509,東京Ｖ,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
13,14,0515,秋田,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
14,15,0523,水戸,,A,Ｋｓスタ,,,ヴァンフォーレ甲府,2021,kofu
15,16,0530,京都,,A,サンガＳ,,,ヴァンフォーレ甲府,2021,kofu
16,17,0605,新潟,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
17,18,0613,磐田,,A,ヤマハ,,,ヴァンフォーレ甲府,2021,kofu
18,19,0619,山口,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
19,20,0627,群馬,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
20,21,0703,岡山,,A,Ｃスタ,,,ヴァンフォーレ甲府,2021,kofu
21,22,0711,愛媛,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
22,23,0717,栃木,,A,栃木グ,,,ヴァンフォーレ甲府,2021,kofu
23,24,0809,磐田,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
24,25,0814,相模原,,A,ギオンス,,,ヴァンフォーレ甲府,2021,kofu
25,26,0821,千葉,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
26,27,0829,町田,,A,Ｇスタ,,,ヴァンフォーレ甲府,2021,kofu
27,28,0904,京都,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
28,29,0912,群馬,,A,正田スタ,,,ヴァンフォーレ甲府,2021,kofu
29,30,0918,大宮,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
30,31,0925,新潟,,A,デンカＳ,,,ヴァンフォーレ甲府,2021,kofu
31,32,1002,山形,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
32,33,1009,琉球,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
33,34,1017,金沢,,A,石川西部,,,ヴァンフォーレ甲府,2021,kofu
34,35,1023,長崎,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
35,36,1030,東京Ｖ,,A,味スタ,,,ヴァンフォーレ甲府,2021,kofu
36,37,1103,岡山,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
37,38,1107,北九州,,A,ミクスタ,,,ヴァンフォーレ甲府,2021,kofu
38,39,1114,松本,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
39,40,1121,秋田,,A,ソユスタ,,,ヴァンフォーレ甲府,2021,kofu
40,41,1128,山口,,A,みらスタ,,,ヴァンフォーレ甲府,2021,kofu
41,42,1205,水戸,,H,ＪＩＴス,,,ヴァンフォーレ甲府,2021,kofu
0,1,0228,山口,0-0,A,みらスタ,晴時々曇,柴田　峡,松本山雅ＦＣ,2021,mats
1,2,0307,京都,0-0,A,サンガＳ,曇,柴田　峡,松本山雅ＦＣ,2021,mats
2,3,0314,山形,1-1,H,サンアル,晴,柴田　峡,松本山雅ＦＣ,2021,mats
3,4,0321,千葉,0-1,H,サンアル,雨,柴田　峡,松本山雅ＦＣ,2021,mats
4,5,0328,水戸,0-3,A,Ｋｓスタ,雨のち曇,柴田　峡,松本山雅ＦＣ,2021,mats
5,6,0404,秋田,3-1,H,サンアル,曇のち雨,柴田　峡,松本山雅ＦＣ,2021,mats
6,7,0410,磐田,1-4,A,ヤマハ,晴,柴田　峡,松本山雅ＦＣ,2021,mats
7,8,0417,甲府,3-3,H,サンアル,雨,柴田　峡,松本山雅ＦＣ,2021,mats
8,9,0421,愛媛,1-3,A,ニンスタ,晴,柴田　峡,松本山雅ＦＣ,2021,mats
9,10,0425,群馬,1-0,H,サンアル,曇のち晴,柴田　峡,松本山雅ＦＣ,2021,mats
10,11,0501,北九州,,A,ミクスタ,,,松本山雅ＦＣ,2021,mats
11,12,0505,相模原,,H,サンアル,,,松本山雅ＦＣ,2021,mats
12,13,0509,新潟,,A,デンカＳ,,,松本山雅ＦＣ,2021,mats
13,14,0515,金沢,,H,サンアル,,,松本山雅ＦＣ,2021,mats
14,15,0523,栃木,,A,カンセキ,,,松本山雅ＦＣ,2021,mats
15,16,0530,岡山,,H,サンアル,,,松本山雅ＦＣ,2021,mats
16,17,0605,町田,,H,サンアル,,,松本山雅ＦＣ,2021,mats
17,18,0613,長崎,,A,トラスタ,,,松本山雅ＦＣ,2021,mats
18,19,0619,大宮,,H,サンアル,,,松本山雅ＦＣ,2021,mats
19,20,0626,琉球,,A,タピスタ,,,松本山雅ＦＣ,2021,mats
20,21,0703,東京Ｖ,,H,サンアル,,,松本山雅ＦＣ,2021,mats
21,22,0711,山形,,A,ＮＤスタ,,,松本山雅ＦＣ,2021,mats
22,23,0717,水戸,,H,サンアル,,,松本山雅ＦＣ,2021,mats
23,24,0809,秋田,,A,ソユスタ,,,松本山雅ＦＣ,2021,mats
24,25,0814,京都,,H,サンアル,,,松本山雅ＦＣ,2021,mats
25,26,0822,愛媛,,H,サンアル,,,松本山雅ＦＣ,2021,mats
26,27,0829,大宮,,A,ＮＡＣＫ,,,松本山雅ＦＣ,2021,mats
27,28,0904,磐田,,H,サンアル,,,松本山雅ＦＣ,2021,mats
28,29,0911,東京Ｖ,,A,味スタ,,,松本山雅ＦＣ,2021,mats
29,30,0919,金沢,,A,石川西部,,,松本山雅ＦＣ,2021,mats
30,31,0926,北九州,,H,サンアル,,,松本山雅ＦＣ,2021,mats
31,32,1003,千葉,,A,フクアリ,,,松本山雅ＦＣ,2021,mats
32,33,1010,栃木,,H,サンアル,,,松本山雅ＦＣ,2021,mats
33,34,1017,岡山,,A,Ｃスタ,,,松本山雅ＦＣ,2021,mats
34,35,1024,琉球,,H,サンアル,,,松本山雅ＦＣ,2021,mats
35,36,1030,群馬,,A,正田スタ,,,松本山雅ＦＣ,2021,mats
36,37,1103,町田,,A,Ｇスタ,,,松本山雅ＦＣ,2021,mats
37,38,1107,新潟,,H,サンアル,,,松本山雅ＦＣ,2021,mats
38,39,1114,甲府,,A,ＪＩＴス,,,松本山雅ＦＣ,2021,mats
39,40,1121,山口,,H,サンアル,,,松本山雅ＦＣ,2021,mats
40,41,1128,相模原,,A,ギオンス,,,松本山雅ＦＣ,2021,mats
41,42,1205,長崎,,H,サンアル,,,松本山雅ＦＣ,2021,mats
0,1,0227,北九州,4-1,A,ミクスタ,曇,アルベルト,アルビレックス新潟,2021,niig
1,2,0306,長崎,1-0,H,デンカＳ,曇,アルベルト,アルビレックス新潟,2021,niig
2,3,0313,山口,2-1,A,みらスタ,曇時々晴,アルベルト,アルビレックス新潟,2021,niig
3,4,0320,群馬,3-1,H,デンカＳ,晴のち曇,アルベルト,アルビレックス新潟,2021,niig
4,5,0327,東京Ｖ,7-0,H,デンカＳ,曇,アルベルト,アルビレックス新潟,2021,niig
5,6,0404,相模原,2-2,A,ギオンス,曇,アルベルト,アルビレックス新潟,2021,niig
6,7,0411,山形,2-0,A,ＮＤスタ,晴,アルベルト,アルビレックス新潟,2021,niig
7,8,0417,金沢,1-0,H,デンカＳ,雨,アルベルト,アルビレックス新潟,2021,niig
8,9,0421,栃木,2-2,A,カンセキ,晴,アルベルト,アルビレックス新潟,2021,niig
9,10,0424,愛媛,2-0,A,ニンスタ,晴,アルベルト,アルビレックス新潟,2021,niig
10,11,0501,千葉,,H,デンカＳ,,,アルビレックス新潟,2021,niig
11,12,0505,大宮,,A,ＮＡＣＫ,,,アルビレックス新潟,2021,niig
12,13,0509,松本,,H,デンカＳ,,,アルビレックス新潟,2021,niig
13,14,0516,町田,,A,Ｇスタ,,,アルビレックス新潟,2021,niig
14,15,0523,京都,,H,デンカＳ,,,アルビレックス新潟,2021,niig
15,16,0530,琉球,,H,デンカＳ,,,アルビレックス新潟,2021,niig
16,17,0605,甲府,,A,ＪＩＴス,,,アルビレックス新潟,2021,niig
17,18,0613,岡山,,H,デンカＳ,,,アルビレックス新潟,2021,niig
18,19,0621,秋田,,A,ソユスタ,,,アルビレックス新潟,2021,niig
19,20,0626,水戸,,H,デンカＳ,,,アルビレックス新潟,2021,niig
20,21,0703,磐田,,A,エコパ,,,アルビレックス新潟,2021,niig
21,22,0711,栃木,,H,デンカＳ,,,アルビレックス新潟,2021,niig
22,23,0717,京都,,A,サンガＳ,,,アルビレックス新潟,2021,niig
23,24,0809,大宮,,H,デンカＳ,,,アルビレックス新潟,2021,niig
24,25,0814,千葉,,A,フクアリ,,,アルビレックス新潟,2021,niig
25,26,0822,相模原,,H,デンカＳ,,,アルビレックス新潟,2021,niig
26,27,0828,水戸,,A,Ｋｓスタ,,,アルビレックス新潟,2021,niig
27,28,0904,北九州,,H,デンカＳ,,,アルビレックス新潟,2021,niig
28,29,0911,山形,,H,デンカＳ,,,アルビレックス新潟,2021,niig
29,30,0919,東京Ｖ,,A,味スタ,,,アルビレックス新潟,2021,niig
30,31,0925,甲府,,H,デンカＳ,,,アルビレックス新潟,2021,niig
31,32,1003,金沢,,A,石川西部,,,アルビレックス新潟,2021,niig
32,33,1009,山口,,H,デンカＳ,,,アルビレックス新潟,2021,niig
33,34,1016,長崎,,A,トラスタ,,,アルビレックス新潟,2021,niig
34,35,1023,秋田,,H,デンカＳ,,,アルビレックス新潟,2021,niig
35,36,1031,岡山,,A,Ｃスタ,,,アルビレックス新潟,2021,niig
36,37,1103,磐田,,H,デンカＳ,,,アルビレックス新潟,2021,niig
37,38,1107,松本,,A,サンアル,,,アルビレックス新潟,2021,niig
38,39,1113,愛媛,,H,デンカＳ,,,アルビレックス新潟,2021,niig
39,40,1121,群馬,,A,正田スタ,,,アルビレックス新潟,2021,niig
40,41,1128,琉球,,A,タピスタ,,,アルビレックス新潟,2021,niig
41,42,1205,町田,,H,デンカＳ,,,アルビレックス新潟,2021,niig
0,1,0227,長崎,1-2,A,トラスタ,曇,柳下　正明,ツエーゲン金沢,2021,kana
1,2,0307,岡山,1-0,A,Ｃスタ,曇,柳下　正明,ツエーゲン金沢,2021,kana
2,3,0314,北九州,1-1,H,石川西部,晴,柳下　正明,ツエーゲン金沢,2021,kana
3,4,0320,東京Ｖ,4-2,A,味スタ,曇,柳下　正明,ツエーゲン金沢,2021,kana
4,5,0328,相模原,2-1,H,石川西部,雨,柳下　正明,ツエーゲン金沢,2021,kana
5,6,0404,町田,1-0,A,Ｇスタ,曇,柳下　正明,ツエーゲン金沢,2021,kana
6,7,0411,千葉,0-1,H,石川西部,晴,柳下　正明,ツエーゲン金沢,2021,kana
7,8,0417,新潟,0-1,A,デンカＳ,雨,柳下　正明,ツエーゲン金沢,2021,kana
8,9,0421,秋田,2-1,H,石川西部,晴,柳下　正明,ツエーゲン金沢,2021,kana
9,10,0425,栃木,1-1,H,石川西部,晴,柳下　正明,ツエーゲン金沢,2021,kana
10,11,0501,甲府,,A,ＪＩＴス,,,ツエーゲン金沢,2021,kana
11,12,0505,水戸,,H,石川西部,,,ツエーゲン金沢,2021,kana
12,13,0509,山口,,H,石川西部,,,ツエーゲン金沢,2021,kana
13,14,0515,松本,,A,サンアル,,,ツエーゲン金沢,2021,kana
14,15,0523,群馬,,H,石川西部,,,ツエーゲン金沢,2021,kana
15,16,0529,磐田,,A,ヤマハ,,,ツエーゲン金沢,2021,kana
16,17,0606,大宮,,H,石川西部,,,ツエーゲン金沢,2021,kana
17,18,0613,愛媛,,A,ニンスタ,,,ツエーゲン金沢,2021,kana
18,19,0619,京都,,H,石川西部,,,ツエーゲン金沢,2021,kana
19,20,0626,山形,,A,ＮＤスタ,,,ツエーゲン金沢,2021,kana
20,21,0703,琉球,,H,石川西部,,,ツエーゲン金沢,2021,kana
21,22,0711,岡山,,H,石川西部,,,ツエーゲン金沢,2021,kana
22,23,0717,千葉,,A,フクアリ,,,ツエーゲン金沢,2021,kana
23,24,0809,長崎,,H,石川西部,,,ツエーゲン金沢,2021,kana
24,25,0814,山口,,A,みらスタ,,,ツエーゲン金沢,2021,kana
25,26,0821,磐田,,H,石川西部,,,ツエーゲン金沢,2021,kana
26,27,0829,群馬,,A,正田スタ,,,ツエーゲン金沢,2021,kana
27,28,0904,町田,,H,石川西部,,,ツエーゲン金沢,2021,kana
28,29,0911,北九州,,A,ミクスタ,,,ツエーゲン金沢,2021,kana
29,30,0919,松本,,H,石川西部,,,ツエーゲン金沢,2021,kana
30,31,0926,水戸,,A,Ｋｓスタ,,,ツエーゲン金沢,2021,kana
31,32,1003,新潟,,H,石川西部,,,ツエーゲン金沢,2021,kana
32,33,1009,大宮,,A,ＮＡＣＫ,,,ツエーゲン金沢,2021,kana
33,34,1017,甲府,,H,石川西部,,,ツエーゲン金沢,2021,kana
34,35,1024,相模原,,A,ギオンス,,,ツエーゲン金沢,2021,kana
35,36,1030,秋田,,A,ソユスタ,,,ツエーゲン金沢,2021,kana
36,37,1103,愛媛,,H,石川西部,,,ツエーゲン金沢,2021,kana
37,38,1107,琉球,,A,タピスタ,,,ツエーゲン金沢,2021,kana
38,39,1114,東京Ｖ,,H,石川西部,,,ツエーゲン金沢,2021,kana
39,40,1121,栃木,,A,栃木グ,,,ツエーゲン金沢,2021,kana
40,41,1128,山形,,H,石川西部,,,ツエーゲン金沢,2021,kana
41,42,1205,京都,,A,サンガＳ,,,ツエーゲン金沢,2021,kana
0,1,0228,琉球,0-1,A,タピスタ,曇時々雨,鈴木　政一,ジュビロ磐田,2021,iwat
1,2,0306,町田,1-3,H,ヤマハ,晴,鈴木　政一,ジュビロ磐田,2021,iwat
2,3,0313,水戸,3-2,H,ヤマハ,雨のち晴,鈴木　政一,ジュビロ磐田,2021,iwat
3,4,0321,京都,4-3,A,サンガＳ,雨,鈴木　政一,ジュビロ磐田,2021,iwat
4,5,0327,山口,1-2,H,エコパ,晴,鈴木　政一,ジュビロ磐田,2021,iwat
5,6,0404,岡山,1-0,A,Ｃスタ,雨,鈴木　政一,ジュビロ磐田,2021,iwat
6,7,0410,松本,4-1,H,ヤマハ,晴,鈴木　政一,ジュビロ磐田,2021,iwat
7,8,0418,相模原,2-1,A,ギオンス,晴,鈴木　政一,ジュビロ磐田,2021,iwat
8,9,0421,大宮,3-2,H,ヤマハ,晴,鈴木　政一,ジュビロ磐田,2021,iwat
9,10,0425,山形,0-1,A,ＮＤスタ,曇,鈴木　政一,ジュビロ磐田,2021,iwat
10,11,0501,栃木,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
11,12,0505,愛媛,,A,ニンスタ,,,ジュビロ磐田,2021,iwat
12,13,0509,秋田,,A,ソユスタ,,,ジュビロ磐田,2021,iwat
13,14,0515,群馬,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
14,15,0523,東京Ｖ,,A,味スタ,,,ジュビロ磐田,2021,iwat
15,16,0529,金沢,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
16,17,0605,北九州,,A,ミクスタ,,,ジュビロ磐田,2021,iwat
17,18,0613,甲府,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
18,19,0619,千葉,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
19,20,0626,長崎,,A,トラスタ,,,ジュビロ磐田,2021,iwat
20,21,0703,新潟,,H,エコパ,,,ジュビロ磐田,2021,iwat
21,22,0711,山口,,A,みらスタ,,,ジュビロ磐田,2021,iwat
22,23,0717,山形,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
23,24,0809,甲府,,A,ＪＩＴス,,,ジュビロ磐田,2021,iwat
24,25,0814,東京Ｖ,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
25,26,0821,金沢,,A,石川西部,,,ジュビロ磐田,2021,iwat
26,27,0828,相模原,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
27,28,0904,松本,,A,サンアル,,,ジュビロ磐田,2021,iwat
28,29,0911,千葉,,A,フクアリ,,,ジュビロ磐田,2021,iwat
29,30,0918,岡山,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
30,31,0925,琉球,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
31,32,1003,町田,,A,Ｇスタ,,,ジュビロ磐田,2021,iwat
32,33,1009,北九州,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
33,34,1017,栃木,,A,カンセキ,,,ジュビロ磐田,2021,iwat
34,35,1023,愛媛,,H,エコパ,,,ジュビロ磐田,2021,iwat
35,36,1030,大宮,,A,ＮＡＣＫ,,,ジュビロ磐田,2021,iwat
36,37,1103,新潟,,A,デンカＳ,,,ジュビロ磐田,2021,iwat
37,38,1107,京都,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
38,39,1114,水戸,,A,Ｋｓスタ,,,ジュビロ磐田,2021,iwat
39,40,1120,長崎,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
40,41,1128,群馬,,A,正田スタ,,,ジュビロ磐田,2021,iwat
41,42,1205,秋田,,H,ヤマハ,,,ジュビロ磐田,2021,iwat
0,1,0228,相模原,2-0,A,ギオンス,晴,チョウ　キジェ,京都サンガF.C.,2021,kyot
1,2,0307,松本,0-0,H,サンガＳ,曇,チョウ　キジェ,京都サンガF.C.,2021,kyot
2,4,0321,磐田,3-4,H,サンガＳ,雨,チョウ　キジェ,京都サンガF.C.,2021,kyot
3,3,0324,大宮,2-1,A,ＮＡＣＫ,晴,チョウ　キジェ,京都サンガF.C.,2021,kyot
4,5,0328,秋田,0-1,A,ソユスタ,曇のち雨,チョウ　キジェ,京都サンガF.C.,2021,kyot
5,6,0404,千葉,2-1,H,サンガＳ,雨,チョウ　キジェ,京都サンガF.C.,2021,kyot
6,7,0411,町田,1-0,A,Ｇスタ,晴,チョウ　キジェ,京都サンガF.C.,2021,kyot
7,8,0417,北九州,6-1,H,サンガＳ,雨,チョウ　キジェ,京都サンガF.C.,2021,kyot
8,9,0421,東京Ｖ,2-0,A,味フィ西,晴,チョウ　キジェ,京都サンガF.C.,2021,kyot
9,10,0425,山口,2-0,A,みらスタ,晴,チョウ　キジェ,京都サンガF.C.,2021,kyot
10,11,0501,愛媛,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
11,12,0505,琉球,,A,タピスタ,,,京都サンガF.C.,2021,kyot
12,13,0509,山形,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
13,14,0516,水戸,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
14,15,0523,新潟,,A,デンカＳ,,,京都サンガF.C.,2021,kyot
15,16,0530,甲府,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
16,17,0606,栃木,,A,カンセキ,,,京都サンガF.C.,2021,kyot
17,18,0613,群馬,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
18,19,0619,金沢,,A,石川西部,,,京都サンガF.C.,2021,kyot
19,20,0626,岡山,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
20,21,0703,長崎,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
21,22,0711,北九州,,A,ミクスタ,,,京都サンガF.C.,2021,kyot
22,23,0717,新潟,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
23,24,0809,町田,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
24,25,0814,松本,,A,サンアル,,,京都サンガF.C.,2021,kyot
25,26,0822,水戸,,A,Ｋｓスタ,,,京都サンガF.C.,2021,kyot
26,27,0828,東京Ｖ,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
27,28,0904,甲府,,A,ＪＩＴス,,,京都サンガF.C.,2021,kyot
28,29,0911,琉球,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
29,30,0918,山形,,A,ＮＤスタ,,,京都サンガF.C.,2021,kyot
30,31,0925,栃木,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
31,32,1002,長崎,,A,トラスタ,,,京都サンガF.C.,2021,kyot
32,33,1010,相模原,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
33,34,1017,群馬,,A,正田スタ,,,京都サンガF.C.,2021,kyot
34,35,1024,山口,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
35,36,1030,愛媛,,A,ニンスタ,,,京都サンガF.C.,2021,kyot
36,37,1103,大宮,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
37,38,1107,磐田,,A,ヤマハ,,,京都サンガF.C.,2021,kyot
38,39,1114,秋田,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
39,40,1120,岡山,,A,Ｃスタ,,,京都サンガF.C.,2021,kyot
40,41,1128,千葉,,A,フクアリ,,,京都サンガF.C.,2021,kyot
41,42,1205,金沢,,H,サンガＳ,,,京都サンガF.C.,2021,kyot
0,1,0228,栃木,2-0,A,カンセキ,晴,有馬　賢二,ファジアーノ岡山,2021,okay
1,2,0307,金沢,0-1,H,Ｃスタ,曇,有馬　賢二,ファジアーノ岡山,2021,okay
2,3,0314,相模原,0-0,H,Ｃスタ,曇,有馬　賢二,ファジアーノ岡山,2021,okay
3,4,0321,山口,0-0,A,みらスタ,曇,有馬　賢二,ファジアーノ岡山,2021,okay
4,5,0328,山形,1-0,A,ＮＤスタ,曇のち雨,有馬　賢二,ファジアーノ岡山,2021,okay
5,6,0404,磐田,0-1,H,Ｃスタ,雨,有馬　賢二,ファジアーノ岡山,2021,okay
6,7,0411,愛媛,2-2,A,ニンスタ,晴,有馬　賢二,ファジアーノ岡山,2021,okay
7,8,0417,水戸,1-2,H,Ｃスタ,曇,有馬　賢二,ファジアーノ岡山,2021,okay
8,9,0421,群馬,0-1,A,正田スタ,晴,有馬　賢二,ファジアーノ岡山,2021,okay
9,10,0425,北九州,1-0,H,Ｃスタ,晴,有馬　賢二,ファジアーノ岡山,2021,okay
10,11,0501,秋田,,A,ソユスタ,,,ファジアーノ岡山,2021,okay
11,12,0505,町田,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
12,13,0509,千葉,,A,フクアリ,,,ファジアーノ岡山,2021,okay
13,14,0516,大宮,,A,ＮＡＣＫ,,,ファジアーノ岡山,2021,okay
14,15,0523,長崎,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
15,16,0530,松本,,A,サンアル,,,ファジアーノ岡山,2021,okay
16,17,0605,東京Ｖ,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
17,18,0613,新潟,,A,デンカＳ,,,ファジアーノ岡山,2021,okay
18,19,0619,琉球,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
19,20,0626,京都,,A,サンガＳ,,,ファジアーノ岡山,2021,okay
20,21,0703,甲府,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
21,22,0711,金沢,,A,石川西部,,,ファジアーノ岡山,2021,okay
22,23,0718,群馬,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
23,24,0809,山口,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
24,25,0814,町田,,A,Ｇスタ,,,ファジアーノ岡山,2021,okay
25,26,0821,大宮,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
26,27,0828,北九州,,A,ミクスタ,,,ファジアーノ岡山,2021,okay
27,28,0905,愛媛,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
28,29,0911,栃木,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
29,30,0918,磐田,,A,ヤマハ,,,ファジアーノ岡山,2021,okay
30,31,0926,秋田,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
31,32,1002,琉球,,A,タピスタ,,,ファジアーノ岡山,2021,okay
32,33,1009,東京Ｖ,,A,味スタ,,,ファジアーノ岡山,2021,okay
33,34,1017,松本,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
34,35,1024,水戸,,A,Ｋｓスタ,,,ファジアーノ岡山,2021,okay
35,36,1031,新潟,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
36,37,1103,甲府,,A,ＪＩＴス,,,ファジアーノ岡山,2021,okay
37,38,1107,山形,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
38,39,1114,相模原,,A,ギオンス,,,ファジアーノ岡山,2021,okay
39,40,1120,京都,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
40,41,1128,長崎,,A,トラスタ,,,ファジアーノ岡山,2021,okay
41,42,1205,千葉,,H,Ｃスタ,,,ファジアーノ岡山,2021,okay
0,1,0228,松本,0-0,H,みらスタ,晴時々曇,渡邉　晋,レノファ山口ＦＣ,2021,r-ya
1,2,0306,琉球,1-2,A,タピスタ,曇のち雨,渡邉　晋,レノファ山口ＦＣ,2021,r-ya
2,3,0313,新潟,1-2,H,みらスタ,曇時々晴,渡邉　晋,レノファ山口ＦＣ,2021,r-ya
3,4,0321,岡山,0-0,H,みらスタ,曇,渡邉　晋,レノファ山口ＦＣ,2021,r-ya
4,5,0327,磐田,2-1,A,エコパ,晴,渡邉　晋,レノファ山口ＦＣ,2021,r-ya
5,6,0404,栃木,0-1,H,みらスタ,曇,渡邉　晋,レノファ山口ＦＣ,2021,r-ya
6,7,0410,東京Ｖ,1-3,A,味スタ,晴,渡邉　晋,レノファ山口ＦＣ,2021,r-ya
7,8,0417,群馬,1-0,H,みらスタ,曇時々晴,渡邉　晋,レノファ山口ＦＣ,2021,r-ya
8,9,0421,北九州,0-0,A,ミクスタ,晴,渡邉　晋,レノファ山口ＦＣ,2021,r-ya
9,10,0425,京都,0-2,H,みらスタ,晴,渡邉　晋,レノファ山口ＦＣ,2021,r-ya
10,11,0502,町田,,A,Ｇスタ,,,レノファ山口ＦＣ,2021,r-ya
11,12,0505,千葉,,H,みらスタ,,,レノファ山口ＦＣ,2021,r-ya
12,13,0509,金沢,,A,石川西部,,,レノファ山口ＦＣ,2021,r-ya
13,14,0515,相模原,,H,みらスタ,,,レノファ山口ＦＣ,2021,r-ya
14,15,0519,秋田,,A,ソユスタ,,,レノファ山口ＦＣ,2021,r-ya
15,16,0529,長崎,,A,トラスタ,,,レノファ山口ＦＣ,2021,r-ya
16,17,0605,愛媛,,H,みらスタ,,,レノファ山口ＦＣ,2021,r-ya
17,18,0613,山形,,A,ＮＤスタ,,,レノファ山口ＦＣ,2021,r-ya
18,19,0619,甲府,,A,ＪＩＴス,,,レノファ山口ＦＣ,2021,r-ya
19,20,0627,大宮,,H,みらスタ,,,レノファ山口ＦＣ,2021,r-ya
20,21,0703,水戸,,A,Ｋｓスタ,,,レノファ山口ＦＣ,2021,r-ya
21,22,0711,磐田,,H,みらスタ,,,レノファ山口ＦＣ,2021,r-ya
22,23,0717,秋田,,H,みらスタ,,,レノファ山口ＦＣ,2021,r-ya
