ポジション1,選手1,チーム1,監督1,ポジション2,選手2,チーム2,監督2,日付,試合情報
MF,宇賀神　友弥,浦和レッズ,ペトロヴィッチ,MF,宇賀神　友弥,ベガルタ仙台,手倉森　誠,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
MF,小島　秀仁,浦和レッズ,ペトロヴィッチ,MF,小島　秀仁,ベガルタ仙台,手倉森　誠,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
MF,阿部　勇樹,浦和レッズ,ペトロヴィッチ,MF,阿部　勇樹,ベガルタ仙台,手倉森　誠,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
MF,梅崎　司,浦和レッズ,ペトロヴィッチ,MF,梅崎　司,ベガルタ仙台,手倉森　誠,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
MF,柏木　陽介,浦和レッズ,ペトロヴィッチ,MF,柏木　陽介,ベガルタ仙台,手倉森　誠,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
MF,マルシオ　リシャルデス,浦和レッズ,ペトロヴィッチ,MF,マルシオ　リシャルデス,ベガルタ仙台,手倉森　誠,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
FW,原口　元気,浦和レッズ,ペトロヴィッチ,FW,原口　元気,ベガルタ仙台,手倉森　誠,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
GK,西部　洋平,川崎フロンターレ,風間　八宏,GK,西部　洋平,横浜Ｆ・マリノス,樋口　靖洋,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
DF,田中　裕介,川崎フロンターレ,風間　八宏,DF,田中　裕介,横浜Ｆ・マリノス,樋口　靖洋,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
DF,實藤　友紀,川崎フロンターレ,風間　八宏,DF,實藤　友紀,横浜Ｆ・マリノス,樋口　靖洋,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
DF,井川　祐輔,川崎フロンターレ,風間　八宏,DF,井川　祐輔,横浜Ｆ・マリノス,樋口　靖洋,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
DF,福森　晃斗,川崎フロンターレ,風間　八宏,DF,福森　晃斗,横浜Ｆ・マリノス,樋口　靖洋,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
MF,稲本　潤一,川崎フロンターレ,風間　八宏,MF,稲本　潤一,横浜Ｆ・マリノス,樋口　靖洋,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
MF,中村　憲剛,川崎フロンターレ,風間　八宏,MF,中村　憲剛,横浜Ｆ・マリノス,樋口　靖洋,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
MF,楠神　順平,川崎フロンターレ,風間　八宏,MF,楠神　順平,横浜Ｆ・マリノス,樋口　靖洋,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
FW,田坂　祐介,川崎フロンターレ,風間　八宏,FW,田坂　祐介,横浜Ｆ・マリノス,樋口　靖洋,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
FW,樋口　寛規,湘南ベルマーレ,曺　貴裁,FW,樋口　寛規,ジェフユナイテッド千葉,関塚　隆,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
FW,ウェリントン,湘南ベルマーレ,曺　貴裁,FW,ウェリントン,ジェフユナイテッド千葉,関塚　隆,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
FW,菊池　大介,湘南ベルマーレ,曺　貴裁,FW,菊池　大介,ジェフユナイテッド千葉,関塚　隆,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
GK,オ　スンフン,京都サンガF.C.,川勝　良一,GK,オ　スンフン,水戸ホーリーホック,柱谷　哲二,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
DF,石櫃　洋祐,京都サンガF.C.,川勝　良一,DF,石櫃　洋祐,水戸ホーリーホック,柱谷　哲二,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
DF,バヤリッツァ,京都サンガF.C.,川勝　良一,DF,バヤリッツァ,水戸ホーリーホック,柱谷　哲二,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
DF,酒井　隆介,京都サンガF.C.,川勝　良一,DF,酒井　隆介,水戸ホーリーホック,柱谷　哲二,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
DF,駒井　善成,京都サンガF.C.,川勝　良一,DF,駒井　善成,水戸ホーリーホック,柱谷　哲二,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
MF,田中　英雄,京都サンガF.C.,川勝　良一,MF,田中　英雄,水戸ホーリーホック,柱谷　哲二,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
MF,田森　大己,京都サンガF.C.,川勝　良一,MF,田森　大己,水戸ホーリーホック,柱谷　哲二,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
GK,権田　修一,ＦＣ東京,ランコ　ポポヴィッチ,GK,権田　修一,大分トリニータ,田坂　和昭,2013/08/03,"２０１３Ｊリーグ　ディビジョン１
								 第１９節第１日"
DF,徳永　悠平,ＦＣ東京,ランコ　ポポヴィッチ,DF,徳永　悠平,大分トリニータ,田坂　和昭,2013/08/03,"２０１３Ｊリーグ　ディビジョン１
								 第１９節第１日"
