ポジション1,選手1,チーム1,監督1,ポジション2,選手2,チーム2,監督2,日付,試合情報
DF,ファビオ,横浜Ｆ・マリノス,樋口　靖洋,DF,ファビオ,柏レイソル,ネルシーニョ,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
DF,ドゥトラ,横浜Ｆ・マリノス,樋口　靖洋,DF,ドゥトラ,柏レイソル,ネルシーニョ,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
MF,中町　公祐,横浜Ｆ・マリノス,樋口　靖洋,MF,中町　公祐,柏レイソル,ネルシーニョ,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
MF,富澤　清太郎,横浜Ｆ・マリノス,樋口　靖洋,MF,富澤　清太郎,柏レイソル,ネルシーニョ,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
MF,兵藤　慎剛,横浜Ｆ・マリノス,樋口　靖洋,MF,兵藤　慎剛,柏レイソル,ネルシーニョ,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
MF,ダニルソン,名古屋グランパス,ストイコビッチ,MF,ダニルソン,鹿島アントラーズ,トニーニョ　セレーゾ,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
MF,小川　佳純,名古屋グランパス,ストイコビッチ,MF,小川　佳純,鹿島アントラーズ,トニーニョ　セレーゾ,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
FW,玉田　圭司,名古屋グランパス,ストイコビッチ,FW,玉田　圭司,鹿島アントラーズ,トニーニョ　セレーゾ,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
FW,ケネディ,名古屋グランパス,ストイコビッチ,FW,ケネディ,鹿島アントラーズ,トニーニョ　セレーゾ,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
GK,加藤　順大,浦和レッズ,ペトロヴィッチ,GK,加藤　順大,サンフレッチェ広島,森保　一,2013/08/03,"２０１３Ｊリーグ　ディビジョン１
								 第１９節第１日"
DF,森脇　良太,浦和レッズ,ペトロヴィッチ,DF,森脇　良太,サンフレッチェ広島,森保　一,2013/08/03,"２０１３Ｊリーグ　ディビジョン１
								 第１９節第１日"
DF,那須　大亮,浦和レッズ,ペトロヴィッチ,DF,那須　大亮,サンフレッチェ広島,森保　一,2013/08/03,"２０１３Ｊリーグ　ディビジョン１
								 第１９節第１日"
DF,槙野　智章,浦和レッズ,ペトロヴィッチ,DF,槙野　智章,サンフレッチェ広島,森保　一,2013/08/03,"２０１３Ｊリーグ　ディビジョン１
								 第１９節第１日"
FW,豊田　陽平,サガン鳥栖,尹　晶煥,FW,豊田　陽平,大分トリニータ,田坂　和昭,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
GK,櫛引　政敏,清水エスパルス,アフシン　ゴトビ,GK,櫛引　政敏,ＦＣ東京,ランコ　ポポヴィッチ,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
DF,平岡　康裕,清水エスパルス,アフシン　ゴトビ,DF,平岡　康裕,ＦＣ東京,ランコ　ポポヴィッチ,2013/07/31,"２０１３Ｊリーグ　ディビジョン１
								 第１８節第１日"
