ポジション,選手,監督,日付,気温,湿度,主審,試合情報,チーム名
MF,越智　亮介,大石　篤人,2016/05/01,27.4,32%,淺田　武士,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",藤枝ＭＹＦＣ
MF,大迫　希,大石　篤人,2016/05/01,27.4,32%,淺田　武士,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",藤枝ＭＹＦＣ
MF,枝本　雄一郎,大石　篤人,2016/05/01,27.4,32%,淺田　武士,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",藤枝ＭＹＦＣ
FW,三好　洋央,大石　篤人,2016/05/01,27.4,32%,淺田　武士,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",藤枝ＭＹＦＣ
FW,遠藤　敬佑,大石　篤人,2016/05/01,27.4,32%,淺田　武士,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",藤枝ＭＹＦＣ
GK,山岡　哲也,浅野　哲也,2016/05/01,25.6,58%,長谷　拓,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",鹿児島ユナイテッドＦＣ
DF,冨成　慎司,浅野　哲也,2016/05/01,25.6,58%,長谷　拓,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",鹿児島ユナイテッドＦＣ
DF,田中　秀人,浅野　哲也,2016/05/01,25.6,58%,長谷　拓,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",鹿児島ユナイテッドＦＣ
DF,寺田　匡史,浅野　哲也,2016/05/01,25.6,58%,長谷　拓,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",鹿児島ユナイテッドＦＣ
DF,関　光博,浅野　哲也,2016/05/01,25.6,58%,長谷　拓,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",鹿児島ユナイテッドＦＣ
MF,井上　渉,浅野　哲也,2016/05/01,25.6,58%,長谷　拓,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",鹿児島ユナイテッドＦＣ
MF,赤尾　公,浅野　哲也,2016/05/01,25.6,58%,長谷　拓,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",鹿児島ユナイテッドＦＣ
MF,五領　淳樹,浅野　哲也,2016/05/01,25.6,58%,長谷　拓,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",鹿児島ユナイテッドＦＣ
MF,中原　優生,浅野　哲也,2016/05/01,25.6,58%,長谷　拓,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",鹿児島ユナイテッドＦＣ
MF,永畑　祐樹,浅野　哲也,2016/05/01,25.6,58%,長谷　拓,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",鹿児島ユナイテッドＦＣ
FW,藤本　憲明,浅野　哲也,2016/05/01,25.6,58%,長谷　拓,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",鹿児島ユナイテッドＦＣ
GK,丹野　研太,大熊　裕司,2016/05/01,25.8,40%,笠原　寛貴,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",セレッソ大阪Ｕ－２３
DF,小谷　祐喜,大熊　裕司,2016/05/01,25.8,40%,笠原　寛貴,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",セレッソ大阪Ｕ－２３
DF,小暮　大器,大熊　裕司,2016/05/01,25.8,40%,笠原　寛貴,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",セレッソ大阪Ｕ－２３
DF,温井　駿斗,大熊　裕司,2016/05/01,25.8,40%,笠原　寛貴,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",セレッソ大阪Ｕ－２３
DF,森下　怜哉,大熊　裕司,2016/05/01,25.8,40%,笠原　寛貴,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",セレッソ大阪Ｕ－２３
MF,秋山　大地,大熊　裕司,2016/05/01,25.8,40%,笠原　寛貴,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",セレッソ大阪Ｕ－２３
MF,木本　恭生,大熊　裕司,2016/05/01,25.8,40%,笠原　寛貴,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",セレッソ大阪Ｕ－２３
MF,西本　雅崇,大熊　裕司,2016/05/01,25.8,40%,笠原　寛貴,"２０１６明治安田生命Ｊ３リーグ
								 第７節第１日",セレッソ大阪Ｕ－２３
MF,前　寛之,長谷部　茂利,2018/05/06,26.6,30%,吉田　哲朗,"２０１８明治安田生命Ｊ２リーグ
								 第１３節第１日",水戸ホーリーホック
MF,小島　幹敏,長谷部　茂利,2018/05/06,26.6,30%,吉田　哲朗,"２０１８明治安田生命Ｊ２リーグ
								 第１３節第１日",水戸ホーリーホック
MF,木村　祐志,長谷部　茂利,2018/05/06,26.6,30%,吉田　哲朗,"２０１８明治安田生命Ｊ２リーグ
								 第１３節第１日",水戸ホーリーホック
FW,宮本　拓弥,長谷部　茂利,2018/05/06,26.6,30%,吉田　哲朗,"２０１８明治安田生命Ｊ２リーグ
								 第１３節第１日",水戸ホーリーホック
