ポジション,選手,監督,日付,気温,湿度,主審,試合情報,チーム名
MF,吉井　孝輔,三浦　泰年,2017/07/23,28.5,72%,笠原　寛貴,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",鹿児島ユナイテッドＦＣ
MF,五領　淳樹,三浦　泰年,2017/07/23,28.5,72%,笠原　寛貴,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",鹿児島ユナイテッドＦＣ
MF,永畑　祐樹,三浦　泰年,2017/07/23,28.5,72%,笠原　寛貴,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",鹿児島ユナイテッドＦＣ
FW,藤本　憲明,三浦　泰年,2017/07/23,28.5,72%,笠原　寛貴,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",鹿児島ユナイテッドＦＣ
FW,川森　有真,三浦　泰年,2017/07/23,28.5,72%,笠原　寛貴,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",鹿児島ユナイテッドＦＣ
FW,薗田　卓馬,吉田　謙,2017/07/23,26.9,61%,川俣　秀,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",アスルクラロ沼津
FW,中村　亮太,吉田　謙,2017/07/23,26.9,61%,川俣　秀,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",アスルクラロ沼津
GK,杉本　拓也,森岡　隆三,2017/07/23,24.4,82%,辛島　宗烈,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ガイナーレ鳥取
DF,山道　淳司,森岡　隆三,2017/07/23,24.4,82%,辛島　宗烈,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ガイナーレ鳥取
DF,秋山　貴嗣,森岡　隆三,2017/07/23,24.4,82%,辛島　宗烈,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ガイナーレ鳥取
DF,井上　黎生人,森岡　隆三,2017/07/23,24.4,82%,辛島　宗烈,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ガイナーレ鳥取
MF,池ヶ谷　颯斗,森岡　隆三,2017/07/23,24.4,82%,辛島　宗烈,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ガイナーレ鳥取
MF,廣田　隆治,森岡　隆三,2017/07/23,24.4,82%,辛島　宗烈,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ガイナーレ鳥取
MF,石井　光輝,森岡　隆三,2017/07/23,24.4,82%,辛島　宗烈,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ガイナーレ鳥取
MF,沼　大希,森岡　隆三,2017/07/23,24.4,82%,辛島　宗烈,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ガイナーレ鳥取
MF,河合　秀人,森岡　隆三,2017/07/23,24.4,82%,辛島　宗烈,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ガイナーレ鳥取
FW,加藤　潤也,森岡　隆三,2017/07/23,24.4,82%,辛島　宗烈,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ガイナーレ鳥取
FW,岩元　颯オリビエ,森岡　隆三,2017/07/23,24.4,82%,辛島　宗烈,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ガイナーレ鳥取
GK,朴　一圭,金　鍾成,2017/07/23,25.1,89%,田中　玲匡,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ＦＣ琉球
DF,才藤　龍治,金　鍾成,2017/07/23,25.1,89%,田中　玲匡,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ＦＣ琉球
DF,増谷　幸祐,金　鍾成,2017/07/23,25.1,89%,田中　玲匡,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ＦＣ琉球
DF,瀧澤　修平,金　鍾成,2017/07/23,25.1,89%,田中　玲匡,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ＦＣ琉球
DF,藤澤　典隆,金　鍾成,2017/07/23,25.1,89%,田中　玲匡,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ＦＣ琉球
MF,知念　雄太朗,金　鍾成,2017/07/23,25.1,89%,田中　玲匡,"２０１７明治安田生命Ｊ３リーグ
								 第１８節第２日",ＦＣ琉球
