ポジション,選手,監督,日付,気温,湿度,主審,試合情報,チーム名
MF,横山　翔平,副島　博志,2012/09/30,20.0,80%,窪田　陽輔,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ザスパ草津
FW,遠藤　敬佑,副島　博志,2012/09/30,20.0,80%,窪田　陽輔,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ザスパ草津
FW,チェ　ジョンハン,田坂　和昭,2012/09/30,26.6,68%,岡　宏道,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",大分トリニータ
FW,木島　悠,田坂　和昭,2012/09/30,26.6,68%,岡　宏道,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",大分トリニータ
FW,森島　康仁,田坂　和昭,2012/09/30,26.6,68%,岡　宏道,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",大分トリニータ
GK,シュナイダー　潤之介,山口　素弘,2012/09/30,21.5,76%,吉田　哲朗,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",横浜ＦＣ
DF,杉山　新,山口　素弘,2012/09/30,21.5,76%,吉田　哲朗,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",横浜ＦＣ
DF,ペ　スンジン,山口　素弘,2012/09/30,21.5,76%,吉田　哲朗,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",横浜ＦＣ
DF,森本　良,山口　素弘,2012/09/30,21.5,76%,吉田　哲朗,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",横浜ＦＣ
DF,阿部　巧,山口　素弘,2012/09/30,21.5,76%,吉田　哲朗,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",横浜ＦＣ
MF,寺田　紳一,山口　素弘,2012/09/30,21.5,76%,吉田　哲朗,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",横浜ＦＣ
MF,中里　崇宏,山口　素弘,2012/09/30,21.5,76%,吉田　哲朗,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",横浜ＦＣ
FW,土井　良太,副島　博志,2012/09/30,20.0,80%,窪田　陽輔,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ザスパ草津
GK,佐藤　優也,三浦　泰年,2012/09/30,28.6,66%,森川　浩次,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ギラヴァンツ北九州
DF,川鍋　良祐,三浦　泰年,2012/09/30,28.6,66%,森川　浩次,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ギラヴァンツ北九州
DF,宮本　亨,三浦　泰年,2012/09/30,28.6,66%,森川　浩次,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ギラヴァンツ北九州
DF,キローラン　木鈴,三浦　泰年,2012/09/30,28.6,66%,森川　浩次,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ギラヴァンツ北九州
DF,多田　高行,三浦　泰年,2012/09/30,28.6,66%,森川　浩次,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ギラヴァンツ北九州
MF,新井　涼平,三浦　泰年,2012/09/30,28.6,66%,森川　浩次,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ギラヴァンツ北九州
MF,木村　祐志,三浦　泰年,2012/09/30,28.6,66%,森川　浩次,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ギラヴァンツ北九州
MF,竹内　涼,三浦　泰年,2012/09/30,28.6,66%,森川　浩次,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ギラヴァンツ北九州
MF,端戸　仁,三浦　泰年,2012/09/30,28.6,66%,森川　浩次,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",ギラヴァンツ北九州
MF,武岡　優斗,山口　素弘,2012/09/30,21.5,76%,吉田　哲朗,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",横浜ＦＣ
MF,野崎　陽介,山口　素弘,2012/09/30,21.5,76%,吉田　哲朗,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",横浜ＦＣ
FW,カイオ,山口　素弘,2012/09/30,21.5,76%,吉田　哲朗,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",横浜ＦＣ
FW,大久保　哲哉,山口　素弘,2012/09/30,21.5,76%,吉田　哲朗,"２０１２Ｊリーグ　ディビジョン２
								 第３６節第１日",横浜ＦＣ
GK,丹野　研太,田坂　和昭,2013/09/14,25.0,90%,佐藤　隆治,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",大分トリニータ
DF,土岐田　洸平,田坂　和昭,2013/09/14,25.0,90%,佐藤　隆治,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",大分トリニータ
DF,阪田　章裕,田坂　和昭,2013/09/14,25.0,90%,佐藤　隆治,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",大分トリニータ
