ポジション,選手,監督,日付,気温,湿度,主審,試合情報,チーム名
MF,水野　泰輔,石﨑　信弘,2020/11/18,17.6,83%,佐藤　誠和,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",藤枝ＭＹＦＣ
MF,片岡　爽,石﨑　信弘,2020/11/18,17.6,83%,佐藤　誠和,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",藤枝ＭＹＦＣ
MF,稲積　大介,石﨑　信弘,2020/11/18,17.6,83%,佐藤　誠和,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",藤枝ＭＹＦＣ
MF,清本　拓己,石﨑　信弘,2020/11/18,17.6,83%,佐藤　誠和,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",藤枝ＭＹＦＣ
FW,小松　塁,柱谷　幸一,2015/09/20,23.5,66%,村上　伸次,"２０１５明治安田生命Ｊ２リーグ
								 第３２節第１日",ギラヴァンツ北九州
GK,常澤　聡,ラモス　瑠偉,2015/09/20,25.8,56%,扇谷　健司,"２０１５明治安田生命Ｊ２リーグ
								 第３２節第１日",ＦＣ岐阜
DF,阿部　正紀,ラモス　瑠偉,2015/09/20,25.8,56%,扇谷　健司,"２０１５明治安田生命Ｊ２リーグ
								 第３２節第１日",ＦＣ岐阜
DF,渡邉　将基,ラモス　瑠偉,2015/09/20,25.8,56%,扇谷　健司,"２０１５明治安田生命Ｊ２リーグ
								 第３２節第１日",ＦＣ岐阜
DF,岡根　直哉,ラモス　瑠偉,2015/09/20,25.8,56%,扇谷　健司,"２０１５明治安田生命Ｊ２リーグ
								 第３２節第１日",ＦＣ岐阜
DF,冨士　祐樹,ラモス　瑠偉,2015/09/20,25.8,56%,扇谷　健司,"２０１５明治安田生命Ｊ２リーグ
								 第３２節第１日",ＦＣ岐阜
MF,ヘニキ,ラモス　瑠偉,2015/09/20,25.8,56%,扇谷　健司,"２０１５明治安田生命Ｊ２リーグ
								 第３２節第１日",ＦＣ岐阜
MF,ジウシーニョ,ラモス　瑠偉,2015/09/20,25.8,56%,扇谷　健司,"２０１５明治安田生命Ｊ２リーグ
								 第３２節第１日",ＦＣ岐阜
MF,砂川　誠,ラモス　瑠偉,2015/09/20,25.8,56%,扇谷　健司,"２０１５明治安田生命Ｊ２リーグ
								 第３２節第１日",ＦＣ岐阜
MF,髙地　系治,ラモス　瑠偉,2015/09/20,25.8,56%,扇谷　健司,"２０１５明治安田生命Ｊ２リーグ
								 第３２節第１日",ＦＣ岐阜
MF,田中　達也,片野坂　知宏,2019/12/07,11.6,50%,池内　明彦,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",大分トリニータ
FW,小塚　和季,片野坂　知宏,2019/12/07,11.6,50%,池内　明彦,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",大分トリニータ
FW,三平　和司,片野坂　知宏,2019/12/07,11.6,50%,池内　明彦,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",大分トリニータ
FW,オナイウ　阿道,片野坂　知宏,2019/12/07,11.6,50%,池内　明彦,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",大分トリニータ
FW,髙橋　利樹,大木　武,2020/11/18,21.1,58%,上原　直人,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",ロアッソ熊本
FW,谷口　海斗,大木　武,2020/11/18,21.1,58%,上原　直人,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",ロアッソ熊本
GK,イ　ユノ,森下　仁志,2020/11/18,18.5,77%,花川　雄一,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",ガンバ大阪Ｕ－２３
DF,當麻　颯,森下　仁志,2020/11/18,18.5,77%,花川　雄一,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",ガンバ大阪Ｕ－２３
DF,荻野　元伸,森下　仁志,2020/11/18,18.5,77%,花川　雄一,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",ガンバ大阪Ｕ－２３
DF,タビナス　ジェファーソン,森下　仁志,2020/11/18,18.5,77%,花川　雄一,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",ガンバ大阪Ｕ－２３
DF,シン　ウォノ,森下　仁志,2020/11/18,18.5,77%,花川　雄一,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",ガンバ大阪Ｕ－２３
MF,平川　拓斗,森下　仁志,2020/11/18,18.5,77%,花川　雄一,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",ガンバ大阪Ｕ－２３
MF,菅野　隆星,森下　仁志,2020/11/18,18.5,77%,花川　雄一,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",ガンバ大阪Ｕ－２３
MF,高木　大輔,森下　仁志,2020/11/18,18.5,77%,花川　雄一,"２０２０明治安田生命Ｊ３リーグ
								 第２８節第１日",ガンバ大阪Ｕ－２３
FW,エリキ,アンジェ　ポステコグルー,2019/12/07,7.1,57%,木村　博之,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",横浜Ｆ・マリノス
FW,マテウス,アンジェ　ポステコグルー,2019/12/07,7.1,57%,木村　博之,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",横浜Ｆ・マリノス
GK,飯倉　大樹,トルステン　フィンク,2019/12/07,10.9,42%,家本　政明,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",ヴィッセル神戸
DF,西　大伍,トルステン　フィンク,2019/12/07,10.9,42%,家本　政明,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",ヴィッセル神戸
DF,ダンクレー,トルステン　フィンク,2019/12/07,10.9,42%,家本　政明,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",ヴィッセル神戸
DF,ジョアン　オマリ,トルステン　フィンク,2019/12/07,10.9,42%,家本　政明,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",ヴィッセル神戸
DF,酒井　高徳,トルステン　フィンク,2019/12/07,10.9,42%,家本　政明,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",ヴィッセル神戸
MF,大﨑　玲央,トルステン　フィンク,2019/12/07,10.9,42%,家本　政明,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",ヴィッセル神戸
MF,山口　蛍,トルステン　フィンク,2019/12/07,10.9,42%,家本　政明,"２０１９明治安田生命Ｊ１リーグ
								 第３４節第１日",ヴィッセル神戸
