ポジション,選手,監督,日付,気温,湿度,主審,試合情報,チーム名
MF,白井　陽斗,森下　仁志,2020/08/22,24.9,72%,辛島　宗烈,"２０２０明治安田生命Ｊ３リーグ
								 第１１節第１日",ガンバ大阪Ｕ－２３
MF,塚元　大,森下　仁志,2020/08/22,24.9,72%,辛島　宗烈,"２０２０明治安田生命Ｊ３リーグ
								 第１１節第１日",ガンバ大阪Ｕ－２３
MF,川﨑　修平,森下　仁志,2020/08/22,24.9,72%,辛島　宗烈,"２０２０明治安田生命Ｊ３リーグ
								 第１１節第１日",ガンバ大阪Ｕ－２３
FW,唐山　翔自,森下　仁志,2020/08/22,24.9,72%,辛島　宗烈,"２０２０明治安田生命Ｊ３リーグ
								 第１１節第１日",ガンバ大阪Ｕ－２３
MF,風間　宏希,樋口　靖洋,2019/05/05,22.3,35%,岡　宏道,"２０１９明治安田生命Ｊ２リーグ
								 第１２節第３日",ＦＣ琉球
MF,富所　悠,樋口　靖洋,2019/05/05,22.3,35%,岡　宏道,"２０１９明治安田生命Ｊ２リーグ
								 第１２節第３日",ＦＣ琉球
FW,鈴木　孝司,樋口　靖洋,2019/05/05,22.3,35%,岡　宏道,"２０１９明治安田生命Ｊ２リーグ
								 第１２節第３日",ＦＣ琉球
MF,平戸　太貴,ランコ　ポポヴィッチ,2020/08/22,25.0,90%,松尾　一,"２０２０明治安田生命Ｊ２リーグ
								 第１４節第１日",ＦＣ町田ゼルビア
MF,中島　裕希,ランコ　ポポヴィッチ,2020/08/22,25.0,90%,松尾　一,"２０２０明治安田生命Ｊ２リーグ
								 第１４節第１日",ＦＣ町田ゼルビア
FW,ステファン,ランコ　ポポヴィッチ,2020/08/22,25.0,90%,松尾　一,"２０２０明治安田生命Ｊ２リーグ
								 第１４節第１日",ＦＣ町田ゼルビア
GK,一森　純,森下　仁志,2020/08/22,24.9,72%,辛島　宗烈,"２０２０明治安田生命Ｊ３リーグ
								 第１１節第１日",ガンバ大阪Ｕ－２３
DF,松田　陸,森下　仁志,2020/08/22,24.9,72%,辛島　宗烈,"２０２０明治安田生命Ｊ３リーグ
								 第１１節第１日",ガンバ大阪Ｕ－２３
DF,タビナス　ジェファーソン,森下　仁志,2020/08/22,24.9,72%,辛島　宗烈,"２０２０明治安田生命Ｊ３リーグ
								 第１１節第１日",ガンバ大阪Ｕ－２３
DF,山口　竜弥,森下　仁志,2020/08/22,24.9,72%,辛島　宗烈,"２０２０明治安田生命Ｊ３リーグ
								 第１１節第１日",ガンバ大阪Ｕ－２３
DF,奥野　耕平,森下　仁志,2020/08/22,24.9,72%,辛島　宗烈,"２０２０明治安田生命Ｊ３リーグ
								 第１１節第１日",ガンバ大阪Ｕ－２３
MF,黒川　圭介,森下　仁志,2020/08/22,24.9,72%,辛島　宗烈,"２０２０明治安田生命Ｊ３リーグ
								 第１１節第１日",ガンバ大阪Ｕ－２３
MF,芝本　蓮,森下　仁志,2020/08/22,24.9,72%,辛島　宗烈,"２０２０明治安田生命Ｊ３リーグ
								 第１１節第１日",ガンバ大阪Ｕ－２３
FW,イ　ヨンジェ,有馬　賢二,2019/05/05,26.5,25%,榎本　一慶,"２０１９明治安田生命Ｊ２リーグ
								 第１２節第３日",ファジアーノ岡山
